messageKey,,en,de,es,fr,pt,ru
blueprint.description.engineer_c5,"Sell 20 total units of Biological Sample, Employee Genetic Data, and/or Genetic Research to Bartenders","Sell 20 total units of Biological Sample, Employee Genetic Data, and/or Genetic Research to Bartenders","Verkaufe insgesamt 20 Einheiten Biologische Probe, Gen-Daten von Mitarbeitern und/oder Genforschung an Barkeeper","Vender 20 unidades totales de Muestra biológica, Datos genéticos de empleados y / o Investigación genética a Bartenders","Vendre 20 unités au total d''échantillon biologique, de données génétiques d''employés et/ou de recherche génétique aux barmans","Vender 20 unidades totais de Amostra Biológica, Dados Genéticos de Funcionários e / ou Pesquisa Genética para Bartenders","Продайте 20 единиц биологических образцов, генетических данных работников и / или материалов генетических исследований барменам"
blueprint.description.engineer_d1_1,Reach Friendly reputation with the Colonia Council,Reach Friendly reputation with the Colonia Council,Erreiche einen freundlichen Ruf beim Colonia Council,Alcanza la reputación de Amistoso con el Ayuntamiento de Colonia.,Atteignez une réputation amicale auprès du Conseil de Colonia,Alcance reputação amigável com o Conselho de Colônia,Добейтесь дружеской репутации в Совете Колонии
blueprint.description.engineer_d1_2,Sell a total of 10 Culinary Recipes or Cocktail Recipes to stations in Colonia.,Sell a total of 10 Culinary Recipes or Cocktail Recipes to stations in Colonia.,Verkaufe insgesamt 10 Kulinarische Rezepte oder Cocktail-Rezepte an Stationen in Colonia.,Vende un total de 10 recetas culinarias o recetas de cócteles en las estaciones de Colonia.,Vendre un total de 10 recettes culinaires ou recettes de cocktails aux stations de Colonia.,Venda um total de 10 receitas culinárias ou receitas de coquetéis para estações em Colônia.,Продайте в общей сложности 10 кулинарных рецептов или рецептов коктейлей станциям в Колонии.
blueprint.description.engineer_d1_3,Dock and disembark at 5 settlements in the Colonia system.,Dock and disembark at 5 settlements in the Colonia system.,Docken und landen Sie an 5 Siedlungen im Colonia-System.,Atracar y desembarcar en 5 asentamientos del sistema Colonia.,Amarrez et débarquez dans 5 colonies du système Colonia.,Atracar e desembarcar em 5 assentamentos do sistema Colônia.,Причалить и высадиться в 5 населенных пунктах системы Колония.
blueprint.description.engineer_d2,"Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions or Eleanor Bresa with 10 Digital Designs to learn about Yi Shen.","Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions or Eleanor Bresa with 10 Digital Designs to learn about Yi Shen.","Stelle Baltanos 10 Fraktionspartner, Rosa Dayette 10 Herstellungsanweisungen oder Eleanor Bresa 10 Digitale Konzepte zur Verfügung, um mehr über Yi Shen zu erfahren.","Proporcione a Baltanos con 10 asociados de facción, Rosa Dayette con 10 instrucciones de fabricación o Eleanor Bresa con 10 diseños digitales para aprender sobre Yi Shen.","Fournissez à Baltanos 10 associés de faction, Rosa Dayette avec 10 instructions de fabrication ou Eleanor Bresa avec 10 conceptions numériques pour en savoir plus sur Yi Shen.","Forneça a Baltanos 10 Associados de Facção, Rosa Dayette com 10 Instruções de Fabricação ou Eleanor Bresa com 10 Desenhos Digitais para aprender sobre Yi Shen.","Предоставьте Балтанос 10 сотрудников фракции, Розе Дайетт 10 инструкций по производству или Элеоноре Брезе 10 цифровых рисунков, чтобы они узнали об И Шене."
blueprint.description.engineer_d3,"Complete all referral tasks: Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions and Eleanor Bresa with 10 Digital Designs.","Complete all referral tasks: Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions and Eleanor Bresa with 10 Digital Designs.","Schließe alle Empfehlungsaufgaben ab: Versorge Baltanos mit 10 Fraktionspartner, Rosa Dayette mit 10 Herstellungsanweisungen und Eleanor Bresa mit 10 Digitale Konzepte.","Completa todas las tareas de referencia: Proporciona a Baltanos con 10 asociados de facción, a Rosa Dayette con 10 instrucciones de fabricación y a Eleanor Bresa con 10 diseños digitales.","Terminez toutes les tâches de référence : fournissez à Baltanos 10 associés de faction, Rosa Dayette avec 10 instructions de fabrication et Eleanor Bresa avec 10 conceptions numériques.","Complete todas as tarefas de referência: Forneça a Baltanos 10 Associados de Facção, Rosa Dayette com 10 Instruções de Fabricação e Eleanor Bresa com 10 Desenhos Digitais.","Выполните все реферальные задания: предоставить Балтаносу 10 партнеров фракции, Розе Дайетт - 10 инструкций по производству и Элеоноре Брезе - 10 цифровых рисунков."
blueprint.description.enhanced_tracking,Increases range and speed of the suit''s basic scan function,Increases range and speed of the suit''s basic scan function,Erhöht Reichweite und Geschwindigkeit der grundlegenden Scanfunktion des Anzugs,Aumenta el alcance y la velocidad de la función de escaneo básica del traje,Augmente la portée et la vitesse de la fonction de balayage de base de la combinaison,Aumenta o alcance e a velocidade da função básica de varredura do traje,Увеличивает дальность и скорость основной функции сканирования костюма
blueprint.description.extra_ammo_capacity,Allows more ammo to be carried for each weapon,Allows more ammo to be carried for each weapon,Ermöglicht das Mitführen von mehr Munition für jede Waffe,Permite llevar más munición para cada arma,Permet de transporter plus de munitions pour chaque arme,Permite que mais munição seja carregada para cada arma,Позволяет носить больше боеприпасов для каждого оружия
blueprint.description.extra_backpack_capacity,Grants increased inventory and consumable capacity,Grants increased inventory and consumable capacity,Gewährt erhöhte Lager- und Verbrauchsmaterialkapazität,Otorga mayor capacidad de inventario y consumibles,Accorde une augmentation de l''inventaire et de la capacité des consommables,Concede aumento de estoque e capacidade de consumo,Предоставляет увеличенный инвентарь и емкость расходных материалов
blueprint.description.faster_handling,Reduces the weapon''s draw/stow speed and improves ADS functionality,Reduces the weapon''s draw/stow speed and improves ADS functionality,Reduziert die Zieh-/Verstaugeschwindigkeit der Waffe und verbessert die ADS-Funktionalität,Reduce la velocidad de extracción / almacenamiento del arma y mejora la funcionalidad ADS,Réduit la vitesse de dégainage/arrimage de l''arme et améliore la fonctionnalité ADS,Reduz a velocidade de retirada / armazenamento da arma e melhora a funcionalidade ADS,Уменьшает скорость извлечения / складывания оружия и улучшает функциональность ADS.
blueprint.description.faster_shield_regen,Speeds up personal shield regeneration rate,Speeds up personal shield regeneration rate,Beschleunigt die Regenerationsrate des persönlichen Schildes,Acelera la tasa de regeneración del escudo personal,Accélère le taux de régénération du bouclier personnel,Acelera a taxa de regeneração do escudo pessoal,Ускоряет восстановление личного щита
blueprint.description.greater_range_kinetic,Improves the weapon''s effective range,Improves the weapon''s effective range,Verbessert die effektive Reichweite der Waffe,Mejora el alcance efectivo del arma,Améliore la portée effective de l''arme,Melhora o alcance efetivo da arma,Увеличивает эффективную дальность действия оружия
blueprint.description.greater_range_laser,Improves the weapon''s effective range,Improves the weapon''s effective range,Verbessert die effektive Reichweite der Waffe,Mejora el alcance efectivo del arma,Améliore la portée effective de l''arme,Melhora o alcance efetivo da arma,Увеличивает эффективную дальность действия оружия
blueprint.description.greater_range_plasma,Improves the weapon''s effective range,Improves the weapon''s effective range,Verbessert die effektive Reichweite der Waffe,Mejora el alcance efectivo del arma,Améliore la portée effective de l''arme,Melhora o alcance efetivo da arma,Увеличивает эффективную дальность действия оружия
blueprint.description.headshot_damage_kinetic,Increases damage inflicted by headshots,Increases damage inflicted by headshots,Erhöht den durch Kopfschüsse verursachten Schaden,Aumenta el daño infligido por disparos a la cabeza,Augmente les dégâts infligés par les tirs à la tête,Aumenta o dano causado por tiros na cabeça,"Увеличивает урон, наносимый выстрелами в голову"
blueprint.description.headshot_damage_laser,Increases damage inflicted by headshots,Increases damage inflicted by headshots,Erhöht den durch Kopfschüsse verursachten Schaden,Aumenta el daño infligido por disparos a la cabeza,Augmente les dégâts infligés par les tirs à la tête,Aumenta o dano causado por tiros na cabeça,"Увеличивает урон, наносимый выстрелами в голову"
blueprint.description.headshot_damage_plasma,Increases damage inflicted by headshots,Increases damage inflicted by headshots,Erhöht den durch Kopfschüsse verursachten Schaden,Aumenta el daño infligido por disparos a la cabeza,Augmente les dégâts infligés par les tirs à la tête,Aumenta o dano causado por tiros na cabeça,"Увеличивает урон, наносимый выстрелами в голову"
blueprint.description.higher_accuracy_kinetic,"Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy",Reduziert das Schwanken der Waffe und verbessert die Genauigkeit,"Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l''arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Уменьшает раскачивание оружия, повышая точность"
blueprint.description.higher_accuracy_laser,"Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy",Reduziert das Schwanken der Waffe und verbessert die Genauigkeit,"Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l''arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Уменьшает раскачивание оружия, повышая точность"
blueprint.description.higher_accuracy_plasma,"Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy",Reduziert das Schwanken der Waffe und verbessert die Genauigkeit,"Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l''arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Уменьшает раскачивание оружия, повышая точность"
blueprint.description.horizons.engineer_a1_invite,Gain access: Gain invitation from Colonia Council.,Gain access: Gain invitation from Colonia Council.,Zugang erhalten: Erhalten Sie Einladungen vom Colonia Council.,Obtenga acceso: obtenga invitación del Consejo de Colonia.,Accédez à: Gagnez l''invitation du Conseil de Colonia.,Ganhe acesso: ganhe convite do Conselho da Colonia.,Получить доступ: получить приглашение от Совета Колонии.
blueprint.description.horizons.engineer_a1_learn,Learn about: Reach level 3 and 33% reputation with Elivira Martuuk.,Learn about: Reach level 3 and 33% reputation with Elivira Martuuk.,Erfahren Sie mehr über: Ruf der Stufe 3 und 33% mit Elivira Martuuk.,Aprenda sobre: alcanzar la reputación de nivel 3 y 33% con Elivira Martuuk.,Renseignez-vous sur: Atteignez la réputation de niveau 3 et 33% avec Elivira Martuuk.,Aprenda sobre: Alcance Nível 3 e 33% de reputação com Elivira Martuuk.,Узнайте о репутации уровня 3 и 33% с Elivira Martuuk.
blueprint.description.horizons.engineer_a1_unlock,"Initial contract: Provide 100,000 credits worth of bounty vouchers.","Initial contract: Provide 100,000 credits worth of bounty vouchers.",Erstvertrag: Geben Sie 18.000 Gutscheine im Wert von 100.000 Gutscheinen zur Verfügung.,"Contrato inicial: Proporcione 100,000 créditos en cupones de recompensas.",Contrat initial: fournir 100 000 crédits de bons de primes.,Contrato inicial: Forneça 100.000 créditos no valor de cupons de recompensa.,Первоначальный контракт: предоставьте ваучеры на 100 000 кредитов.
blueprint.description.horizons.engineer_a2_invite,"Gain access: You must then do missions for Party of Yoru in the Yoru system. Once allied with the faction, you will receive an invitation to the Engineer.","Gain access: You must then do missions for Party of Yoru in the Yoru system. Once allied with the faction, you will receive an invitation to the Engineer.","Zugriff erhalten: Sie müssen dann Missionen für die Party von Yoru im YORU -System durchführen. Sobald Sie mit der Fraktion verbündet sind, erhalten Sie eine Einladung an den Ingenieur.","Obtenga acceso: entonces debe hacer misiones para Party of Yoru en el sistema Yoru. Una vez aliado con la facción, recibirá una invitación al ingeniero.","Accédez à: vous devez ensuite faire des missions pour Party of Yoru dans le système Yoru. Une fois allié à la faction, vous recevrez une invitation à l''ingénieur.","Ganhe acesso: você deve fazer missões para o Party of Yoru no sistema YORU. Uma vez aliado à facção, você receberá um convite ao engenheiro.","Получите доступ: затем вы должны выполнять миссии для партии Йору в системе Йору. После того, как вы связываетесь с фракцией, вы получите приглашение инженеру."
