"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.group.name.guardian_nanite_torpedo_pylons","Experimental - Guardian Nanite Torpedo Pylons","","Experimentell - Guardian Nanitn-Torpedopylonen","Experimental - Lanzatorpedos Nanotecnológico Guardián","Expérimental — Tubes lance-torpille à nanites — Gardians","Experimental - Torres de Torpedo Nanite Guardian","Экспериментальное - Торпедные нанитные установки Стражей","实验性武器 - 守护者纳米鱼雷发射管（Nanite Torpedo Pylons）",""
"blueprint.group.name.remote_release_flak_launchers","Experimental - Remote Release Flak Launchers","","Experimentell - Ferngezündete Flak-Werfer","Experimental - Lanzador Antiaereo Remoto","","Experimental - Lançadores Flak de Liberação Remota","Экспериментальное - Зенитные установки","实验性武器 - 远程释放防空炮发射器（Flak）",""
"blueprint.group.name.remote_release_flechette_launchers","Experimental - Remote Release Flechette Launchers","","","Experimental - Lanzador de Flechettes Remoto","","Experimental - Lançadores de Dardos de Liberação Remota","Экспериментальное - Установки для стрельбы стреловидными снарядами","实验性武器 - 远程释放钢镖发射器（Flechette）",""
"blueprint.group.name.ax_multi_cannons","Experimental - AX Multi Cannons","","Experimentell - AX Multi Kanonen","Experimental - Multicañones AX","Expérimental - Multi-canons AX","Experimental - Canhões de Repetição AX","Экспериментальное - Многоствольные орудия АИ","实验性武器 - AX 多管火炮（AX Multi-Cannons）",""
"blueprint.group.name.enzyme_missile_racks","Experimental - Enzyme Missile Racks","","Experimentell - AX-Raketenaufhängung","Experimental - Lanzamisiles de Enzimas","","Experimental - Estente de Mísseis Enzimáticos","Экспериментальное - Блоки энзимных ракет","实验性武器 - AX 导弹挂架（AX Missile Racks）",""
"blueprint.group.name.beam_lasers","Beam Lasers","","Strahlenlaser","Láseres de Rayo","Rayons lasers","Lasers Contínuos","Пучковые лазеры","集束激光（Beam Lasers）",""
"blueprint.group.name.burst_lasers","Burst Lasers","","Salvenlaser","Láseres de Ráfaga","","Lasers de Rajada","Пульсирующие лазеры","爆发激光（Burst Lasers）",""
"blueprint.group.name.cannons","Cannons","","Kanonen","Cañones","Canons","Canhões","Орудия","加农炮（Cannons）",""
"blueprint.group.name.fragment_cannons","Fragment Cannons","","Fragmentkanone","Cañones de Fragmentación","Canon à fragmentation","Canhões de Fragmentação","Залповые орудия","破片火炮（Fragment Caonons）",""
"blueprint.group.name.mine_launchers","Mine Launchers","","Minenwerfer","Lanzaminas","Mines","Lançadores de Minas","Минирующие устройства","地雷发射器（Mine Launchers）",""
"blueprint.group.name.dumbfire_missile_racks","Missile Racks (Dumbfire)","","Raketenhalterung (Dumbfire)","","Compartiment de missiles (visée fixe)","","Блок ракет (без наведения)","导弹挂架（直射火箭弹 Missile Ranks）",""
"blueprint.group.name.seeker_missile_racks","Missile Racks (Seeker)","","Raketenhalterung (Sucher)","","","","Блок ракет (с наведением)","导弹挂架（制导导弹 Seeker Missile Racks）",""
"blueprint.group.name.multi_cannons","Multi Cannons","","Mehrfachgeschütze","Multicañones","Multi-canons","Canhões de Repetição","Многоствольные орудия","多管火炮（Multi Cannons）",""
"blueprint.group.name.plasma_accelerators","Plasma Accelerators","","Plasmabeschleuniger","Aceleradores de Plasma","Accélérateurs à plasma","Aceleradores de Plasma","Ускорители плазмы","电浆加速器（Plasma Accelerators）",""
"blueprint.group.name.pulse_lasers","Pulse Lasers","","Pulslaser","Láseres de Pulso","Lasers à impulsion","Lasers de Pulso","Импульсные лазеры","脉冲激光（Pulse Lasers）",""
"blueprint.group.name.rail_guns","Rail Guns","","Schienenkanonen","Cañones de Riel","Canons électriques","Canhões Elétricos","Рельсотроны","电磁炮（Railguns）",""
"blueprint.group.name.torpedo_pylons","Torpedo Pylons","","Torpedopylon","Lanza-Torpedos","Torpilles","Pilones de Torpedos","Торпедные установки","鱼雷发射管（Torpedo Pylons）",""
"blueprint.group.name.chaff_launchers","Chaff Launchers","","Düppelwerfer","Lanzador de Señuelos","Lanceur de paillettes","Lançadores de Chaff","Разбрасыватели дипольных отражателей","干扰箔条发射器（Chaff Launchers）",""
"blueprint.group.name.electronic_countermeasures","Electronic Countermeasures","","Elektronische Gegenmaßnahmen","Contramedidas Electrónicas","Contre-mesures électroniques","Contramedidas Eletrônicas","Радиоэлектронное подавление","电子对抗装置（ECM）",""
"blueprint.group.name.frame_shift_wake_scanners","Frame Shift Wake Scanners","","Sogwolkenscanner","Escáneres de Estelas","Détecteurs de sillage FSD","Scanners de Rastro de Distorção","Следовые сканеры","FSD 尾流扫描仪（Frame Shift Wake Scanners）",""
"blueprint.group.name.sink_launchers","Sink Launchers","","Minenwerfer","Eyectores Térmicos","","Dissipadores Térmicos","Катапульты","汇集槽发射器（Heatsink/Caustic Sink Launchers）",""
"blueprint.group.name.kill_warrant_scanners","Kill Warrant Scanners","","Tötungsbefehlscanner","Escáneres de Registro Criminal","Détecteurs d'avis de recherche","Scanners de Registro Criminal","Сканеры преступников","杀戮令扫描仪（Kill Warrant Scanners）",""
"blueprint.group.name.manifest_scanners","Manifest Scanners","","Verzeichnisscanner","Escáneres de Manifiesto","Scanner de manifeste","Scanners de manifesto","Сканеры груза","舱单扫描仪（Manifest Scanners）",""
"blueprint.group.name.point_defences","Point Defences","","Punktverteidigung","Defensa de Punto","Tourelle de Défense Ponctuelle","Defesas de ponto","Турели точечной обороны","点防炮塔（Point Defence Turrents）",""
"blueprint.group.name.shield_boosters","Shield Boosters","","Schild-Booster","Potenciadores de Escudo","Survolteurs de bouclier","Potencializadores de escudo","Усилители щита","盾扩（Shield Boosters）",""
"blueprint.group.name.pulse_wave_analysers","Pulse Wave Analysers","Pulse Wave Analysers","Impulswellen-Analysator","Analizadores de Onda de Pulso","Analyseurs à onde pulsée","Analisadores de onda de pulso","Анализаторы импульсных волн","脉冲波分析器（Pulse Wave Analysers）",""
"blueprint.group.name.xenos","Xenos","Xenos","","Xeno","Xenos","","Ксено","异种",""
"blueprint.group.name.armours","Armours","","Panzerung","Blindajes","Blindages","Blindagens","Переборки","装甲（Armours）",""
"blueprint.group.name.frame_shift_drives","Frame Shift Drives","","Frameshiftantriebe","Motores de Distorsión","Réacteurs FSD","Motores de Distorção de Fase","Двигатели FSD","FSD",""
"blueprint.group.name.life_supports","Life Supports","","Lebenserhaltung","Soportes Vitales","Systèmes de survie","Suportes de vida","Системы жизнеобеспечения","维生系统（Life Supports）",""
"blueprint.group.name.power_distributors","Power Distributors","","Energieverteiler","Distribuidores de Energía","Répartiteurs de puissance","Distribuidores de energia","Распределители питания","能量分配器（Power Distributors）",""
"blueprint.group.name.power_plants","Power Plants","","Kraftwerke","Núcleos de Energía","Générateurs","Geradores de energia","Силовые установки","发电机（Power Plants）",""
"blueprint.group.name.sensors","Sensors","","Sensoren","Sensores","Capteurs","Sensores","Сенсоры","传感器（Sensors）",""
"blueprint.group.name.thrusters","Thrusters","","Schubdüsen","Impulsores","Propulseurs","Propulsores","Маневровые двигатели","推进器（Thrusters）",""
"blueprint.group.name.auto_field_maintenance_units","Auto Field Maintenance Units","","Automatische Feldwartungs-Einheit","Unidades de Automantenimiento","Unité Maintenance Terrain Auto","Unidades de manutenção de campo","Блоки автоматического полевого ремонта","模组应急维修单元（Auto Field-Maintenance Units）",""
"blueprint.group.name.collector_limpet_controllers","Collector Limpet Controllers","","Sammeldrohnensteuerung","Lanzadores de Drones Colectores","Contrôleurs de drones collecteurs","Controladores de Drone coletores","Контроллеры дронов-сборщиков","收集无人机控制器（Collector Limpet Controllers）",""
"blueprint.group.name.detailed_surface_scanners","Detailed Surface Scanners","","Detail-Oberflächenscanner","Escáneres de Análisis de Superficie","Scanners de surface détaillée","Scanners de superfície detalhados","Подробные сканеры поверхности","地表详细信息扫描仪（Detail Surface Scanners）",""
"blueprint.group.name.decontamination_limpet_controllers","Decontamination Limpet Controllers","","Steuerung Entseuchungsdrohnen","Lanzadores de Drones de Descontaminación","","Controladores de Drone de descontaminação","Контроллеры дронов-очистителей","船体清洗无人机控制器（Decontamination Limpet Controllers）",""
"blueprint.group.name.anti_corrosion_cargo_racks","Anti Corrosion Cargo Racks","","Antikorrosionsfrachträume","Bodegas de Carga Anticorrosión","","Estantes de carga anticorrosão","Антикоррозийные грузовые стеллажи","防腐蚀货架（Anti-Corrosion Cargo Racks）",""
"blueprint.group.name.decontamination_limpet_controllers","Decontamination Limpet Controllers","","Steuerung Entseuchungsdrohnen","Lanzadores de Drones de Descontaminación","","","Контроллеры дронов-очистителей","船体清洗无人机控制器（Decontamination Limpet Controllers）",""
"blueprint.group.name.experimental_weapon_stabilisers","Experimental Weapon Stabilisers","","Experimenteller Waffenstabilisator","Estabilizadores de Armas Experimentales","","Estabilizadores de armas experimentais","Экспериментальные стабилизаторы оружия","实验性武器稳定器（Experimental Weapon Stabilisers）",""
"blueprint.group.name.fighter_hangars","Fighter Hangars","","","Hangares de Cazas","Hangars pour chasseurs","Hangares de caça","Ангары для истребителей","舰载机机库（Fighter Hangars）",""
"blueprint.group.name.meta_alloy_hull_reinforcement_packages","Meta Alloy Hull Reinforcement Packages","","","Paquetes de Refuerzo Estructural de Aleaciones Metálicas","","Pacotes de reforço de casco com metaligas","Метасплавные усилители корпуса","元合金船体加固组件（Meta Alloy HRPs）",""
"blueprint.group.name.multi_limpet_controllers","Multi Limpet Controllers","","","Lanzadores Multi-Dron","","Multicontroladores de Drone","Универсальные мультиконтроллеры дронов","多功能无人机控制器（Multi Limpet Controllers）",""
"blueprint.group.name.passenger_cabins","Passenger Cabins","","","Cabinas de Pasajero","Cabines de passagers","Cabines de passageiros","Пассажирские каюты","乘客客舱（Passenger Cabins）",""
"blueprint.group.name.planetary_vehicle_hangars","Planetary Vehicle Hangars","","","Hangares de Vehículos Planetarios","Hangars des véhicules planétaires","Hangares de veículos planetários","Ангары ТРП","地表勘探车库（Planetary Vehicle Hangars）",""
"blueprint.group.name.prospector_limpet_controllers","Prospector Limpet Controllers","","","Lanzadores de Drones Prospectores","","Controladores de Drones de Prospectores","Контроллеры дронов-геологоразведчиков","勘探无人机控制器（Prospector Limpet Controllers）",""
"blueprint.group.name.recon_limpet_controllers","Recon Limpet Controllers","","","Lanzadores de Drones de Reconocimiento","","Controladores de Drone de reconhecimento","Контроллеры дронов-разведичиков","侦察无人机控制器（Recon Limpet Controllers）",""
"blueprint.group.name.repair_limpet_controllers","Repair Limpet Controllers","","","Lanzadores de Drones de Reparación","","Controladores de Drone de reparo","Контроллеры Дронов-ремонтников","维修无人机控制器（Repair Limpet Controllers）",""
"blueprint.group.name.research_limpet_controllers","Research Limpet Controllers","","","Lanzadores de Drones de Investigación","","Controladores de Drone de pesquisa","Контроллеры дронов-исследователей","研究无人机控制器（Research Limpet Controllers）",""
"blueprint.group.name.shield_generators","Shield Generators","","","Generadores de Escudos","Générateurs de bouclier","Geradores de Escudo","Генераторы щита","护盾生成器（Shield Generators）",""
"blueprint.group.name.guardian_module_reinforcement_packages","Guardian Module Reinforcement Packages","","","Paquetes de Refuerzo de Módulo Guardián","","Pacotes de reforço de módulo Guardian","Наборы для усиления модуля Стражей","守护者模组加固组件（Guardian MRPs）",""
"blueprint.group.name.guardian_shield_reinforcement_packages","Guardian Shield Reinforcement Packages","","","Paquete de Refuezo de Escudo Guardián","","Pacotes de reforço de escudo Guardian","Наборы для усиления щита Стражей","守护者护盾加固组件（Guardian SRPs/盾插）",""
"blueprint.group.name.hull_reinforcement_packages","Hull Reinforcement Packages","","","Refuerzos de Casco","","Pacotes de reforço de casco","Наборы для усиления корпуса","船体加固组件（HRPs）",""
"blueprint.group.name.module_reinforcement_packages","Module Reinforcement Packages","","","Paquetes de Refuerzo de Módulo","","Pacotes de reforço de módulo","Наборы для усиления модуля","模组加固组件（MRPs）",""
"blueprint.group.name.frame_shift_drive_interdictors","Frame Shift Drive Interdictors","","","Interdictores","Intercepteurs FSD","Interditor de Motor de Distorção de Fase","Перехватчики FSD","FSD 拦截器（FSD Interdictors/FSDI）",""
"blueprint.group.name.fuel_scoops","Fuel Scoops","","","Colectores de Combustible","Récupérateurs de carburant","Coletor de Combustível","Топливозаборники","燃油铲（Fuel Scoops）",""
"blueprint.group.name.fuel_transfer_limpet_controllers","Fuel Transfer Limpet Controllers","","","Lanzadores de Drones de Combustible","","Controladores de Drone de Combustível","Контроллеры дронов-заправщиков","燃油传输无人机控制器（Fuel Transfer Limpet Controllers）",""
"blueprint.group.name.hatch_breaker_limpet_controllers","Hatch Breaker Limpet Controllers","","","Lanzadores de Drones de Extracción","Contrôleurs de drones perce-soute","Controladores de Drone Quebra-escotilha","Контроллеры взломщиков трюмов","电子侵入无人机控制器（Hatch Breaker Limpet Controllers）",""
"blueprint.group.name.hull_reinforcement_packages","Hull Reinforcement Packages","","","Refuerzos de Casco","Modules de renforcement de coque","","Модули усиления корпуса","船体加固组件（HRPs）",""
"blueprint.group.name.guardian_hull_reinforcement_packages","Guardian Hull Reinforcement Packages","","","Paquete de Refuerzo Estructural Guardián","","Pacotes de reforço de casco Guardian","Наборы для усиления корпуса Стражей","守护者船体加固组件（Guardian HRPs）",""
"blueprint.group.name.prospector_limpet_controllers","Prospector Limpet Controllers","","","Lanzadores de Drones Prospectores","","","Контроллеры дронов-геологоразведчиков","勘探无人机控制器（Prospector Limpet Controllers）",""
"blueprint.group.name.refineries","Refineries","","","Refinerias","Raffineries","Refinarias","Очистители","精炼机（Refineries）",""
"blueprint.group.name.shield_cell_banks","Shield Cell Banks","","","Acumuladores de Escudos","Réserves de cellule d'énergie","Bancos de células de Escudo","Щитонакопители","护盾电池（Shield Cell Banks）",""
"blueprint.group.name.shield_generators","Shield Generators","","","Generadores de Escudos","Générateurs de bouclier","","Щитогенераторы","护盾生成器（Shield Generators）",""
"blueprint.group.name.computers","Computers","","","Computadoras","Ordinateurs","Computadores","Компьютеры","计算机",""
"blueprint.group.name.engineer_unlocks","Engineer Unlocks","","","Desbloqueos de Ingeniero","Déverrouillage des ingénieurs","Desbloqueios de engenheiros","Разблокировки инженеров","工程师解锁",""
"blueprint.group.name.synthesis","Synthesis","","","Síntesis","Synthèse","Síntese","Синтез","合成",""
"blueprint.group.name.techbrokers","Techbrokers","","","Brókers de Tecnología","","Mediadores de Tecnologia","Техноброкеры","科技代理商",""
"blueprint.group.name.cargo_racks","Cargo Racks","","","Bodega de Carga","","Racks de carga","Грузовые стеллажи","货架（Cargo Racks）",""
"blueprint.group.name.fuel_tanks","Fuel Tanks","","","Tanques de Combustible","Réservoirs de carburant","Tanques de combustível","Топливные баки","燃油箱（Fuel Tanks）",""
"blueprint.group.name.cargo_hatches","Cargo Hatches","","","Escotillas de Carga","Écoutilles de soute","Escotilhas de carga","Грузовые ковши","货舱门（Cargo Hatches）",""
"blueprint.group.name.passenger_cabins","Passenger Cabins","","","Cabinas de Pasajero","","","Пассажирские каюты","乘客客舱（Passenger Cabins）",""
"blueprint.group.name.discovery_scanners","Discovery Scanners","","","Escáneres de Descubrimiento","","Scanners de descoberta","Исследовательские сканеры","探索扫描仪（Discovery Scanners）",""
"blueprint.group.name.frame_shift_drive_boosters","Guardian Frame Shift Drive Boosters","","","Potenciadores de Motor de Distorsión Guardián","","Amplificadores de Motor de Distorção de Fase Guardian","Ускорители FSD Стражей","守护者 FSD 增幅器（Guardian FSDBs）",""
"blueprint.group.name.large_cargo_racks","MkII Cargo Racks","","","","","Estante de carga MkII","Грузовые стеллажи Mk II","MkII 货架（MkII Cargo Racks）",""
"blueprint.group.name.mk_ii_mining_multi_limpet_controllers","Mk II Mining Multi-limpet Controllers ","","","","","","Мультиконтроллеры дронов-добытчиков Mk II","MkII 采矿多功能无人机控制器（MkII Mining Multi-limpet Controllers）",""
