"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"ship.stats.jumprange.min","Minimum range","","","Salto Mínimo","Portée minimale","Salto Mínimo","Минимальна дальность","最小范围",""
"ship.stats.jumprange.current","Current range","","","Salto Actual","Portée actuelle","Salto Atual","Текущая дальность","当前范围",""
"ship.stats.jumprange.maxfueled","Maximum range (full fuel)","","","Máximo Salto (Combustible lleno)","Portée maximale (réservoir plein)","Alcance Máximo (Combustível pleno)","Максимальная дальность (полный бак)","最大范围 (满载燃料)",""
"ship.stats.jumprange.max","Maximum range (minimal fuel)","","","Máximo Salto (Combustible Mínimo)","Portée maximale (réservoir au minimum)","Alcance Máximo (Combustível mínimo)","Максимальная дальность (минимум топлива)","最大范围 (最少燃料)",""
"ship.stats.engine","Engine","","","Motor","Moteur","Motor","Двигатель","引擎",""
"ship.stats.engine.speed","Speed","","","Velocidad","Vitesse","Velocidade","Скорость","速度",""
"ship.stats.engine.boost","Boost","","","Postquemador","Boost","Impulso","Ускорение","加力",""
"ship.stats.engine.recharge","Recharge","","","Recarga","Recharge","Recarga","Перезарядка","加力间隔",""
"ship.stats.engine.speed.value","{0} m/s","","","{0} m/s","{0} m/s","","{0} м/с","{0} m/s",""
"ship.stats.engine.boost.value","{0} m/s","","","{0} m/s","{0} m/s","","{0} м/с","{0} m/s",""
"ship.stats.engine.recharge.value","{0} s","","","{0} s","{0} s","","{0} с","{0} s",""
"ship.stats.engine.currentspeed","Current speed","","","Velocidad Actual","Vitesse actuelle","Velocidade Atual","Текущая скорость","当前速度",""
"ship.stats.engine.currentboost","Current boost","","","Postquemador Actual","Boost actuel","Impulso Atual","Текущее ускорение","当前加力",""
"ship.stats.engine.currentrecharge","Current recharge","","","Recarga Actual","","Recarga Atual","Текущая перезарядка","当前回充",""
"ship.stats.engine.minspeed","Minimum speed(Full Cargo)","","","Velocidad Mínima(Carga Completa)","Vitesse minimale (soute pleine)","Velocidade Mínima (Carga Plena)","Минимальная скорость (полный трюм)","最小速度 (货舱满载)",""
"ship.stats.engine.minboost","Minimum boost(Full Cargo)","","","Postquemador Mínimo(Carga Completa)","Boost minimum (soute pleine)","Impulso Máximo (Carga Plena)","Минимальное ускорение (полный трюм)","最小加力 (货舱满载)",""
"ship.stats.engine.minrecharge","Minimum recharge(Full Cargo)","","","Recarga Mínima(Carga Completa)","","Recarga Mínima (Carga Plena)","Минимальная перезарядка (полный трюм)","最小回充 (货舱满载)",""
"ship.stats.engine.maxspeed","Maximum speed(No Cargo)","","","Velocidad Máxima(Sin Carga)","Vitesse maximale (soute vide)","Velocidade Máxima (Sem Carga)","Максимальная скорость (нет груза)","最大速度 (货舱空载)",""
"ship.stats.engine.maxboost","Maximum boost(No Cargo)","","","Postquemador Máximo(Sin Carga)","Boost maximal (soute vide)","Impulso Máximo (Sem Carga)","Максимальное ускорение (нет груза)","最大加力 (货舱空载)",""
"ship.stats.engine.maxrecharge","Maximum recharge(No Cargo)","","","Máxima Recarga(Sin Carga)","","Recarga Máxima (Sem Carga)","Максимальная перезарядка (нет груза)","最大速度 (货舱空载)",""
"ship.stats.handling","Handling","","","Manejo","Maniabilité","Manobrabilidade","Управление","操控",""
"ship.stats.handling.pitch","Pitch","","","Cabeceo","Tangage","Arfagem","Тангаж","俯仰",""
"ship.stats.handling.roll","Roll","","","Alabeo","Roulis","Rolamento","Крен","滚转",""
"ship.stats.handling.yaw","Yaw","","","Guiñada","Lacet","Guinada","Рыскание","偏航",""
"ship.stats.handling.pitch.value","{0} °/s","","","{0} °/s","{0} °/s","","{0} °/с","{0} °/s",""
"ship.stats.handling.roll.value","{0} °/s","","","{0} °/s","{0} °/s","","{0} °/с","{0} °/s",""
"ship.stats.handling.yaw.value","{0} °/s","","","{0} °/s","{0} °/s","","{0} °/с","{0} °/s",""
"ship.stats.handling.currentpitch","Current Pitch","","","Cabeceo Actual","Tangage actuel","Arfagem Atual","Текущий тангаж","当前俯仰",""
"ship.stats.handling.currentroll","Current Roll","","","Alabeo Actual","Roulis actuel","Rolamento Atual","Текущий крен","当前滚转",""
"ship.stats.handling.currentyaw","Current Yaw","","","Guiñada Actual","Lacet actuel","Guinada Atual","Текущее рыскание","当前偏航",""
"ship.stats.handling.minimumpitch","Minimum Pitch","","","Cabeceo Mínimo","Tangage minimum","Arfagem Mínima","Минимальный тангаж","最小俯仰",""
"ship.stats.handling.minimumroll","Minimum Roll","","","Alabeo Mínimo","Roulis minimum","Rolamento Mínima","Минимальный крен","最小滚转",""
"ship.stats.handling.minimumyaw","Minimum Yaw","","","Guiñada Mínima","Lacet minimum","Guinada Mínima","Минимальное рыскание","最小偏航",""
"ship.stats.handling.maximumpitch","Maximum Pitch","","","Cabeceo Máximo","Tangage maximum","Arfagem Máxima","Максимальный тангаж","最大俯仰",""
"ship.stats.handling.maximumroll","Maximum Roll","","","Alabeo Máximo","Roulis maximum","Rolamento Máxima","Максимальный крен","最大滚转",""
"ship.stats.handling.maximumyaw","Maximum Yaw","","","Guiñada Máxima","Lacet maximum","Guinada Máxima","Максимальное рыскание","最大偏航",""
"ship.stats.armour","Armour","","","Blindaje","Blindage","Blindagem","Броня","装甲",""
"ship.stats.armour.resistanceraw","Resistance Raw","","","Resistencia Básica","Résistance Brute","Resistência Total","Чистое сопротивление","绝对抗性",""
"ship.stats.armour.resistancekinetic","Resistance Kinetic","","","Resistencia Cinética","Résistance Cinétique","Resistência Cinética","Кинетическое сопротивление","动能抗性",""
"ship.stats.armour.resistancethermal","Resistance Thermal","","","Resistencia Térmica","Résistance Thermique","Resistência Térmica","Термальное сопротивление","热能抗性",""
"ship.stats.armour.resistanceexplosive","Resistance Explosive","","","Resistencia Explosiva","Résistance Explosifs","Resistência a Explosão","Взрывное сопротивление","爆炸抗性",""
"ship.stats.armour.resistancecaustic","Resistance Caustic","","","Resistencia Caústica","Résistance Caustique","Resistência Cáustica","Едкое сопротивление","腐蚀抗性",""
"ship.stats.armour.integrityraw","Integrity Raw","","","Integridad Básica","Intégrité Brute","Integridade Básica","Чистая целостность","绝对甲量",""
"ship.stats.armour.integritykinetic","Integrity Kinetic","","","Integridad Cinética","Intégrité Cinétique","Integridade Cinética","Кинетическая целостность","动能有效甲量",""
"ship.stats.armour.integritythermal","Integrity Thermal","","","Integridad Térmica","Intégrité Thermique","Integridade Térmica","Термальная целостность","热能有效甲量",""
"ship.stats.armour.integrityexplosive","Integrity Explosive","","","Integridad Explosiva","Intégrité Explosifs","Integridade Explosiva","Взрывная целостность","爆炸有效甲量",""
"ship.stats.armour.integritycaustic","Integrity Caustic","","","Integridad Caústica","Intégrité Caustique","Integridade Cáustica","Едкая целостность","腐蚀有效甲量",""
"ship.stats.shield","Shield","","","Escudos","Bouclier","Escudos","Щиты","护盾",""
"ship.stats.shield.resistancekinetic","Resistance Kinetic","","","Resistencia Cinética","Résistance Cinétique","Resistência Cinética","Кинетическое сопротивление","动能抗性",""
"ship.stats.shield.resistancethermal","Resistance Thermal","","","Resistencia Térmica","Résistance Thermique","Resistência Térmica","Термальное сопротивление","热能抗性",""
"ship.stats.shield.resistanceexplosive","Resistance Explosive","","","Resistencia Explosiva","Résistance Explosifs","Resistência Explosiva","Взрывное сопротивление","爆炸抗性",""
"ship.stats.shield.resistancecaustic","Resistance Caustic","","","Resistencia Caústica","Résistance Caustique","Resistência Caústica","Едкое сопротивление","腐蚀抗性",""
"ship.stats.shield.strengthraw","Strength Raw","","","Fuerza Básica","","Força Básica","Чистая мощность","绝对强度",""
"ship.stats.shield.strengthkinetic","Strength Kinetic","","","Fuerza Cinética","","Força Cinética","Кинетическая мощность","动能有效强度",""
"ship.stats.shield.strengththermal","Strength Thermal","","","Fuerza Térmica","","Força Térmica","Термальная мощность","热能有效强度",""
"ship.stats.shield.strengthexplosive","Strength Explosive","","","Fuerza Explosiva","","Força Explosiva","Взрывная мощность","爆炸有效强度",""
"ship.stats.shield.strengthcaustic","Strength Caustic","","","Fuerza Caústica","","Força Caústica","Едкая мощность","腐蚀有效强度",""
"ship.stats.shield.raw","Raw","","","Básico","","Básico","Абсолют","绝对",""
"ship.stats.shield.kinetic","Kinetic","","","Cinético","","Cinético","Кинетика","动能",""
"ship.stats.shield.thermal","Thermal","","","Térmico","","Térmico","Термал","热能",""
"ship.stats.shield.explosive","Explosive","","","Explosivo","","Explosivo","Взрыв","爆炸",""
"ship.stats.shield.caustic","Caustic","","","Caústico","","Caústico","Едкое","腐蚀",""
"ship.stats.weapon","Weapon","","","Armas","","Armas","Оружие","武器",""
"ship.stats.weapon.rawdamage","Raw Damage","","","Daño Básico","","Dano básico","Общий урон","原始伤害",""
"ship.stats.weapon.absolutepercentage","Absolute","","","Absoluto","","Absoluto","Абсолют.","绝对",""
"ship.stats.weapon.kineticpercentage","Kinetic","","","Cinético","","Cinético","Кинетич.","动能",""
"ship.stats.weapon.thermalpercentage","Thermal","","","Térmico","","Térmico","Термал.","热能",""
"ship.stats.weapon.explosivepercentage","Explosive","","","Explosivo","","Explosivo","Взрыв.","爆炸",""
"ship.stats.weapon.causticpercentage","Caustic","","","Caústico","","Caústico","Едкий","腐蚀",""
"ship.stats.weapon.antixenopercentage","Anti-Xeno","","","Anti-Xeno","","","АИ","反异种",""
"ship.stats.weapon.burstduration","Burst duration","","","Duración de la Ráfaga","","Duração de Pico","Время очереди","持续开火时长",""
"ship.stats.weapon.ammoduration","Ammo duration","","","Duración de la Munición","","Duração de Munição","Время магазина","弹药续航时长",""
"ship.stats.weapon.rawdamage.value","{0} dps","","","{0} dps","{0} dps","","{0} УвС","{0} dps",""
"ship.stats.weapon.value","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.weapon.burstduration.value","{0} s","","","{0} s","{0} s","","{0} с","{0} s",""
"ship.stats.weapon.ammoduration.value","{0} s","","","{0} s","{0} s","","{0} с","{0} s",""
"ship.stats.price","Price","","","Precio","Prix","Preço","Цена","价格",""
"ship.stats.price.price.value","{0} Cr","","","{0} Cr","{0} Cr","","{0} Кр","{0} Cr",""
"ship.stats.price.rebuy.value","{0} Cr","","","{0} Cr","{0} Cr","","{0} Кр","{0} Cr",""
"ship.stats.price.price","Price","","","Precio","Prix","Preço","Цена","购买",""
"ship.stats.price.rebuy","Rebuy","","","Recompra","Rachat","Recompra","Страховка","购回",""
"ship.stats.shield.regen","Regenerate","","","Regeneración","","Regeneração","Регенерация","回充",""
"ship.stats.shield.rebuild","Rebuild","","","Reconstrucción","","Reconstrução","Восстановление","重构",""
"ship.stats.shield.regen.tooltip","Time to regenerate shields from 50% to 100%, no Systems charge","","","Tiempo para regenerar escudos del 50% al 100%, Sin carga en Sistemas","Temps de régénération des boucliers de 50% à 100%, pas de charge système","Tempo para regenerar escudos de 50% a 100%, sem carga de sistemas","Время на регенерацию щита с 50% до 100% без СИС","系统电容耗尽时，护盾从50%回充至100%所需的时间",""
"ship.stats.shield.rebuild.tooltip","Time to rebuild from 0% to 50%, including 16s delay, full Systems charge","","","Tiempo para reconstruir escudos de 0% al 50%, incluyendo 16s de retraso, Carga de Sistemas completa","Temps de rétablissement du bouclier de 0% à 50%, délai de 16s inclus, charge complète des systèmes","Tempo para reconstruir de 0% a 50%, incluindo atraso de 16s, carga total de sistemas","Время восстановления щита с 0% до 50% с полным СИС","系统电容充满时，护盾从0%重构至50%所需的时间，包括16秒延迟",""
"ship.stats.shield.build.unit","{0} s","","","{0} s","{0} s","","{0} с","{0} s",""
"ship.stats.armour.mrp.integrity.unit","{0}","","","{0}","{0}","","{0}","{0}",""
"ship.stats.armour.mrp.protection.unit","{0}%","","","{0}%","{0}%","","{0}%","{0}%",""
"ship.stats.armour.scb.restoration.unit","{0}x{1}%","","","{0}x{1}%","{0}x{1}%","","{0}x{1}%","{0}x{1}%",""
"ship.stats.armour.mrp","Module Reinforcement Packages","","","Refuerzos de Módulo","","Pacotes de Reforço de Módulo","Набор для усиления модуля","模块加固包",""
"ship.stats.armour.mrp.short","MRP","","","MRP","","","НУМ","MRP",""
"ship.stats.armour.mrp.integrity","Integrity","","","Integridad","Intégrité","Integridade","Целостность","总完整度",""
"ship.stats.armour.mrp.protection","Protection","","","Protección","","Proteção","Защита","吸收比例",""
"ship.stats.armour.scb.restoration","Cell Bank","","","Banco de Células","","Banco de Células","Щитонакопитель","护盾电池",""
"ship.stats.armour.scb","Shield Cell Banks","","","","Réserves de cellule d'énergie","","Щитонакопители","护盾电池",""
"ship.stats.config.power.group","Power group {0}","","","Prioridad Energética {0}","","Prioridade Energética {0}","Огневая группа {0}","电力组 {0}",""
"ship.stats.totaljumprange","Total jump range","","","Rango total de salto","","","Макс. расстояние за бак","总跃迁范围",""
"ship.stats.totaljumprange.value","{0} Ly","","","{0} AL","{0} al","{0} Al","{0} с.л.","{0} Ly",""
"ship.stats.config.cargo","Cargo (Max. {0})","","","","","","Груз (Макс. {0})","货舱 (最大: {0})",""
"ship.stats.config.passenger","Passenger (Max. {0})","","","","","","Пассажир (Макс. {0})","客舱 (最大: {0})",""
"ship.stats.engine.acceleration","Acceleration","","","","Accélération","","Ускорение","加速度",""
"ship.stats.engine.acceleration.forward","Forward","","","","","","Вперёд","正向",""
"ship.stats.engine.acceleration.reverse","Reverse","","","","","","Задний ход","反向",""
"ship.stats.engine.acceleration.lateral","Lateral","","","","","","Боковое","横向",""
"ship.stats.engine.acceleration.value","{0} m/s","","","","{0} m/s","","{0} м/с","{0} m/s",""
"ship.stats.ship","Ship","","","","Vaisseau","","Корабль","舰船",""
"ship.stats.ship.mass.value","{0} T","","","","{0} T","","{0} T","{0} T",""
"ship.stats.ship.mlf.value","{0}","","","","{0}","","{0}","{0}",""
"ship.stats.ship.slf.value","","","","","","","","",""
"ship.stats.ship.crew.value","1 + {0}","","","","1 + {0}","","1 + {0}","1 + {0}",""
"ship.stats.ship.manoeuvrability.value","{0}/10","","","","{0}/10","","{0}/10","{0}/10",""
"ship.stats.ship.mass","Mass","","","","Masse","","Масса","质量",""
"ship.stats.ship.mlf","Mass lock factor","","","","","","Фактор грав. захвата","质锁系数",""
"ship.stats.ship.slf","Fighter bay","","","","","","Отсек для истребителей","舰载机机库",""
"ship.stats.ship.crew","Seats","","","","","","Кресел пилотов","乘员",""
"ship.stats.ship.manoeuvrability","Manoeuvrability","","","","Manœuvrabilité","","Маневренность","机动性",""
"ship.stats.ship.cabincapacity.value","{0}","","","","{0}","","{0}","{0}",""
"ship.stats.ship.cabincapacity","Cabin capacity","","","","","","Пассажировместимость","客舱容量",""
"ship.validation.error.max.experimental.weapon","Maximum number of experimental weapons exceeded.","","","","Nombre maximum d'armes expérimentales dépassé.","","Превышено максимальное количество экспериментальных вооружений.","实验性武器数量超出限制。",""
"ship.validation.error.max.fighter.hangar","Maximum number of fighter hangars exceeded.","","","","Nombre maximum de hangars pour chasseur dépassé.","","Превышено максимальное количество ангаров истребителей.","舰载机机库数量超出限制。",""
"ship.validation.error.max.dockingcomputer","Maximum number of docking computers exceeded.","","","","","","Превышено максимальное количество компьютеров стыковки.","停靠电脑数量超出限制。",""
"ship.validation.error.max.supercruiseassist","Maximum number of supercruise assist modules exceeded.","","","","","","Превышено максимальное количество помощников суперкрейсерского режима.","超巡辅助模块数量超出限制。",""
"ship.validation.error.max.dss","Maximum number of detailed surface scanners exceeded.","","","","Nombre maximum de scanners de surface détaillée dépassé.","","Превышено максимальное количество детальных сканеров поверхностей.","DSS数量超出限制。",""
"ship.validation.error.max.stabiliser","Maximum number of experimental weapon stabilisers exceeded.","","","","","","Превышено максимальное количество стабилизаторов экспериментального оружия.","实验性武器稳定器数量超出限制。",""
"ship.validation.error.max.fsdbooster","Maximum number of guardian frame shift drive boosters exceeded.","","","","","","Превышено максимальное количество ускорителей FSD.","守护者FSD增程器数量超出限制。",""
"ship.validation.error.max.fsdinterdictor","Maximum number of  FSD interdictors exceeded.","","","","Nombre maximum d’intercepteurs de réacteur FSD dépassé.","","Превышено максимальное количество перехватчиков FSD.","FSD interdictor数量超出限制。",""
"ship.validation.error.max.wakescanner","Maximum number of frame shift wake scanners exceeded.","","","","","","Превышено максимальное количество сканеров следа FSD.","Frame shift wake scanner数量超出限制。",""
"ship.validation.error.max.fuelscoop","Maximum number of fuel scoops exceeded.","","","","Nombre maximum de récupérateurs de carburant dépassé.","","Превышено максимальное количество топливозаборников.","油勺数量超出限制。",""
"ship.validation.error.max.killwarrantscanner","Maximum number of killwarrant scanners exceeded.","","","","Nombre maximum de détecteurs d’avis de recherche dépassé.","","Превышено максимальное количество сканеров преступников.","Kill warrant scanner数量超出限制。",""
"ship.validation.error.max.manifestscanner","Maximum number of manifest scanners exceeded.","","","","Nombre maximum de scanners de manifeste dépassé.","","Превышено максимальное количество сканеров груза.","Manifest scanner数量超出限制。",""
"ship.validation.error.max.multilimpetcontroller","Maximum number of multi-limpet controllers exceeded.","","","","","","Превышено максимальное количество мультиконтроллеров дронов.","多用途无人机控制器数量超出限制。",""
"ship.validation.error.max.pwa","Maximum number of pulse wave analyzers exceeded.","","","","","","Превышено максимальное количество анализаторов импульсных волн.","Pulse wave analyzer数量超出限制。",""
"ship.validation.error.max.refinery","Maximum number of refineries exceeded.","","","","Nombre maximum de raffineries dépassé.","","Превышено максимальное количество очистителей.","Refinery数量超出限制。",""
"ship.validation.error.max.shieldgenerator","Maximum number of shield generators exceeded.","","","","Nombre maximum de générateurs de bouclier dépassé.","","Превышено максимальное количество щитогенераторов.","护盾生成器数量超出限制。",""
"ship.validation.error.max.xenoscanner","Maximum number of xeno scanners exceeded.","","","","","","Превышено максимальное количество ксено-сканеров.","Xeno scanner数量超出限制。",""
"ship.validation.error.max.shieldgenerator.mass","Ship hull mass exceeds shield generator maximum.","","","","","","Масса корпуса корабля превышает максимум щитогенератора.","舰船船体质量超出护盾生成器最大防护质量。",""
"ship.validation.error.max.thruster.mass","Ship total mass exceeds thruster maximum.","","","","","","Общая масса корабля превышает максимум двигателей.","舰船总质量超出推进器最大推进质量。",""
"ship.validation.warning.max.power.delivery.boost","Power delivery engine capacity is not enough to boost.","","","","","","Недостаточно мощности двигателя для ускорения.","配电引擎电容不足，无法加力。",""
"ship.stats.validation","Validation","","","","Validation","","Проверка","问题",""
"ship.stats.jumprange.supercruise.profile","Supercruise profile","","","","","","Профиль суперкруиза","超巡性能",""
"ship.stats.jump","Frame shift drive","","","","Réacteur FSD","","FSD","FSD",""
"ship.stats.jump.chart.pitch","Pitch","","","","Tangage","","Тангаж","俯仰",""
"ship.stats.jump.chart.yaw","Yaw","","","","Lacet","","Рыскание","偏航",""
"ship.stats.jump.chart.roll","Roll","","","","Roulis","","Крен","滚转",""
"ship.stats.jump.chart.xaxis","Throttle (%)","","","","","Empuxo (%)","Газ (%)","推力 (%)",""
"ship.stats.jump.chart.yaxis","Rotation (°/s)","","","","Rotation (°/s)","","Вращение (°/с)","旋转速度 (°/s)",""
"ship.stats.jump.chart.tooltip","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s","","","","{0} : {1}%\n{2} : {3} °/s\n{4} : {5} °/s\n{6} : {7} °/s","","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s",""
"ship.stats.jump.chart.throttle","Throttle","","","","","","Газ","推力",""
"ship.stats.handling.chart.pitch","Pitch","","","","Tangage","","Тангаж","俯仰",""
"ship.stats.handling.chart.yaw","Yaw","","","","Lacet","","Рыскание","偏航",""
"ship.stats.handling.chart.roll","Roll","","","","Roulis","","Крен","滚转",""
"ship.stats.handling.chart.xaxis","Throttle (%)","","","","","","Газ (%)","推力 (%)",""
"ship.stats.handling.chart.yaxis","Rotation (°/s)","","","","Rotation (°/s)","","Вращение (°/с)","旋转速度 (°/s)",""
"ship.stats.handling.chart.tooltip","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s","","","","{0} : {1}%\n{2} : {3} °/s\n{4} : {5} °/s\n{6} : {7} °/s","","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s","{0}: {1}%\n{2}: {3} °/s\n{4}: {5} °/s\n{6}: {7} °/s",""
"ship.stats.handling.chart.throttle","Throttle","","","","","","Газ","推力",""
"ship.stats.handling.chart.min","No pips","","","","","","Без ячеек","0 pip",""
"ship.stats.handling.chart.current","Current","","","","","","Текущее","当前",""
"ship.stats.handling.chart.max","Full pips","","","","","","4 ячейки","4 pip",""
"ship.stats.thermal.thruster.silentruntime.value","{0}s","","","","{0}s","","{0} с","{0}s",""
"ship.stats.thermal.thruster.silentruntime","Silent run time","","","","","","Бесшумный ход","Silent Running时间",""
"ship.stats.thermal.idle.thermals.tooltip","Heat level when ship is not moving","","","","","","Тепло, когда корабль не двигается","舰船静止时的热量水平",""
"ship.stats.thermal.thruster.thermals.tooltip","Heat level with full throttle","","","","","","Уровень тепла корабля на полном газу","全力推进时的热量水平",""
"ship.stats.thermal.fsd.thermals.tooltip","Heat level or time to overheat with full throttle and FSD charging","","","","","","Уровень тепла или время перегрева на полном газу и при зарядке FSD","全力推进且FSD充能时的热量水平或过热所需时间",""
"ship.stats.thermal.thruster.silentruntime.tooltip","Time until 100% heat with full throttle when silent running","","","","","","Время до 100% тепла на полном газу при тихом ходе","全力推进且处于Silent Running时过热所需时间",""
"ship.stats.thermal.weapon.thermals","Weapon fire","","","","","","Огонь из оружия","武器开火",""
"ship.stats.thermal.weapon.thermals.value","{0}%","","","","{0}%","","{0}%","{0}%",""
"ship.stats.config.weapon.groups","Weapon groups","","","","","","Оружейные группы","开火组",""
"ship.stats.ship.sensorrange.value","{0}m - {1}m","","","","{0}m - {1}m","","{0}m - {1}m","{0}米 - {1}米",""
"ship.stats.ship.sensorrange","Base detection","","","","Détection de base","","Базовое распознавание","基础探测距离",""
"ship.stats.ship.sensorrange.tooltip","Ship base sensor detection range when idle or silent running, based\non typical emmision range of the scanning ship’s sensors(1E unengineered-8A long range)","","","","","","Базовая дальность обнаружения сенсорами корабля в режиме ожидания или бесшумной работы, основанный\n на типичном диапазоне излучения сканирующих сенсоров корабля (1E стандарт - 8A улучшенный на дальность)","当舰船静止或Silent Running时的基础传感器探测范围，\n根据扫描者舰船传感器 (1E无改-8A+Long Range) 的标准信号范围得到",""
"ship.stats.ship.effectivesensorrange.value","{0}m - {1}m","","","","{0}m - {1}m","","{0}m - {1}m","{0}米 - {1}米",""
"ship.stats.ship.effectivesensorrange","Effective detection","","","","Détection effective","","Эффективное распознавание","有效探测距离",""
"ship.stats.ship.effectivesensorrange.tooltip","Ship effective sensor detection range when idle, based on current thermal\nload and the typical emission range of the scanning ship’s sensors(1E unengineered-8A long range)","","","","","","Эффективная дальность обнаружения сенсорами корабля в режиме ожидания, основанная на текущей тепловой\n нагрузке и типичном диапазоне излучения сканирующих сенсоров корабля (1E стандарт - 8A улучшенный на дальность)","当舰船静止时的实际传感器探测范围，根据当前热量\n以及扫描者舰船传感器 (1E无改-8A+Long Range) 的标准信号范围得到",""
"ship.stats.ship.boostcost","Boost cost","","","","","","Стоимость ускорения","单次加力电量消耗",""
"ship.stats.ship.boostcost.value","{0} MW","","","","{0} MW","","{0} MW","{0} MW",""
