"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"loadout.modification.name.headshot_damage_plasma","Headshot Damage","Headshot Damage","Kopfschussschaden","Daño por disparo en la cabeza","Dégâts par balle","Danos de tiro na cabeça","Урон от выстрела в голову","爆头伤害",""
"loadout.modification.name.higher_accuracy_kinetic","Improved Hip Fire Accuracy","Improved Hip Fire Accuracy","Verbesserte Hüftfeuergenauigkeit","Precisión de tiro de cadera mejorada","Précision de tir de hanche améliorée","Precisão de Tiro sem Mirar Melhorada","Повышенная точность стрельбы от бедра","改进腰射精度",""
"loadout.modification.name.higher_accuracy_laser","Improved Hip Fire Accuracy","Improved Hip Fire Accuracy","Verbesserte Hüftfeuergenauigkeit","Precisión de tiro de cadera mejorada","Précision de tir de hanche améliorée","Precisão de Tiro sem Mirar Melhorada","Повышенная точность стрельбы от бедра","改进腰射精度",""
"loadout.modification.name.higher_accuracy_plasma","Improved Hip Fire Accuracy","Improved Hip Fire Accuracy","Verbesserte Hüftfeuergenauigkeit","Precisión de tiro de cadera mejorada","Précision de tir de hanche améliorée","Precisão de Tiro sem Mirar Melhorada","Повышенная точность стрельбы от бедра","改进腰射精度",""
"loadout.modification.name.improved_battery_capacity","Improved Battery Capacity","Improved Battery Capacity","Verbesserte Batteriekapazität","Capacidad de batería mejorada","Amélioration de la capacité de la batterie","Capacidade da bateria aprimorada","Улучшенная батарея","改进电池容量",""
"loadout.modification.name.improved_jump_assist","Improved Jump Assist","Improved Jump Assist","Verbesserte Sprunghilfe","Asistencia de salto mejorada","Assistance au saut améliorée","Assistência de Salto Melhorada","Улучшенная помощь при прыжке","增强辅助跳跃",""
"loadout.modification.name.increased_air_reserves","Increased Air Reserves","Increased Air Reserves","Erhöhte Luftreserven","Aumento de las reservas de aire","Augmentation des réserves d’air","Reservas de ar aumentadas","Увеличенный запас воздуха","增加氧气储量",""
"loadout.modification.name.increased_sprint_duration","Increased Sprint Duration","Increased Sprint Duration","Erhöhte Sprintdauer","Mayor duración del sprint","Augmentation de la durée du sprint","Duração de corrida aumentada","Повышенная длительность бега","增加冲刺时间",""
"loadout.modification.name.magazine_size","Magazine Size","Magazine Size","Magazingröße","Tamaño delcargador","Taille du magazine","Tamanho do carregador","Размер магазина","弹匣容量",""
"loadout.modification.name.night_vision","Night Vision","Night Vision","Nachtsicht","Visión nocturna","Vision nocturne","Visão noturna","Ночное видение","夜视",""
"loadout.modification.name.noise_suppressor","Noise Suppressor","Noise Suppressor","Rausch-unterdrücker","Supresor de ruido","Suppresseur de bruit","Supressor de ruído","Глушитель","噪音抑制器",""
"loadout.modification.name.none","None","None","Keine","Ninguno","Aucun","Nenhum","Нет","无",""
"loadout.modification.name.quieter_footsteps","Quieter Footsteps","Quieter Footsteps","Leisere Schritte","Pasos silenciosos","Pas plus silencieux","Passos Mais Silenciosos","Приглушённые шаги","减弱脚步声",""
"loadout.modification.name.reduced_tool_battery_consumption","Reduced Tool Battery Consumption","Reduced Tool Battery Consumption","Verringerter Werkzeug-Batterieverbrauch","Consumo reducido de batería de herramientas","Consommation réduite de la batterie de l’outil","Consumo de Bateria por Ferramentas Reduzido","Сниженный расход батареи инструмента","降低工具耗电量",""
"loadout.modification.name.reload_speed","Reload Speed","Reload Speed","Nachlade-geschwindigkeit","Velocidad de recarga","Vitesse de rechargement","Velocidade de recarga","Скорость перезарядки","装填速度",""
"loadout.modification.name.scope","Scope","Scope","Visier","Alcance","Portée","Mira Telescópica","Прицел","瞄准镜",""
"loadout.modification.name.stability","Stability","Stability","Stabilität","Estabilidad","Stabilité","Estabilidade","Устойчивость","稳定性",""
"loadout.modification.name.stowed_reloading","Stowed Reloading","Stowed Reloading","Nachladen Bei Verwahrter Waffe","Recarga guardada","Rechargement rangé","Recargamento armazenado","Перезарядка в кобуре","收起武器自动装填",""
