"messageKey","","en","de","es","fr","pt","ru","zh"
"material.data.surveilleancelogs","Surveillance Logs","Surveillance Logs","","","","","",""
"material.data.tacticalplans","Tactical Plans","Tactical Plans","","","","","",""
"material.data.taxrecords","Tax Records","Tax Records","","","","","",""
"material.data.topographicalsurveys","Topographical Surveys","Topographical Surveys","","","","","",""
"material.data.travelpermits","Travel Permits","Travel Permits","","","","","",""
"material.data.troopdeploymentrecords","Troop Deployment Records","Troop Deployment Records","","","","","",""
"material.data.unionmembership","Union Membership","Union Membership","","","","","",""
"material.data.unknown","UNKNOWN","UNKNOWN","","","","","",""
"material.data.vaccinationrecords","Vaccination Records","Vaccination Records","","","","","",""
"material.data.vaccineresearch","Vaccine Research","Vaccine Research","","","","","",""
"material.data.vipsecuritydetail","VIP Security Detail","VIP Security Detail","","","","","",""
"material.data.virologydata","Virology Data","Virology Data","","","","","",""
"material.data.virus","Virus","Virus","","","","","",""
"material.data.visitorregister","Visitor Register","Visitor Register","","","","","",""
"material.data.weaponinventory","Weapon Inventory","Weapon Inventory","","","","","",""
"material.data.weapontestdata","Weapon Test Data","Weapon Test Data","","","","","",""
"material.data.xenodefenceprotocols","Xeno-Defence Protocols","Xeno-Defence Protocols","","","","","",""
"material.data.powerpreparationspyware","Power Injection Malware","","","","","","",""
"material.data.powerspyware","Power Tracker Malware","","","","","","",""
"material.data.powerresearchdata","Power Research Data","","","","","","",""
"material.data.poweremployeedata","Power Association Data","","","","","","",""
"material.data.powerfinancialrecords","Power Industrial Data","","","","","","",""
"material.data.powerpropagandadata","Power Political Data","","","","","","",""
"material.data.powerclassifieddata","Power Classified Data","","","","","","",""
"material.data.powermegashipdata","Power Megaship Data","","","","","","",""
