"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"spawn.location.type.locker.out","Containers outside","Containers outside","Container außerhalb","Contenedores fuera","Conteneurs à l’extérieur","Contêineres externos","Контейнеры снаружи","外部容器 (containers)",""
"spawn.location.type.locker.proc","Processing","Processing","Verarbeitung","Procesando","Traitement","Processando","Обработка","加工",""
"spawn.location.type.locker.pwr","Power","Power","Energie","Poder","Puissance","Poder","Реактор","反应堆",""
"spawn.location.type.locker.sec","Security","Security","Sicherheit","Seguridad","Sécurité","Segurança","Безопасность","安保",""
"spawn.location.type.locker.sto","Storage","Storage","Speicher","Almacenamiento","Stockage","Armazenamento","Хранилище","仓库",""
"spawn.location.type.openlocker","Open lockers","Open lockers","Öffne Schließfächer","Taquillas abiertas","Casiers déverrouillés","Abrir armários","Открытые шкафчики","打开的柜子 (lockers)",""
"spawn.location.type.other.mission_objective","Mission objective","Mission objective","Missionsziel","Objetivo de la misión","Objectif de mission","Objetivo da missão","Цель миссии","任务目标",""
"spawn.location.type.other.mission_reward","Mission reward","Mission reward","Missionsbelohnung","Recompensa de la misión","Récompense de mission","Recompensa da missão","Награда за миссию","任务奖励",""
"spawn.location.type.other","Other Locations","Other Locations","Andere Standorte","Otras ubicaciones","Autres emplacements","Outros locais","Другие локации","其他地点",""
"spawn.location.type.planetary.crashed","Crashed ship(Crash site)","Crashed ship(Crash site)","Abgestürztes Schiff (Absturzstelle)","Nave estrellada (lugar del accidente)","Navire écrasé (site du crash)","Navio quebrou (local de acidente)","Разбитый корабль (Место крушения)","坠毁飞船 (Crash site)",""
"spawn.location.type.planetary.large_sat","Large satellite(Impact site 2)","Large satellite(Impact site 2)","Großer Satellit (Einschlagsstelle 2)","Satélite grande (lugar de impacto 2)","Grand satellite (site d’impact 2)","Grande satélite (local de impacto 2)","Большой спутник (место падения 2)","大型卫星 (Impact site 2)",""
"spawn.location.type.planetary.skimmer","Skimmer(Irregular marker)","Skimmer(Irregular marker)","Skimmer (Unregelmäßige Markierung)","Skimmer (marcador irregular)","Skimmer (marqueur irrégulier)","Skimmer (marcador irregular)","Беспилотник (Нестандартные метки)","Skimmer (Irregular marker)",""
"spawn.location.type.planetary.small_sat","Small satellite(Impact site 1 & 3)","Small satellite(Impact site 1 & 3)","Kleiner Satellit (Einschlagsstelle 1 & 3)","Pequeño satélite (lugar de impacto 1 & 3)","Petit satellite (site d’impact 1 & 3)","Pequeno satélite (local de impacto 1 & 3)","Маленький спутник (место падения 1 & 3)","小型卫星 (Impact site 1&3)",""
"spawn.location.type.planetary.srv","SRV(Irregular marker)","SRV(Irregular marker)","SRV(Unregelmäßige Markierung)","VRS (Marcador Irregular)","SRV(Marqueur irrégulier)","SRV (marcador irregular)","SRV (Нестандартные метки)","SRV (Irregular marker)",""
"spawn.location.type.planetary","Planetary signal sources","Planetary signal sources","Planetäre Signalquellen","Fuentes de señales planetarias","Sources de signaux planétaires","Fontes de sinais planetários","Источники планетных сигналов","星球表面信号",""
"spawn.location.type.dataport.agr","Agricultural Data Port","Agricultural Data Port","Landwirtschaftlich","Agrícola","Agriculture","Agrícola","Порт данных в здании Сельскохозяйственного производства","农业 数据端口",""
"spawn.location.type.dataport.cmd","Command Data Port","Command Data Port","Befehl","Comando","Commande","Comando","Порт данных в здании Командного центра","指令 数据端口",""
"spawn.location.type.dataport.ext","Extraction Data Port","Extraction Data Port","Extraktion","Extracción","Extraction","Extração","Порт данных в здании Добывающей установки","开采 数据端口",""
"spawn.location.type.dataport.hab","Habitat Data Port","Habitat Data Port","Lebensraum","Hábitat","Habitat","Habitat","Порт данных в здании Жилого модуля","居住区 数据端口",""
"spawn.location.type.dataport.ind","Industrial Data Port","Industrial Data Port","Industriell","Industrial","Industriel","Industrial","Порт данных в здании Производства","工业 数据端口",""
"spawn.location.type.dataport.lab","Laboratory Data Port","Laboratory Data Port","Labor","Laboratorio","Laboratoire","Laboratório","Порт данных в здании Биологической лаборатории","实验室 数据端口",""
"spawn.location.type.dataport.med","Medical Data Port","Medical Data Port","Medizinisch","Médico","Médical","Médico","Порт данных в комнате Медотсека","医疗 数据端口",""
"spawn.location.type.dataport.pwr","Power Data Port","Power Data Port","Energie","Poder","Alimentation","Power","Порт данных в здании Энергетического центра","反应堆 数据端口",""
"spawn.location.type.dataport.sec","Security Data Port","Security Data Port","Sicherheit","Seguridad","Sécurité","Segurança","Порт данных в комнате Безопасности","安保 数据端口",""
"spawn.location.type.dataport.poi","Data Port","Data Port","Datenschnittstelle","Puerto de datos","Port de données","Porta de dados","Порт данных","数据端口",""
