"messageKey","","en","de","es","fr","pt","ru","zh"
"material.commodity.cmmcomposite","CMM Composite","CMM Composite","","","","","",""
"material.commodity.cobalt","Cobalt","Cobalt","","","","","",""
"material.commodity.coffee","Coffee","Coffee","","","","","",""
"material.commodity.coltan","Coltan","Coltan","","","","","",""
"material.commodity.combatstabilisers","Combat Stabilisers","Combat Stabilisers","","","","","",""
"material.commodity.comercialsamples","Commercial Samples","Commercial Samples","","","","","",""
"material.commodity.computercomponents","Computer Components","Computer Components","","","","","",""
"material.commodity.conductivefabrics","Conductive Fabrics","Conductive Fabrics","","","","","",""
"material.commodity.consumertechnology","Consumer Technology","Consumer Technology","","","","","",""
"material.commodity.coolinghoses","Micro-weave Cooling Hoses","Micro-weave Cooling Hoses","","","","","",""
"material.commodity.copper","Copper","Copper","","","","","",""
"material.commodity.coquimspongiformvictuals","Coquim Spongiform Victuals","Coquim Spongiform Victuals","","","","","",""
"material.commodity.coralsap","Coral Sap","Coral Sap","","","","","",""
"material.commodity.counterculturesupport","Revolutionary supplies","Revolutionary supplies","","","","","",""
"material.commodity.cropharvesters","Crop Harvesters","Crop Harvesters","","","","","",""
"material.commodity.cryolite","Cryolite","Cryolite","","","","","",""
"material.commodity.crystallinespheres","Crystalline Spheres","Crystalline Spheres","","","","","",""
"material.commodity.damagedescapepod","Damaged Escape Pod","Damaged Escape Pod","","","","","",""
"material.commodity.damnacarapaces","Damna Carapaces","Damna Carapaces","","","","","",""
"material.commodity.datacore","Data Core","Data Core","","","","","",""
"material.commodity.deltaphoenicispalms","Delta Phoenicis Palms","Delta Phoenicis Palms","","","","","",""
"material.commodity.deuringastruffles","Deuringas Truffles","Deuringas Truffles","","","","","",""
"material.commodity.diagnosticsensor","Hardware Diagnostic Sensor","Hardware Diagnostic Sensor","","","","","",""
"material.commodity.diplomaticbag","Diplomatic Bag","Diplomatic Bag","","","","","",""
"material.commodity.disomacorn","Diso Ma Corn","Diso Ma Corn","","","","","",""
"material.commodity.domesticappliances","Domestic Appliances","Domestic Appliances","","","","","",""
"material.commodity.drones","Limpets","Limpets","","","","","",""
"material.commodity.duradrives","Duradrives","Duradrives","","","","","",""
"material.commodity.earthrelics","Earth Relics","Earth Relics","","","","","",""
"material.commodity.eleuthermals","Eleu Thermals","Eleu Thermals","","","","","",""
"material.commodity.emergencypowercells","Emergency Power Cells","Emergency Power Cells","","","","","",""
"material.commodity.encripteddatastorage","Encrypted Data Storage","Encrypted Data Storage","","","","","",""
"material.commodity.encryptedcorrespondence","Encrypted Correspondence","Encrypted Correspondence","","","","","",""
"material.commodity.eraninpearlwhisky","Eranin Pearl Whisky","Eranin Pearl Whisky","","","","","",""
"material.commodity.eshuumbrellas","Eshu Umbrellas","Eshu Umbrellas","","","","","",""
"material.commodity.esusekucaviar","Esuseku Caviar","Esuseku Caviar","","","","","",""
"material.commodity.ethgrezeteabuds","Ethgreze Tea Buds","Ethgreze Tea Buds","","","","","",""
"material.commodity.evacuationshelter","Evacuation Shelter","Evacuation Shelter","","","","","",""
"material.commodity.exhaustmanifold","Exhaust Manifold","Exhaust Manifold","","","","","",""
"material.commodity.explosives","Explosives","Explosives","","","","","",""
"material.commodity.federalaid","Liberal Federal Aid","Liberal Federal Aid","","","","","",""
"material.commodity.federaltradecontracts","Liberal Federal Packages","Liberal Federal Packages","","","","","",""
"material.commodity.fish","Fish","Fish","","","","","",""
"material.commodity.foodcartridges","Food Cartridges","Food Cartridges","","","","","",""
"material.commodity.fossilremnants","Fossil Remnants","Fossil Remnants","","","","","",""
"material.commodity.fruitandvegetables","Fruit and Vegetables","Fruit and Vegetables","","","","","",""
"material.commodity.fujintea","Fujin Tea","Fujin Tea","","","","","",""
"material.commodity.galactictravelguide","Galactic Travel Guide","Galactic Travel Guide","","","","","",""
"material.commodity.gallite","Gallite","Gallite","","","","","",""
"material.commodity.gallium","Gallium","Gallium","","","","","",""
"material.commodity.geawendancedust","Geawen Dance Dust","Geawen Dance Dust","","","","","",""
"material.commodity.genebank","Gene Bank","Gene Bank","","","","","",""
"material.commodity.geologicalequipment","Geological Equipment","Geological Equipment","","","","","",""
"material.commodity.geologicalsamples","Geological Samples","Geological Samples","","","","","",""
"material.commodity.gerasiangueuzebeer","Gerasian Gueuze Beer","Gerasian Gueuze Beer","","","","","",""
"material.commodity.giantirukamasnails","Giant Irukama Snails","Giant Irukama Snails","","","","","",""
"material.commodity.giantverrix","Giant Verrix","Giant Verrix","","","","","",""
"material.commodity.gilyasignatureweapons","Gilya Signature Weapons","Gilya Signature Weapons","","","","","",""
"material.commodity.gold","Gold","Gold","","","","","",""
"material.commodity.gomanyauponcoffee","Goman Yaupon Coffee","Goman Yaupon Coffee","","","","","",""
"material.commodity.goslarite","Goslarite","Goslarite","","","","","",""
"material.commodity.grain","Grain","Grain","","","","","",""
"material.commodity.grandidierite","Grandidierite","Grandidierite","","","","","",""
"material.commodity.gromcounterintelligence","Grom Counter Intelligence","Grom Counter Intelligence","","","","","",""
"material.commodity.gromwartrophies","Yuri Grom’s Military Supplies","Yuri Grom’s Military Supplies","","","","","",""
"material.commodity.haematite","Haematite","","","","","","",""
"material.commodity.hafnium178","Hafnium 178","Hafnium 178","","","","","",""
"material.commodity.haidneblackbrew","Haiden Black Brew","Haiden Black Brew","","","","","",""
"material.commodity.harmasilversearum","Harma Silver Sea Rum","Harma Silver Sea Rum","","","","","",""
"material.commodity.havasupaidreamcatcher","Havasupai Dream Catcher","Havasupai Dream Catcher","","","","","",""
"material.commodity.hazardousenvironmentsuits","H.E. Suits","H.E. Suits","","","","","",""
"material.commodity.heatsinkinterlink","Heatsink Interlink","Heatsink Interlink","","","","","",""
"material.commodity.heliostaticfurnaces","Microbial Furnaces","Microbial Furnaces","","","","","",""
"material.commodity.helvetitjpearls","Helvetitj Pearls","Helvetitj Pearls","","","","","",""
"material.commodity.hip10175bushmeat","HIP 10175 Bush Meat","HIP 10175 Bush Meat","","","","","",""
"material.commodity.hip41181squid","HIP Proto-Squid","HIP Proto-Squid","","","","","",""
"material.commodity.hip118311swarm","HIP 118311 Swarm","HIP 118311 Swarm","","","","","",""
"material.commodity.hiporganophosphates","Hip Organophosphates","Hip Organophosphates","","","","","",""
"material.commodity.hnshockmount","HN Shock Mount","HN Shock Mount","","","","","",""
"material.commodity.holvaduellingblades","Holva Duelling Blades","Holva Duelling Blades","","","","","",""
"material.commodity.honestypills","Honesty Pills","Honesty Pills","","","","","",""
"material.commodity.hostage","Hostages","Hostages","","","","","",""
"material.commodity.hr7221wheat","HR 7221 Wheat","HR 7221 Wheat","","","","","",""
"material.commodity.hydrogenfuel","Hydrogen Fuel","Hydrogen Fuel","","","","","",""
"material.commodity.hydrogenperoxide","Hydrogen Peroxide","Hydrogen Peroxide","","","","","",""
"material.commodity.illicitconsignment","Kumo Contraband Package","Kumo Contraband Package","","","","","",""
"material.commodity.imperialprisoner","Torval Political Prisoners","Torval Political Prisoners","","","","","",""
"material.commodity.imperialslaves","Imperial Slaves","Imperial Slaves","","","","","",""
"material.commodity.indibourbon","Indi Bourbon","Indi Bourbon","","","","","",""
"material.commodity.indite","Indite","Indite","","","","","",""
"material.commodity.indium","Indium","Indium","","","","","",""
"material.commodity.insulatingmembrane","Insulating Membrane","Insulating Membrane","","","","","",""
"material.commodity.iondistributor","Ion Distributor","Ion Distributor","","","","","",""
"material.commodity.jadeite","Jadeite","Jadeite","","","","","",""
"material.commodity.jaquesquinentianstill","Jaques Quinentian Still","Jaques Quinentian Still","","","","","",""
"material.commodity.jaradharrepuzzlebox","Jaradharre Puzzle Box","Jaradharre Puzzle Box","","","","","",""
"material.commodity.jarouarice","Jaroua Rice","Jaroua Rice","","","","","",""
"material.commodity.jotunmookah","Jotun Mookah","Jotun Mookah","","","","","",""
"material.commodity.kachiriginleaches","Kachirigin Filter Leeches","Kachirigin Filter Leeches","","","","","",""
"material.commodity.kaineaidsupplies","Kaine Aid Supplies","","","","","","",""
"material.commodity.kainelobbyingmaterial","Kaine Lobbying Materials","","","","","","",""
"material.commodity.kainemisinformation","Kaine Misinformation","","","","","","",""
"material.commodity.kamitracigars","Kamitra Cigars","Kamitra Cigars","","","","","",""
"material.commodity.kamorinhistoricweapons","Kamorin Historic Weapons","Kamorin Historic Weapons","","","","","",""
"material.commodity.karetiicouture","Karetii Couture","Karetii Couture","","","","","",""
"material.commodity.karsukilocusts","Karsuki Locusts","Karsuki Locusts","","","","","",""
"material.commodity.kinagoinstruments","Kinago Violins","Kinago Violins","","","","","",""
"material.commodity.konggaale","Kongga Ale","Kongga Ale","","","","","",""
"material.commodity.korrokungpellets","Koro Kung Pellets","Koro Kung Pellets","","","","","",""
"material.commodity.landmines","Landmines","Landmines","","","","","",""
"material.commodity.lanthanum","Lanthanum","Lanthanum","","","","","",""
"material.commodity.largeexplorationdatacash","Large Survey Data Cache","Large Survey Data Cache","","","","","",""
"material.commodity.lavianbrandy","Lavian Brandy","Lavian Brandy","","","","","",""
"material.commodity.lavignycorruptiondossiers","Lavigny Corruption Reports","Lavigny Corruption Reports","","","","","",""
"material.commodity.lavignyfieldsupplies","Lavigny Field Supplies","Lavigny Field Supplies","","","","","",""
"material.commodity.lavignygarisonsupplies","Lavigny Garrison Supplies","Lavigny Garrison Supplies","","","","","",""
"material.commodity.lavignystrategicreports","Lavigny Strategic Reports","","","","","","",""
"material.commodity.leather","Leather","Leather","","","","","",""
"material.commodity.leestianeviljuice","Leestian Evil Juice","Leestian Evil Juice","","","","","",""
"material.commodity.lepidolite","Lepidolite","Lepidolite","","","","","",""
"material.commodity.lftvoidextractcoffee","Void Extract Coffee","Void Extract Coffee","","","","","",""
"material.commodity.liberalcampaignmaterials","Liberal Propaganda","Liberal Propaganda","","","","","",""
"material.commodity.liquidoxygen","Liquid oxygen","Liquid oxygen","","","","","",""
"material.commodity.liquor","Liquor","Liquor","","","","","",""
"material.commodity.lithium","Lithium","Lithium","","","","","",""
"material.commodity.lithiumhydroxide","Lithium Hydroxide","Lithium Hydroxide","","","","","",""
"material.commodity.livehecateseaworms","Live Hecate Sea Worms","Live Hecate Sea Worms","","","","","",""
"material.commodity.loanedarms","Marked Military Arms","Marked Military Arms","","","","","",""
"material.commodity.lowtemperaturediamond","Low Temperature Diamonds","Low Temperature Diamonds","","","","","",""
"material.commodity.ltthypersweet","LTT Hyper Sweet","LTT Hyper Sweet","","","","","",""
"material.commodity.lyraeweed","Lyrae Weed","Lyrae Weed","","","","","",""
"material.commodity.m3_tissuesample_membrane","Mollusc Membrane","Mollusc Membrane","","","","","",""
"material.commodity.m3_tissuesample_mycelium","Mollusc Mycelium","Mollusc Mycelium","","","","","",""
"material.commodity.m3_tissuesample_spores","Mollusc Spores","Mollusc Spores","","","","","",""
"material.commodity.m_tissuesample_fluid","Mollusc Fluid","Mollusc Fluid","","","","","",""
"material.commodity.m_tissuesample_nerves","Mollusc Brain Tissue","Mollusc Brain Tissue","","","","","",""
"material.commodity.m_tissuesample_soft","Mollusc Soft Tissue","Mollusc Soft Tissue","","","","","",""
"material.commodity.magneticemittercoil","Magnetic Emitter Coil","Magnetic Emitter Coil","","","","","",""
"material.commodity.marinesupplies","Marine Equipment","Marine Equipment","","","","","",""
"material.commodity.markedslaves","Marked Slaves","Marked Slaves","","","","","",""
"material.commodity.masterchefs","Master Chefs","Master Chefs","","","","","",""
"material.commodity.mechucoshightea","Mechucos High Tea","Mechucos High Tea","","","","","",""
"material.commodity.medbstarlube","Medb Starlube","Medb Starlube","","","","","",""
"material.commodity.medicaldiagnosticequipment","Medical Diagnostic Equipment","Medical Diagnostic Equipment","","","","","",""
"material.commodity.metaalloys","Meta-Alloys","Meta-Alloys","","","","","",""
"material.commodity.methaneclathrate","Methane Clathrate","Methane Clathrate","","","","","",""
"material.commodity.methanolmonohydratecrystals","Methanol Monohydrate Crystals","Methanol Monohydrate Crystals","","","","","",""
"material.commodity.microcontrollers","Micro Controllers","Micro Controllers","","","","","",""
"material.commodity.militarygradefabrics","Military Grade Fabrics","Military Grade Fabrics","","","","","",""
"material.commodity.militaryintelligence","Military Intelligence","Military Intelligence","","","","","",""
"material.commodity.mineralextractors","Mineral Extractors","Mineral Extractors","","","","","",""
"material.commodity.mineraloil","Mineral Oil","Mineral Oil","","","","","",""
"material.commodity.modularterminals","Modular Terminals","Modular Terminals","","","","","",""
"material.commodity.moissanite","Moissanite","Moissanite","","","","","",""
"material.commodity.mokojingbeastfeast","Mokojing Beast Feast","Mokojing Beast Feast","","","","","",""
"material.commodity.momusbogspaniel","Momus Bog Spaniel","Momus Bog Spaniel","","","","","",""
"material.commodity.monazite","Monazite","Monazite","","","","","",""
"material.commodity.motronaexperiencejelly","Motrona Experience Jelly","Motrona Experience Jelly","","","","","",""
"material.commodity.mukusubiichitinos","Mukusubii Chitin-os","Mukusubii Chitin-os","","","","","",""
"material.commodity.mulachigiantfungus","Mulachi Giant Fungus","Mulachi Giant Fungus","","","","","",""
"material.commodity.musgravite","Musgravite","Musgravite","","","","","",""
"material.commodity.mutomimager","Muon Imager","Muon Imager","","","","","",""
"material.commodity.mysteriousidol","Mysterious Idol","Mysterious Idol","","","","","",""
"material.commodity.nanobreakers","Nanobreakers","Nanobreakers","","","","","",""
"material.commodity.nanomedicines","Nanomedicines","Nanomedicines","","","","","",""
"material.commodity.naturalfabrics","Natural Fabrics","Natural Fabrics","","","","","",""
"material.commodity.neofabricinsulation","Neofabric Insulation","Neofabric Insulation","","","","","",""
"material.commodity.neritusberries","Neritus Berries","Neritus Berries","","","","","",""
"material.commodity.nerveagents","Nerve Agents","Nerve Agents","","","","","",""
"material.commodity.ngadandarifireopals","Ngadandari Fire Opals","Ngadandari Fire Opals","","","","","",""
"material.commodity.ngunamodernantiques","Nguna Modern Antiques","Nguna Modern Antiques","","","","","",""
"material.commodity.njangarisaddles","Njangari Saddles","Njangari Saddles","","","","","",""
"material.commodity.noneuclidianexotanks","Non Euclidian Exotanks","Non Euclidian Exotanks","","","","","",""
"material.commodity.nonlethalweapons","Non-Lethal Weapons","Non-Lethal Weapons","","","","","",""
"material.commodity.occupiedcryopod","Occupied Escape Pod","Occupied Escape Pod","","","","","",""
"material.commodity.ochoengchillies","Ochoeng Chillies","Ochoeng Chillies","","","","","",""
"material.commodity.onionhead","Onionhead","Onionhead","","","","","",""
"material.commodity.onionheada","Onionhead Alpha Strain","Onionhead Alpha Strain","","","","","",""
"material.commodity.onionheadb","Onionhead Beta Strain","Onionhead Beta Strain","","","","","",""
"material.commodity.onionheadc","Onionhead Gamma Strain","Onionhead Gamma Strain","","","","","",""
"material.commodity.onionheadderivatives","Onionhead Derivatives","Onionhead Derivatives","","","","","",""
"material.commodity.onionheadsamples","Onionhead Samples","Onionhead Samples","","","","","",""
"material.commodity.opal","Void Opal","Void Opal","","","","","",""
"material.commodity.ophiuchiexinoartefacts","Ophiuch Exino Artefacts","Ophiuch Exino Artefacts","","","","","",""
"material.commodity.orrerianviciousbrew","Orrerian Vicious Brew","Orrerian Vicious Brew","","","","","",""
"material.commodity.osmium","Osmium","Osmium","","","","","",""
"material.commodity.outofdategoods","Out Of Date Goods","Out Of Date Goods","","","","","",""
"material.commodity.p_particulatesample","Anomaly Particles","Anomaly Particles","","","","","",""
"material.commodity.painite","Painite","Painite","","","","","",""
"material.commodity.palladium","Palladium","Palladium","","","","","",""
"material.commodity.pantaaprayersticks","Pantaa Prayer Sticks","Pantaa Prayer Sticks","","","","","",""
"material.commodity.patreusfieldsupplies","Patreus Field Supplies","Patreus Field Supplies","","","","","",""
"material.commodity.patreusgarisonsupplies","Patreus Garrison Supplies","Patreus Garrison Supplies","","","","","",""
"material.commodity.pavoniseargrubs","Pavonis Ear Grubs","Pavonis Ear Grubs","","","","","",""
"material.commodity.performanceenhancers","Performance Enhancers","Performance Enhancers","","","","","",""
"material.commodity.personaleffects","Personal Effects","Personal Effects","","","","","",""
"material.commodity.personalgifts","Personal Gifts","Personal Gifts","","","","","",""
"material.commodity.personalweapons","Personal Weapons","Personal Weapons","","","","","",""
"material.commodity.pesticides","Pesticides","Pesticides","","","","","",""
"material.commodity.platinum","Platinum","Platinum","","","","","",""
"material.commodity.platinumaloy","Platinum Alloy","Platinum Alloy","","","","","",""
"material.commodity.politicalprisoner","Political Prisoners","Political Prisoners","","","","","",""
"material.commodity.polymers","Polymers","Polymers","","","","","",""
"material.commodity.powerconverter","Power Converter","Power Converter","","","","","",""
"material.commodity.powergenerators","Power Generators","Power Generators","","","","","",""
"material.commodity.powergridassembly","Energy Grid Assembly","Energy Grid Assembly","","","","","",""
"material.commodity.powertransferconduits","Power Transfer Bus","Power Transfer Bus","","","","","",""
"material.commodity.praseodymium","Praseodymium","Praseodymium","","","","","",""
"material.commodity.preciousgems","Precious Gems","Precious Gems","","","","","",""
"material.commodity.progenitorcells","Progenitor Cells","Progenitor Cells","","","","","",""
"material.commodity.prohibitedresearchmaterials","Prohibited Research Materials","Prohibited Research Materials","","","","","",""
"material.commodity.pyrophyllite","Pyrophyllite","Pyrophyllite","","","","","",""
"material.commodity.radiationbaffle","Radiation Baffle","Radiation Baffle","","","","","",""
"material.commodity.rajukrustoves","Rajukru Multi-Stoves","Rajukru Multi-Stoves","","","","","",""
"material.commodity.rapabaosnakeskins","Rapa Bao Snake Skins","Rapa Bao Snake Skins","","","","","",""
"material.commodity.reactivearmour","Reactive Armour","Reactive Armour","","","","","",""
"material.commodity.reinforcedmountingplate","Reinforced Mounting Plate","Reinforced Mounting Plate","","","","","",""
"material.commodity.republicanfieldsupplies","Hudson’s Field Supplies","Hudson’s Field Supplies","","","","","",""
"material.commodity.republicangarisonsupplies","Hudson Garrison Supplies","Hudson Garrison Supplies","","","","","",""
"material.commodity.resonatingseparators","Resonating Separators","Resonating Separators","","","","","",""
"material.commodity.restrictedintel","Hudson’s Restricted Intel","Hudson’s Restricted Intel","","","","","",""
"material.commodity.restrictedpackage","Core Restricted Package","Core Restricted Package","","","","","",""
"material.commodity.rhodplumsite","Rhodplumsite","Rhodplumsite","","","","","",""
"material.commodity.robotics","Robotics","Robotics","","","","","",""
"material.commodity.rockforthfertiliser","Rockforth Fertiliser","Rockforth Fertiliser","","","","","",""
"material.commodity.rusanioldsmokey","Rusani Old Smokey","Rusani Old Smokey","","","","","",""
"material.commodity.rutile","Rutile","Rutile","","","","","",""
"material.commodity.s6_tissuesample_cells","Pod Outer Tissue","Pod Outer Tissue","","","","","",""
"material.commodity.s6_tissuesample_coenosarc","Pod Shell Tissue","Pod Shell Tissue","","","","","",""
"material.commodity.s6_tissuesample_mesoglea","Pod Mesoglea","Pod Mesoglea","","","","","",""
"material.commodity.s9_tissuesample_shell","Pod Tissue","Pod Tissue","","","","","",""
"material.commodity.s_tissuesample_cells","Pod Core Tissue","Pod Core Tissue","","","","","",""
"material.commodity.s_tissuesample_core","Pod Surface Tissue","Pod Surface Tissue","","","","","",""
"material.commodity.s_tissuesample_surface","Pod Dead Tissue","Pod Dead Tissue","","","","","",""
"material.commodity.samarium","Samarium","Samarium","","","","","",""
"material.commodity.sanumameat","Sanuma Decorative Meat","Sanuma Decorative Meat","","","","","",""
"material.commodity.sap8corecontainer","SAP 8 Core Container","SAP 8 Core Container","","","","","",""
"material.commodity.saxonwine","Saxon Wine","Saxon Wine","","","","","",""
"material.commodity.scientificresearch","Scientific Research","Scientific Research","","","","","",""
"material.commodity.scientificsamples","Scientific Samples","Scientific Samples","","","","","",""
"material.commodity.scrap","Scrap","Scrap","","","","","",""
"material.commodity.semiconductors","Semiconductors","Semiconductors","","","","","",""
"material.commodity.serendibite","Serendibite","Serendibite","","","","","",""
"material.commodity.shanscharisorchid","Shan’s Charis Orchid","Shan’s Charis Orchid","","","","","",""
"material.commodity.silver","Silver","Silver","","","","","",""
"material.commodity.siriuscommercialcontracts","Sirius Corporate Contracts","Sirius Corporate Contracts","","","","","",""
"material.commodity.siriusfranchisepackage","Sirius Franchise Package","Sirius Franchise Package","","","","","",""
"material.commodity.siriusindustrialequipment","Sirius Industrial Equipment","Sirius Industrial Equipment","","","","","",""
"material.commodity.skimercomponents","Skimmer Components","Skimmer Components","","","","","",""
"material.commodity.slaves","Slaves","Slaves","","","","","",""
"material.commodity.smallexplorationdatacash","Small Survey Data Cache","Small Survey Data Cache","","","","","",""
"material.commodity.soontillrelics","Soontill Relics","Soontill Relics","","","","","",""
"material.commodity.sothiscrystallinegold","Sothis Crystalline Gold","Sothis Crystalline Gold","","","","","",""
"material.commodity.spacepioneerrelics","Space Pioneer Relics","Space Pioneer Relics","","","","","",""
"material.commodity.steel","Steel","","","","","","",""
"material.commodity.structuralregulators","Structural Regulators","Structural Regulators","","","","","",""
"material.commodity.superconductors","Superconductors","Superconductors","","","","","",""
"material.commodity.surfacestabilisers","Surface Stabilisers","Surface Stabilisers","","","","","",""
"material.commodity.survivalequipment","Survival Equipment","Survival Equipment","","","","","",""
"material.commodity.syntheticfabrics","Synthetic Fabrics","Synthetic Fabrics","","","","","",""
