"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"blueprint.description.dominator_suit_grade_3_4","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.dominator_suit_grade_4_5","Upgrade suit to increase engineering slots, shield and resistances","Upgrade suit to increase engineering slots, shield and resistances","Verbessere den Anzug, um Technik-Slots, Schilde und Widerstände zu erhöhen","Mejora el traje para aumentar las ranuras de ingeniería, el escudo y las resistencias.","Améliorer la combinaison pour augmenter les emplacements d’ingénierie, le bouclier et les résistances","Atualize o traje para aumentar os slots de engenharia, escudo e resistências","Улучшение костюма, увеличивающее количество слотов, щита и все сопротивления","升级套装以增加工程师改造槽位、护盾强度和伤害抗性",""
"blueprint.description.engineer_a1","Travel 100 light-years in Apex Interstellar Transport shuttles","Travel 100 light-years in Apex Interstellar Transport shuttles","Reise 100 Lichtjahre in Apex Interstellar Transport Shuttles","Viaja 100 años luz en lanzaderas de transporte interestelar Apex","Voyagez 100 années-lumière dans les navettes de transport interstellaire Apex","Viaje 100 anos-luz nos ônibus de transporte interestelar da Apex","Пролететь 100 св. лет на шаттлах Apex Interstellar","乘坐Apex Interstellar的飞船旅行100光年",""
"blueprint.description.engineer_a2","Provide Domino Green with 5 units of Push to learn about Kit Fowler","Provide Domino Green with 5 units of Push to learn about Kit Fowler","Versorge Domino Green mit 5 Einheiten Push, um mehr über Kit Fowler zu erfahren","Proporcione a Domino Green 5 unidades de Push para aprender sobre Kit Fowler","Fournissez à Domino Green 5 unités de Push pour en savoir plus sur Kit Fowler","Forneça ao Domino Green 5 unidades de Push para aprender sobre o Kit Fowler","Предоставить 5 шт. «Рывок» для разблокировки инженера Кит Фаулер","向Domino Green提供5单位的Push来发现Kit Fowler",""
"blueprint.description.engineer_a3","Sell 5 Opinion Polls to Bartenders","Sell 5 Opinion Polls to Bartenders","5 Umfrageergebnisse an Barkeeper verkaufen","Vender 5 encuestas de opinión a los camareros","Vendre 5 sondages d’opinion aux barmans","Vender 5 pesquisas de opinião para barmen","Продать бармену 5 шт. «Опросы общественного мнения»","向酒保出售5单位的Opinion Polls",""
"blueprint.description.engineer_a4","Provide Kit Fowler with 5 units of Surveillance Equipment to learn about Yarden Bond","Provide Kit Fowler with 5 units of Surveillance Equipment to learn about Yarden Bond","Versorge Kit Fowler mit 5 Einheiten Überwachungsausrüstung, um mehr über Yarden Bond zu erfahren","Proporcione a Kit Fowler 5 unidades de Equipo de vigilancia para aprender sobre Yarden Bond","Fournissez à Kit Fowler 5 unités d’équipement de surveillance pour en savoir plus sur Yarden Bond","Forneça ao Kit Fowler 5 unidades de equipamento de vigilância para aprender sobre o Yarden Bond","Предоставить 5 шт. «Оборудование для наблюдения», чтобы узнать о Ярден Бонд","为Kit Fowler提供5单位的Surveillance Equipment来发现Yarden Bond",""
"blueprint.description.engineer_a5","Sell 5 Smear Campaign Plans to Bartenders","Sell 5 Smear Campaign Plans to Bartenders","5 Kampagnenpläne an Barkeeper verkaufen","Vender 5 planes de campaña de difamación a los camareros","Vendre 5 plans de campagne de dénigrement aux barmans","Vender 5 planos de campanha difamatórios para barmen","Продать барменам 5 шт данных «Планы кампании по дискредитации»","向酒保出售5单位的Smear Campaign Plans",""
"blueprint.description.engineer_b1","Complete 10 low threat Conflict Zones","Complete 10 low threat Conflict Zones","Schließe 10 Konfliktzonen mit geringer Bedrohung ab","Completa 10 zonas de conflicto de baja amenaza","Terminez 10 zones de conflit à faible menace","Completar 10 zonas de conflito de baixa ameaça","Участвовать в 10 зонах конфликта с низким уровнем угрозы на поверхности","完成10个低烈度冲突区域",""
"blueprint.description.engineer_b2","Provide Hero Ferrari with 5 units of Settlement Defence Plans to learn about Wellington Beck","Provide Hero Ferrari with 5 units of Settlement Defence Plans to learn about Wellington Beck","Stelle Hero Ferrari 5 Einheiten Siedlungsverteidigungspläne bereit, um mehr über Wellington Beck zu erfahren","Proporcione a Hero Ferrari 5 unidades de Planes de defensa del asentamiento para aprender sobre Wellington Beck","Fournissez au héros Ferrari 5 unités de plans de défense des colonies pour en savoir plus sur Wellington Beck","Forneça ao Hero Ferrari 5 unidades de Planos de Defesa do Assentamento para aprender sobre Wellington Beck","Пожертвовать Хиро Феррари 5 шт. «Планы обороны поселения»","为Hero Ferrari提供5单位的Settlement Defence Plans来发现Wellington Beck",""
"blueprint.description.engineer_b3","Sell 15 total units of Classic Entertainment, Multimedia Entertainment, and/or Cat Media to Bartenders","Sell 15 total units of Classic Entertainment, Multimedia Entertainment, and/or Cat Media to Bartenders","Verkaufe insgesamt 15 Einheiten von Klassische Unterhaltung, Multimedia-Unterhaltung und/oder Katzen-Medien an Barkeeper","Vender 15 unidades en total de Entretenimiento clásico, Entretenimiento multimedia y / o Cat Media a Bartenders","Vendre 15 unités au total de divertissement classique, de divertissement multimédia et/ou de Cat Media aux barmans","Vender 15 unidades no total de Classic Entertainment, Multimedia Entertainment e / ou Cat Media para Bartenders","Продать бармену: «Классические развлечения», «Мультимедийные развлечения» или «Медиаконтент с котиками» общим количеством 15 шт.","向酒保出售15单位的Classic Entertainment，Multimedia Entertainment和/或Cat Media",""
"blueprint.description.engineer_b4","Provide Wellington Beck with 5 units of InSight Entertainment Suites to learn about Uma Laszlo","Provide Wellington Beck with 5 units of InSight Entertainment Suites to learn about Uma Laszlo","Stelle Wellington Beck 5 Einheiten Insight-Entertainment-Bibliothek zur Verfügung, um mehr über Uma Laszlo zu erfahren","Proporcione a Wellington Beck 5 unidades de InSight Entertainment Suites para aprender sobre Uma Laszlo","Fournissez à Wellington Beck 5 unités de suites de divertissement InSight pour en savoir plus sur Uma Laszlo","Forneça a Wellington Beck 5 unidades de InSight Entertainment Suites para saber mais sobre Uma Laszlo","Предоставьте 5 шт. «Развлекательное устройство InSight» инженеру Веллингтону Беку чтобы узнать об Уме Ласло","向Wellington Beck提供5单位的Insight Entertainment Suites来发现Uma Laszlo",""
"blueprint.description.engineer_b5","Reach Unfriendly reputation or lower with Sirius Corporation","Reach Unfriendly reputation or lower with Sirius Corporation","Erreiche einen unfreundlichen Ruf oder niedriger bei der Sirius Corporation","Alcanza una reputación hostil o inferior con Sirius Corporation","Atteindre une réputation hostile ou inférieure avec Sirius Corporation","Alcance reputação hostil ou inferior com a Sirius Corporation","Понизить уровень отношений с фракцией Sirius Corporation до недружественной или ниже","与Sirius Corporation达到不友好(Unfrienly)或更低的声望",""
"blueprint.description.engineer_c1","Complete 10 Restore or Reactivation On Foot missions","Complete 10 Restore or Reactivation On Foot missions","Schließe 10 Missionen zur Wiederherstellung oder Reaktivierung zu Fuß ab","Completa 10 misiones de restauración o reactivación a pie.","Terminez 10 missions de restauration ou de réactivation à pied","Complete 10 missões de restauração ou reativação a pé","Выполнить 10 миссий по восстановлению или повторной активации реактора на поверхности","完成10次恢复(Restore)或重新激活(Reactivation)地面任务",""
"blueprint.description.engineer_c2","Provide Jude Navarro with 5 units of Genetic Repair Meds to learn about Terra Velasquez","Provide Jude Navarro with 5 units of Genetic Repair Meds to learn about Terra Velasquez","Stelle Jude Navarro 5 Einheiten Gen-Reparatursets zur Verfügung, um mehr über Terra Velasquez zu erfahren","Proporcione a Jude Navarro 5 unidades de Medicamentos de reparación genética para aprender sobre Terra Velásquez","Fournissez à Jude Navarro 5 unités de médicaments de réparation génétique pour en savoir plus sur Terra Velasquez","Forneça a Jude Navarro 5 unidades de medicamentos de reparo genético para aprender sobre Terra Velasquez","Предоставить Джуд Наварро 5 штук генно-репаративных препаратов чтобы узнать о Терре Веласкес","向Jude Navarro提供5单位的Genetic Repair
 Meds来发现Terra Velasquez",""
"blueprint.description.engineer_c3","Complete 6 Covert Heist and Covert Theft On Foot missions","Complete 6 Covert Heist and Covert Theft On Foot missions","Vervollständigen Sie 6 verdeckte Überfälle und verdeckte Diebstahl zu Fußmissionen","Complete 6 Heist Covert y robo encubierto en misiones de pie","Terminez 6 braquages secrètes et vols secrètes sur les missions à pied","Complete 6 assaltos secretos e roubo secreto em missões de pé","Завершите 6 скрытых ограблений и скрытая кража на ногах","完成6个隐秘抢劫(Covert Heist)和隐秘盗窃(Covert Theft)任务",""
"blueprint.description.engineer_c4","Provide Terra Velasquez with 15 units of Financial Projections to learn about Oden Geiger","Provide Terra Velasquez with 15 units of Financial Projections to learn about Oden Geiger","Stelle Terra Velasquez 15 Einheiten Finanzprognosen bereit, um mehr über Oden Geiger zu erfahren","Proporcione a Terra Velásquez 15 unidades de Proyecciones financieras para aprender sobre Oden Geiger","Fournissez à Terra Velasquez 15 unités de projections financières pour en savoir plus sur Oden Geiger","Forneça à Terra Velasquez 15 unidades de projeções financeiras para aprender sobre Oden Geiger","Предоставить инженеру Терра Веласкез 15 шт. данных «Финансовые прогнозы»","向Terra Velasquez提供15单位的Financial Projections来发现Oden Geiger",""
"blueprint.description.engineer_c5","Sell 20 total units of Biological Sample, Employee Genetic Data, and/or Genetic Research to Bartenders","Sell 20 total units of Biological Sample, Employee Genetic Data, and/or Genetic Research to Bartenders","Verkaufe insgesamt 20 Einheiten Biologische Probe, Gen-Daten von Mitarbeitern und/oder Genforschung an Barkeeper","Vender 20 unidades totales de Muestra biológica, Datos genéticos de empleados y / o Investigación genética a Bartenders","Vendre 20 unités au total d’échantillon biologique, de données génétiques d’employés et/ou de recherche génétique aux barmans","Vender 20 unidades totais de Amostra Biológica, Dados Genéticos de Funcionários e / ou Pesquisa Genética para Bartenders","Продать бармену «Биологические образцы», «Генетические данные работников» и «Материалы генетического исследования» общим количеством 20 шт.","向酒保出售20单位的Biological Sample，Employee Genetic Data和/或Genetic Research",""
"blueprint.description.engineer_d1_1","Reach Friendly reputation with the Colonia Council","Reach Friendly reputation with the Colonia Council","Erreiche einen freundlichen Ruf beim Colonia Council","Alcanza la reputación de Amistoso con el Ayuntamiento de Colonia.","Atteignez une réputation amicale auprès du Conseil de Colonia","Alcance reputação amigável com o Conselho de Colônia","Состоять в дружеских отношениях с Colonia Council","与Colonia Council达到友好(Friendly)声望",""
"blueprint.description.engineer_d1_2","Sell a total of 10 Culinary Recipes or Cocktail Recipes to stations in Colonia.","Sell a total of 10 Culinary Recipes or Cocktail Recipes to stations in Colonia.","Verkaufe insgesamt 10 Kulinarische Rezepte oder Cocktail-Rezepte an Stationen in Colonia.","Vende un total de 10 recetas culinarias o recetas de cócteles en las estaciones de Colonia.","Vendre un total de 10 recettes culinaires ou recettes de cocktails aux stations de Colonia.","Venda um total de 10 receitas culinárias ou receitas de coquetéis para estações em Colônia.","Продать на станциях бармену в системе Colonia всего 10 шт «Рецепты коктейлей» и/или «Кулинарные рецепты»","总共向Colonia中的站点售出10单位的Culinary Recipes或Cocktail Recipes。",""
"blueprint.description.engineer_d1_3","Dock and disembark at 5 settlements in the Colonia system.","Dock and disembark at 5 settlements in the Colonia system.","Docken und landen Sie an 5 Siedlungen im Colonia-System.","Atracar y desembarcar en 5 asentamientos del sistema Colonia.","Amarrez et débarquez dans 5 colonies du système Colonia.","Atracar e desembarcar em 5 assentamentos do sistema Colônia.","Посетить 5 поселений в системе Colonia","在Colonia中的5个地面站停泊并登陆。",""
"blueprint.description.engineer_d2","Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions or Eleanor Bresa with 10 Digital Designs to learn about Yi Shen.","Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions or Eleanor Bresa with 10 Digital Designs to learn about Yi Shen.","Stelle Baltanos 10 Fraktionspartner, Rosa Dayette 10 Herstellungsanweisungen oder Eleanor Bresa 10 Digitale Konzepte zur Verfügung, um mehr über Yi Shen zu erfahren.","Proporcione a Baltanos con 10 asociados de facción, Rosa Dayette con 10 instrucciones de fabricación o Eleanor Bresa con 10 diseños digitales para aprender sobre Yi Shen.","Fournissez à Baltanos 10 associés de faction, Rosa Dayette avec 10 instructions de fabrication ou Eleanor Bresa avec 10 conceptions numériques pour en savoir plus sur Yi Shen.","Forneça a Baltanos 10 Associados de Facção, Rosa Dayette com 10 Instruções de Fabricação ou Eleanor Bresa com 10 Desenhos Digitais para aprender sobre Yi Shen.","Передать инженеру Балтанос 10 единиц данных «Партнёры фракции», Розе Дайетт 10 шт. «Производственные инструкции» или Элеоноре Брезе 10 шт «Дизайнерский проект», чтобы узнать об И Шене.","向Baltanos提供10单位的Faction Associates，向Rosa Dayette提供10单位的Manufacturing Instructions或向Eleanor Bresa提供10单位的Digital Designs来发现Yi Shen。",""
"blueprint.description.engineer_d3","Complete all referral tasks: Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions and Eleanor Bresa with 10 Digital Designs.","Complete all referral tasks: Provide Baltanos with 10 Faction Associates, Rosa Dayette with 10 Manufacturing Instructions and Eleanor Bresa with 10 Digital Designs.","Schließe alle Empfehlungsaufgaben ab: Versorge Baltanos mit 10 Fraktionspartner, Rosa Dayette mit 10 Herstellungsanweisungen und Eleanor Bresa mit 10 Digitalen Konzepten.","Completa todas las tareas de referencia: Proporciona a Baltanos con 10 asociados de facción, a Rosa Dayette con 10 instrucciones de fabricación y a Eleanor Bresa con 10 diseños digitales.","Terminez toutes les tâches de référence : fournissez à Baltanos 10 associés de faction, Rosa Dayette avec 10 instructions de fabrication et Eleanor Bresa avec 10 conceptions numériques.","Complete todas as tarefas de referência: Forneça a Baltanos 10 Associados de Facção, Rosa Dayette com 10 Instruções de Fabricação e Eleanor Bresa com 10 Desenhos Digitais.","Выполните все реферальные задания: выполнить все условия от инженеров: Балтанос — предоставить 10 штук данных «Партнёры фракции», Роза Дайетт — предоставить 10 штук данных «Производственные инструкции», Элеанор Бреса — предоставить 10 штук данных «Дизайнерский проект»","完成所有推荐任务：向Baltanos提供10单位的Faction Associates，向Rosa Dayette提供10单位的Manufacturing Instructions和向Eleanor Bresa提供10单位的Digital Designs。",""
"blueprint.description.enhanced_tracking","Increases range and speed of the suit’s basic scan function","Increases range and speed of the suit’s basic scan function","Erhöht Reichweite und Geschwindigkeit der grundlegenden Scanfunktion des Anzugs","Aumenta el alcance y la velocidad de la función de escaneo básica del traje","Augmente la portée et la vitesse de la fonction de balayage de base de la combinaison","Aumenta o alcance e a velocidade da função básica de varredura do traje","Увеличивает скорость и радиус базового сканирования комбинезона.","增加套装基本扫描功能的范围和扫描速度",""
"blueprint.description.extra_ammo_capacity","Allows more ammo to be carried for each weapon","Allows more ammo to be carried for each weapon","Ermöglicht das Mitführen von mehr Munition für jede Waffe","Permite llevar más munición para cada arma","Permet de transporter plus de munitions pour chaque arme","Permite que mais munição seja carregada para cada arma","Увеличивает боезапас всех видов оружия.","允许为每件武器携带更多备用弹药",""
"blueprint.description.extra_backpack_capacity","Grants increased inventory capacity","Grants increased inventory capacity","Gewährt erhöhte Lager- und Verbrauchsmaterialkapazität","Otorga mayor capacidad de inventario y consumibles","Accorde une augmentation de l’inventaire et de la capacité des consommables","Concede aumento de estoque e capacidade de consumo","Увеличивает вместимость снаряжения и количества доступных расходных материалов","获得更高的背包容量",""
"blueprint.description.faster_handling","Reduces the weapon’s draw/stow speed and improves ADS functionality","Reduces the weapon’s draw/stow speed and improves ADS functionality","Reduziert die Zieh-/Verstaugeschwindigkeit der Waffe und verbessert das Anvisieren","Reduce la velocidad de extracción / almacenamiento del arma y mejora la funcionalidad ADS","Réduit la vitesse de dégainage/arrimage de l’arme et améliore la fonctionnalité ADS","Reduz a velocidade de retirada / armazenamento da arma e melhora a funcionalidade ADS","Позволяет быстрее доставать и убирать оружие и делает прицеливание удобнее.","降低武器拿出/收起所需的时间并改善瞄准能力",""
"blueprint.description.faster_shield_regen","Speeds up personal shield regeneration rate","Speeds up personal shield regeneration rate","Beschleunigt die Regenerationsrate des persönlichen Schildes","Acelera la tasa de regeneración del escudo personal","Accélère le taux de régénération du bouclier personnel","Acelera a taxa de regeneração do escudo pessoal","Увеличивает скорость восстановления щита комбинезона","加快个人护盾回充速度",""
"blueprint.description.greater_range_kinetic","Improves the weapon’s effective range","Improves the weapon’s effective range","Verbessert die effektive Reichweite der Waffe","Mejora el alcance efectivo del arma","Améliore la portée effective de l’arme","Melhora o alcance efetivo da arma","Увеличивает эффективную дальность оружия.","提高武器的有效射程",""
"blueprint.description.greater_range_laser","Improves the weapon’s effective range","Improves the weapon’s effective range","Verbessert die effektive Reichweite der Waffe","Mejora el alcance efectivo del arma","Améliore la portée effective de l’arme","Melhora o alcance efetivo da arma","Увеличивает эффективную дальность оружия.","提高武器的有效射程",""
"blueprint.description.greater_range_plasma","Improves the weapon’s effective range","Improves the weapon’s effective range","Verbessert die effektive Reichweite der Waffe","Mejora el alcance efectivo del arma","Améliore la portée effective de l’arme","Melhora o alcance efetivo da arma","Увеличивает эффективную дальность оружия.","提高武器的有效射程",""
"blueprint.description.headshot_damage_kinetic","Increases damage inflicted by headshots","Increases damage inflicted by headshots","Erhöht den durch Kopfschüsse verursachten Schaden","Aumenta el daño infligido por disparos a la cabeza","Augmente les dégâts infligés par les tirs à la tête","Aumenta o dano causado por tiros na cabeça","Увеличивает урон, наносимый при попадании в голову.","增加爆头造成的伤害",""
"blueprint.description.headshot_damage_laser","Increases damage inflicted by headshots","Increases damage inflicted by headshots","Erhöht den durch Kopfschüsse verursachten Schaden","Aumenta el daño infligido por disparos a la cabeza","Augmente les dégâts infligés par les tirs à la tête","Aumenta o dano causado por tiros na cabeça","Увеличивает урон, наносимый при попадании в голову.","增加爆头造成的伤害",""
"blueprint.description.headshot_damage_plasma","Increases damage inflicted by headshots","Increases damage inflicted by headshots","Erhöht den durch Kopfschüsse verursachten Schaden","Aumenta el daño infligido por disparos a la cabeza","Augmente les dégâts infligés par les tirs à la tête","Aumenta o dano causado por tiros na cabeça","Увеличивает урон, наносимый при попадании в голову.","增加爆头造成的伤害",""
"blueprint.description.higher_accuracy_kinetic","Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy","Reduziert das Schwanken der Waffe und verbessert die Genauigkeit","Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l’arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Повышает точность стрельбы без прицеливания.","减少武器摆动，提高精度",""
"blueprint.description.higher_accuracy_laser","Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy","Reduziert das Schwanken der Waffe und verbessert die Genauigkeit","Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l’arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Повышает точность стрельбы без прицеливания.","减少武器摆动，提高精度",""
"blueprint.description.higher_accuracy_plasma","Reduces weapon sway, improving accuracy","Reduces weapon sway, improving accuracy","Reduziert das Schwanken der Waffe und verbessert die Genauigkeit","Reduce el balanceo del arma, mejorando la precisión","Réduit le balancement de l’arme, améliorant la précision","Reduz o balanço da arma, melhorando a precisão","Повышает точность стрельбы без прицеливания.","减少武器摆动，提高精度",""
"blueprint.description.improved_battery_capacity","Increases energy capacity of the suit battery","Increases energy capacity of the suit battery","Erhöht die Energiekapazität der Anzugbatterie","Aumenta la capacidad de energía de la batería del traje","Augmente la capacité énergétique de la batterie de la combinaison","Aumenta a capacidade de energia da bateria do traje","Увеличивает энергоёмкость батареи комбинезона.","提高套装电池的能量容量",""
"blueprint.description.improved_jump_assist","Increases thrust duration and recharge rate while reducing energy consumption","Increases thrust duration and recharge rate while reducing energy consumption","Erhöht Schubdauer und Wiederaufladerate bei gleichzeitiger Reduzierung des Energieverbrauchs","Aumenta la duración del empuje y la tasa de recarga al tiempo que reduce el consumo de energía.","Augmente la durée de poussée et le taux de recharge tout en réduisant la consommation d’énergie","Aumenta a duração do impulso e a taxa de recarga enquanto reduz o consumo de energia","Увеличивает продолжительность рывка и скорость его перезарядки, уменьшая расход энергии.","增加推力持续时间和回充速度，同时减少能量消耗",""
"blueprint.description.increased_air_reserves","Extends life support operation time once suit energy is depleted","Extends life support operation time once suit energy is depleted","Verlängert die lebenserhaltende Betriebszeit, sobald die Energie des Anzugs aufgebraucht ist","Extiende el tiempo de operación de soporte vital una vez que se agota la energía del traje","Rallonge le temps d’opération de survie une fois que l’énergie de la combinaison est épuisée","Prolonga o tempo de operação do suporte de vida assim que a energia do traje se esgota","Продлевает работу сисем жизнеобеспечения после исчерпания запаса энергии комбинезона. Увеличивает аварийный запас газовоздушной смеси комбинезона с 60 до 300 секунд","延长套装能量耗尽后的生命维持时间",""
"blueprint.description.increased_sprint_duration","Optimises suit articulation, resulting in increased sprint capability","Optimises suit articulation, resulting in increased sprint capability","Optimiert die Artikulation des Anzugs, was zu einer erhöhten Sprintfähigkeit führt","Optimiza la articulación del traje, lo que aumenta la capacidad de sprint.","Optimise l’articulation de la combinaison, résultant en une capacité de sprint accrue","Otimiza a articulação do traje, resultando em maior capacidade de sprint","Повышает подвижность соединений комбинезона, улучшая показатели бега ","优化套装关节，从而提升冲刺能力",""
"blueprint.description.karma_1_2","Upgrade weapon to increase damage and engineering slots","Upgrade weapon to increase damage and engineering slots","Waffe aufrüsten, um Schaden und Technik-Slots zu erhöhen","Mejora el arma para aumentar el daño y los espacios de ingeniería","Améliorez l’arme pour augmenter les dégâts et les emplacements d’ingénierie","Atualizar arma para aumentar danos e slots de engenharia","Улучшение оружия, увеличивающее урон и количество слотов под модули.","升级武器以增加伤害和工程师改造槽位",""
"blueprint.description.karma_2_3","Upgrade weapon to increase damage and engineering slots","Upgrade weapon to increase damage and engineering slots","Waffe aufrüsten, um Schaden und Technik-Slots zu erhöhen","Mejora el arma para aumentar el daño y los espacios de ingeniería","Améliorer l’arme pour augmenter les dégâts et les emplacements d’ingénierie","Atualizar arma para aumentar danos e slots de engenharia","Улучшение оружия, увеличивающее урон и количество слотов под модули.","升级武器以增加伤害和工程师改造槽位",""
