"messageKey","","en","de","es","fr","pt","ru","zh"
"url.scheme.registration.text2","If you would like to use this functionality you can register this application. You will receive a UAC prompt as this requires administrative access. You can always (un)register this application under Settings later.","If you would like to use this functionality you can register this application. You will receive a UAC prompt as this requires administrative access. You can always (un)register this application under Settings later.","","","","","",""
"search.filter.all","All (default)","All (default)","","","","","",""
"search.filter.all_engineer","All engineer unlocking","All engineer unlocking","","","","","",""
"search.filter.all_engineer_blueprint","All engineer unlocking + blueprint","All engineer unlocking + blueprint","","","","","",""
"search.filter.all_with_stock","All with stock","All with stock","","","","","",""
"search.filter.blueprint","Blueprint","Blueprint","","","","","",""
"search.filter.favourites","Favourites","Favourites","","","","","",""
"search.filter.irrelevant","Irrelevant","Irrelevant","","","","","",""
"search.filter.irrelevant_with_stock","Irrelevant with stock","Irrelevant with stock","","","","","",""
"search.filter.placeholder","Show materials","Show materials","","","","","",""
"search.filter.prohibited","Prohibited","Prohibited","","","","","",""
"search.filter.required_engineer","Only required engineer unlocking","Only required engineer unlocking","","","","","",""
"search.filter.required_engineer_blueprint","Only required engineer unlocking + blueprint","Only required engineer unlocking + blueprint","","","","","",""
"search.filter.raw","Raw","Raw","","","","","",""
"search.filter.encoded","Encoded","Encoded","","","","","",""
"search.filter.manufactured","Manufactured","Manufactured","","","","","",""
"search.filter.guardian","Guardian","Guardian","","","","","",""
"search.filter.thargoid","Thargoid","Thargoid","","","","","",""
"search.filter.human","Human","Human","","","","","",""
"search.sort.alphabetical","Alphabetical (default)","Alphabetical (default)","","","","","",""
"search.sort.engineer_blueprint_irrelevant","Engineer unlocking, blueprint, irrelevant","Engineer unlocking, blueprint, irrelevant","","","","","",""
"search.sort.placeholder","Sort materials","Sort materials","","","","","",""
"search.sort.quantity","Quantity","Quantity","","","","","",""
"search.sort.relevant_irrelevant","Relevant, irrelevant","Relevant, irrelevant","","","","","",""
"search.text.placeholder","Search","Search","","","","","",""
"search.filter.fleetcarrier","Fleet carrier","Fleet carrier","","","","","",""
"search.filter.backpack","Backpack","Backpack","","","","","",""
"search.sort.quantity_ship","Ship quantity","Ship quantity","","","","","",""
"search.sort.quantity_fleetcarrier","Fleetcarrier quantity","Fleetcarrier quantity","","","","","",""
"search.sort.quantity_total","Total quantity","Total quantity","","","","","",""
"search.filter.ship","Ship","Ship","","","","","",""
"search.filter.not_on_wishlist","Not or more than on wishlist","Not or more than on wishlist","","","","","",""
"search.grouping.category","Category (default)","Category (default)","","","","","",""
"search.grouping.none","None","None","","","","","",""
"search.grouping.placeholder","Group materials","Group materials","","","","","",""
"search.sort.grade","Grade","Grade","","","","","",""
"search.sort.quantity_required","Quantity required","Quantity required","","","","","",""
"notification.type.irrelevant_point","Point to irrelevant material","Point to irrelevant material","","","","","",""
"notification.type.wishlist_point","Point to wishlist material","Point to wishlist material","","","","","",""
"notification.type.relevant_point","Point to relevant material","Point to relevant material","","","","","",""
"notification.type.irrelevant_pickup","Irrelevant Pickup","Irrelevant Pickup","","","","","",""
"notification.type.wishlist_pickup","Wishlist Pickup","Wishlist Pickup","","","","","",""
"notification.type.trade","Trade","Trade","","","","","",""
"notification.type.import","Import","Import","","","","","",""
"notification.type.copy","Copy","Copy","","","","","",""
"notification.type.error","Error","Error","","","","","",""
"notification.type.success","Success","Success","","","","","",""
"notification.collected.wishlist.material.notification","{0} {1}/{2}","{0} {1}/{2}","","","","","",""
"notification.collected.wishlist.material.notification.horizons","{0}(+{1})\nStored: {2}\nWishlist(min-max): {3}-{4}","","","","","","",""
"eddn.registration.text","This app can share galaxy data, like starsystems and market information, with other 3rd party apps like eddb.io, spansh.co.uk and inara.cz over the ED Data Network","This app can share galaxy data, like starsystems and market information, with other 3rd party apps like eddb.io, spansh.co.uk and inara.cz over the ED Data Network","","","","","",""
"eddn.registration.text2","Would you like to help the community and allow this app to automatically send this data anonymously through EDDN? (You can always disable/enable this later under Settings)","Would you like to help the community and allow this app to automatically send this data anonymously through EDDN? (You can always disable/enable this later under Settings)","","","","","",""
"eddn.registration.no","No","No","","","","","",""
"eddn.registration.yes","Yes","Yes","","","","","",""
"version.dialog.text","A new version is available!","A new version is available!","","","","","",""
"version.dialog.text2","Did you know that there is an auto updater available for this app?","Did you know that there is an auto updater available for this app?","","","","","",""
"version.dialog.ok","Ok","Ok","","","","","",""
"version.dialog.download","Download","Download","","","","","",""
"statusbar.api.stale","Fleetcarrier data might be stale! Link your Frontier account","Fleetcarrier data might be stale! Link your Frontier account","","","","","",""
"segment.type.present","Present","","","","","","",""
"segment.type.not_present","Not present","","","","","","",""
"segment.type.power_group_p","P","","","","","","",""
"segment.type.power_group_1","1","","","","","","",""
"segment.type.power_group_2","2","","","","","","",""
"segment.type.power_group_3","3","","","","","","",""
"segment.type.power_group_4","4","","","","","","",""
"segment.type.power_group_5","5","","","","","","",""
"segment.type.hardpoint_none","None","","","","","","",""
"segment.type.hardpoint_thermal","Thermal","","","","","","",""
"segment.type.hardpoint_kinetic","Kinetic","","","","","","",""
"segment.type.hardpoint_explosive","Explosive","","","","","","",""
"segment.type.hardpoint_absolute","Absolute","","","","","","",""
"segment.type.hardpoint_caustic","Caustic","","","","","","",""
"segment.type.hardpoint_antixeno","Anti-xeno","","","","","","",""
"segment.type.power_group_none","Available","","","","","","",""
"segment.type.power_overpower","Power deficit","","","","","","",""
"tabs.onfoot","On foot","","","","","","",""
"tabs.ships","Ships","","","","","","",""
"notification.type.hge","High grade emission","","","","","","",""
"tabs.hge","HGE Tracker","","","","","","",""
"search.filter.chemicals","Chemicals","Chemicals","","","","","",""
"search.filter.consumer_items","Consumer Items","Consumer Items","","","","","",""
"search.filter.foods","Foods","Foods","","","","","",""
"search.filter.industrial_materials","Industrial Materials","Industrial Materials","","","","","",""
"search.filter.legal_drugs","Legal Drugs","Legal Drugs","","","","","",""
"search.filter.machinery","Machinery","Machinery","","","","","",""
"search.filter.medicines","Medicines","Medicines","","","","","",""
"search.filter.metals","Metals","Metals","","","","","",""
"search.filter.minerals","Minerals","Minerals","","","","","",""
"search.filter.nonmarketable","Nonmarketable","Nonmarketable","","","","","",""
"search.filter.salvage","Salvage","Salvage","","","","","",""
"search.filter.slavery","Slavery","Slavery","","","","","",""
"search.filter.technology","Technology","Technology","","","","","",""
"search.filter.textiles","Textiles","Textiles","","","","","",""
"search.filter.waste","Waste","Waste","","","","","",""
"search.filter.weapons","Weapons","Weapons","","","","","",""
"search.filter.powerplay","Powerplay","","","","","","",""
"notification.collected.powerplay.material.notification","{0}: {1}","","","","","","",""
"notification.type.powerplay_pickup","Powerplay Pickup","","","","","","",""
"notification.type.ship_wishlist_pickup","Ship Wishlist Pickup","","","","","","",""
"search.filter.sold_at_station","Sold at current market","","","","","","",""
"search.filter.bought_at_station","Bought at current market","","","","","","",""
"dialog.start.whatsnew","What’s new?","","","","","","",""
"dialog.start.privacypolicy","Privacy policy","","","","","","",""
"dialog.start.accept","Accept & continue","","","","","","",""
"dialog.start.close","Close application","","","","","","",""
"dialog.start.continue","Continue","","","","","","",""
"dialog.urlscheme.register","Register","","","","","","",""
"dialog.urlscheme.nothanks","No thanks","","","","","","",""
"imported.partial.name"," - Imported","","","","","","",""
"imported.slef.partial.name","(SLEF)","","","","","","",""
"loading.screen.text","LOADING","","","","","","",""
"segment.type.present_ship","Ship","","","","","","",""
"segment.type.present_fleet_carrier","Fleetcarrier","","","","","","",""
"segment.type.missing_for_minimum","Missing to minimum","","","","","","",""
"segment.type.missing_for_required","Missing to required","","","","","","",""
"segment.type.missing_for_maximum","Missing to maximum","","","","","","",""
"tabs.horizons.colonisation","Colonisation","","","","","","",""
"application.language.english","English","","","","","","",""
"application.language.french","Français","","","","","","",""
"application.language.german","Deutsch","","","","","","",""
"application.language.portuguese","Português","","","","","","",""
"application.language.russian","Русский","","","","","","",""
"application.language.spanish","Español","","","","","","",""
"application.language.chinese","简体中文","","","","","","",""
