"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"ship.view.header.crew","Crew","","Besetzung","Tripulación","Équipage","Tripulação","Размер экипажа","船员","ეკიპაჟი"
"ship.view.header.masslock","Mass Lock","","Massensperre","Bloqueo de masa","","Bloqueio de massa","Масс-фактор","质锁系数",""
"ship.view.header.mass","Mass","","Masse","Masa","Masse","Massa","Масса","质量","მასა"
"ship.view.header.jumprange","Jumprange","","Sprungreichweite","Rango de salto","Portée de saut","Alcance de salto","Расстояние прыжка","跃迁距离","ნახტომის სიგრძე"
"ship.view.header.speed","Speed","","Geschwindigkeit","Velocidad","Vitesse","Velocidade","Скорость","速度","სიჩქარე"
"ship.view.header.boost","Boost","","Boost","Postquemador","Boost","Impulso","Форсаж","加力","Boost"
"ship.view.header.shield","Shield","","Schild","Escudo","Bouclier","Escudo","Щиты","护盾","ფარი"
"ship.view.header.armor","Armor","","Panzerung","Blindaje","Blindage","Blindagem","Броня","护甲","ჯავშანი"
"ship.view.header.hardness","Hardness","","Härte","Dureza","","Dureza","Рейтинг брони","装甲硬度","Hardness"
"ship.view.header.fuel","Fuel","","Treibstoff","Combustible","Carburant","Combustível","Топливный бак","燃料","საწვავი"
"ship.view.header.cargo","Cargo","","Fracht","Capacidad de carga","Cargo","Carga","Груз","货舱","ტვირთი"
"ship.view.header.passenger","Passenger","","Passagier","Pasajero","","Passageiro","Пассажиры","乘客","მგზავრი"
"ship.view.header.slot.hardpoints","Hardpoints","","Waffenaufhängungen","Anclajes","Points d’emport","Encaixes","Оружейные гнезда","挂载点","Hardpoints"
"ship.view.header.slot.utility","Utility","","Werkzeuge","Anclajes de Apoyo","","Utilitário","Внешнее оборудование","功能部件","გარე აღჭურვილობა"
"ship.view.header.slot.armour","ARM","","","BLIND","","BLIND","БРН","装甲","ARM"
"ship.view.header.slot.powerplant","PP","","","ENER","","ENERG","СУ","发电","PP"
"ship.view.header.slot.thrusters","THR","","","IMP","","PROP","ДВГ","推进","THR"
"ship.view.header.slot.frameshiftdrive","FSD","","","MDD","FSD","MDD","ФСД","折跃","FSD"
"ship.view.header.slot.lifesupport","LS","","","SV","","SuVida","СЖО","维生","LS"
"ship.view.header.slot.powerdistribution","PD","","","DE","","DIST","РП","配电","PD"
"ship.view.header.slot.sensors","SNR","","","SEN","","SEN","СНС","传感","SNR"
"ship.view.header.slot.fueltank","FT","","","COMB","","COMB","ТБ","油箱","FT"
"ship.view.header.slot.optional","Optional","","Optional","Opcional","Optionnel","Opcional","Внутр. модули","可选部件",""
"ship.blueprint.add.all.to.wishlist","Add all to wishlist","Add all to wishlist","Fügen Sie alle zur Wunschliste hinzu","Agregar todo a la lista de deseos","Tout ajouter à la liste de souhaits","Adicionar tudo à lista de desejos","Добавить все в список желаемого","全部加入愿望单","ყველას დამატება სასურველში"
"ship.blueprint.add.changed.to.wishlist","Add changed to wishlist","","Änderungen zur Wunschliste hinzufügen","Agregar los cambios a la lista de deseos","Ajouter changements à la liste de souhaits","Adicionar alterado à lista de desejos","Добавить измененное в список желаемого","将改变的加入愿望单",""
"ship.create.new.wishlist","Create new","Create new","Erstelle neu","Crear nuevo","Créer un nouveau","Criar novo","Создать новый","新建","ახლის შექმნა"
"ship.module.restore","Restore","","Wiederherstellen","Restaurar","Restaurer","Restaurar","Восстановить","还原","აღდგენა"
"ship.module.save","Save","","Speichern","Guardar","Enregistrer","Salvar","Сохранить","保存","შენახვა"
"ship.module.clear","Clear","","Leeren","Limpiar","Effacer","Limpar","Очистить","清除","გასუფთავება"
"module.details.save.legacy","Save legacy","","Legacy speichern","Guardar Legacy","","Salvar legado","Схранить Legacy","保存 Legacy","legacy-ს შენახვა"
"tab.settings.ships.legacy.modules.name","Name","","Name","Nombre","Nom","Nome","Имя","名称","სახელი"
"tab.settings.ships.legacy.modules.blueprint","Blueprint","","Bauplan","Plano","Plan","Projeto","Чертеж","蓝图","Blueprint"
"tab.settings.ships.legacy.modules.effect","Experimental effect","","Experimenteller Effekte","Efecto Experimental","Effet expérimental","Efeito experimental","Экспериментальный эффект","实验效果","ექსპერიმენტული ეფექტი"
"tab.settings.ships.legacy.modules.grade","Grade","","Grad","Grado","","Grau","Уровень","等级","დონე"
"tab.settings.ships.legacy.modules.type","Type","","Typ","Tipo","Type","Tipo","Тип","类型","ტიპი"
"tab.ships.dragdrop.hint","Drag & drop","","","Arrastrar y soltar","","Arrastar e soltar","Drag & drop","拖放","Drag & drop"
"tab.ships.dragdrop.hint.explain","You can drag modules into different slots. If you hold CTRL while dragging, the module will be copied instead of moved.","","","Puedes arrastrar módulos en diferentes ranuras. Si mantienes la tecla CTRL al arrastrar, el módulo sera copiado en vez de movido","","Você pode arrastar módulos para diferentes slots. Se você segurar CTRL enquanto arrasta, o módulo será copiado em vez de movido.","Вы можете перетаскивать модули в разные слоты. Зажав CTRL во время перетягивания, вы скопируете модуль.","你可以将模块拖动至不同的槽位。如果在拖动时按住CTRL，那么模块将被复制而非移动。",""
"tab.ships.lockmode.hint","Lock mode","","","Modo bloqueado","","Modo de bloqueio","Режим блокировки","锁定模式",""
"tab.ships.lockmode.hint.explain","By pressing ALT you can freeze the UI, so you can move your mouse freely around.","","","Pulsando ALT puedes congelar la interfaz pudiendo mover el ratón libremente.","En appuyant sur ALT, vous pouvez geler l'interface utilisateur afin de déplacer votre souris librement.","Ao pressionar ALT, você pode congelar a IU, o que permite mover o mouse livremente.","Зажав ALT вы можете заморозить интерфейс и свободно двигать мышкой.","按住ALT可以冻结界面，这样你就可以随意移动鼠标了。",""
"tab.ships.legacy.hint","Legacy","","","Legacy","","Legado","Режим Legacy","Legacy","Legacy"
"tab.ships.legacy.hint.explain","Legacy modules can be stored for later reuse with the button that will be visible above the module specs. Legacy modules can be managed under Settings.","","","Los módulos legacy pueden ser almacenados para ser reutilizados posteriormente con el botón que estará visible sobre las especificaciones del módulo. Los módulos Legacy pueden ser administraos en Ajustes.","","Módulos legados podem ser armazenados para reutilização posterior com o botão que ficará visível acima das especificações do módulo. Módulos legados podem ser gerenciados em Configurações.","Модули Legacy можно сохранить для последующего повторного использования с помощью кнопки, которая будет видна над спецификациями модуля. Модулями Legacy можно управлять в Настройках.","Legacy 模块可以被存储起来并在以后通过模块选项上方可见的按钮重新使用。Legacy 模块可在“设置”下管理。",""
"tab.ships.livemode.hint","Live mode","","","Modo LIVE","Mode en direct","Modo ao vivo","Режим Live","实时模式",""
"tab.ships.livemode.hint.explain","Live mode will autoconfigure the settings to match the current state in-game. This only works for the current ship.","","","El Modo LIVE se autoconfigurará en ajustes para coincidir con el estado actual del juego. Esto solo funciona para la nave actual.","","O modo ao vivo irá autoconfigurar as configurações para corresponder ao estado atual no jogo. Isso só funciona para a nave atual.","Live mode автоматически установит настройки, чтобы повторить нынешнее состояние в игре. Это работает только для активного корабля.","实时模式将自动配置设置以匹配当前游戏状态。这只适用于当前船只。",""
"tab.ships.textcolor.hint","Text color","","","","Couleur du texte","","Цвет текста","文本颜色",""
"tab.ships.textcolor.hint.explain","Module changes are tracked. If a module state is saved, it will be colored in white and yellow. Any changes to the module, blueprint or experimental effect will turn the color to blue. These changes are considered when creating a wishlist.","","","","","","Изменения модулей отслеживаются. Если состояние модуля сохранено, то оно будет окрашено в белый и желтый. Любые изменения в модуле, чертеже или экспериментальном эффекте превратят цвет в синий. Эти изменения учитываются при создании списка желаний.","模块变化将被记录。如果一个模块的状态被保存，那么它将被显示为白色或黄色。对该模块的任何改变，包括改造蓝图和实验效果都会将颜色变为蓝色。这些变化将在创建愿望单时被运用。",""
"tab.ships.details.tooltip.actual","Minimum: {0}\nEstimated: {1}\nActual: {2}\nMaximum: {3}\n","","","Mínimo: {0}\nEstimado: {1}\nActual: {2}\nMáximo: {3}\n","","Mínimo: {0}\nEstimado: {1}\nAtual: {2}\nMáximo: {3}\n","Минимум: {0}\nОжидаемо: {1}\nДействительный: {2}\nМаксимум: {3}\n","最小: {0}\n预计: {1}\n实际: {2}\n最大: {3}\n",""
"tab.ships.details.tooltip.estimated","Minimum: {0}\nEstimated: {1}\nMaximum: {2}\n","","","Mínimo: {0}\nEstimado: {1}\nMáximo: {2}\n","Minimum : {0}\nEstimé : {1}\nMaximum : {2}\n","Mínimo: {0}\nEstimado: {1}\nMáximo: {2}\n","Минимум: {0}\nОжидаемо: {1}\nМаксимум: {2}\n","最小: {0}\n预计: {1}\n最大: {2}\n",""
"module.details.engineering","Engineering","","","Ingeniería","Ingénierie","Engenharia","Модификация","改造","მოდიფიკაცია"
"module.details.price","Regular Price","","","Precio normal","Prix normal","Preço regular","Стандартная цена","常规价格","რეგულარული ფასი"
"module.details.buyprice","Price Purchased","","","Precio comprado","Prix d’achat","Preço de compra","Цена покупки","购买价格","შესყიდვის ფასი"
"module.details.rebuyprice","Rebuy Price","","","Precio Recompra","Prix de rachat","Preço de recompra","Цена выкупа","购回价格","გამოსყიდვის ფასი"
"module.details.price.value","{0} Cr","","","{0} Cr","{0} Cr","","{0} Кр","{0} Cr","{0} Cr"
"module.details.buyprice.value","{0} Cr","","","{0} Cr","{0} Cr","","{0} Кр","{0} Cr","{0} Cr"
"module.details.rebuyprice.value","{0} Cr","","","{0} Cr","{0} Cr","","{0} Кр","{0} Cr","{0} Cr"
"module.details.module.specs","Module specs","","","Caracteristicas del Módulo","Spécifications du module","Especificações do módulo","Характеристики модуля","模块选项","მოდულის მახასიათებლები"
"ship.module.hardpoint.group.label","Group","","","Grupo","","Grupo","Группа","开火组","ჯგუფი"
"ship.module.slot.empty","EMPTY","","","VACIO","VIDE","VAZIO","ПУСТО","空","ცარიელი"
"ship.module.icon.tooltip.gimballed","Gimballed","","","Asistido","","Guiado","Карданный","辅瞄","Gimballed"
"ship.module.icon.tooltip.turreted","Turreted","","","Torreta","","Torretado","Турель","炮塔","Turreted"
"ship.module.icon.tooltip.fixed","Fixed","","","Fijo","Fixe","Fixo","Фиксированный","固定","ფიქსირებული"
"ship.module.icon.tooltip.pre.engineered","Pre-engineered","","","Pre-Diseñado","","Pré-projetado","Заводская комплектация","预改造","ქარხნის აღჭურვილობა"
"ship.module.icon.tooltip.arx","Arx store exclusive","","","Exclusivo de la tienda de ARX","","Exclusivo da loja Arx","Эксклюзив магазина ARX","ARX 商店独占","Arx მაღაზიის ექსკლიუზივი"
"ship.module.icon.tooltip.advanced","Advanced","","","Avanzado","","Avançado","Продвинутый","先进","გაფართოებული"
"ship.module.icon.tooltip.enhanced","Enhanced","","","Mejorado","","Aprimorado","Улучшенный","强化","გაძლიერებული"
"ship.module.icon.tooltip.seeker","Seeker","","","Guiado","","Guiado","Самонаводящийся","追踪","Seeker"
"ship.module.icon.tooltip.dumbfire","Dumbfire","","","No Guiado","","Não-guiado","Обычный","直射","ჩვეულებრივი"
"ship.module.icon.tooltip.legacy","Legacy","","","Legacy","","Legado","Legacy","Legacy","Legacy"
"ship.module.icon.tooltip.powerplay","Powerplay","","","Powerplay","Luttes d’influence galactiques","","Powerplay","权利游戏","Powerplay"
"ship.module.icon.tooltip.guardian","Guardian","","","Guardián","Guardian","","Стражи","守护者","Guardian"
"ship.module.icon.tooltip.multicrew","Multicrew","","","Multitripulación","","","Multicrew","多乘员","Multicrew"
"ship.module.icon.tooltip.community.goal.module","Community Goal Module","","","Módulo de Logro de la Comunidad","","Módulo de meta da comunidade","Модуль ЦС","社区任务模块","საზოგადოების მიზნების მოდული"
"ship.module.icon.tooltip.engineered","Engineered","","","Modificado","","Projetado","Модифицированный","改造",""
"ship.view.header.fighterbay","Fighter Bay","","","Bahía de Cazas","","","Ангар для истребителей","舰载机机库",""
"ship.view.no","No","No","Nein","No","Non","Não","Нет","否","არა"
"ship.view.yes","Yes","Yes","Ja","Sí","Oui","Sim","Да","是","კი"
"tabs.powerplay","Powerplay","","","Powerplay","Luttes d’influence galactiques","","Powerplay","权力游戏","Powerplay"
"ship.view.header.boostinterval","Boost interval","","","Intervalo de Postquemador","","","Интервал ускорения","加力间隔",""
"tab.ships.create.prompt","Name (max. 50 characters)","","","Nombre (max. 50 carácteres)","Nom (max. 50 caractères)","","Имя (50 символов макс.)","名称 (最多50个字符)","სახელი (მაქს. 50 სიმბოლო)"
"tab.settings.darkmode","Dark mode","","","","","","Тёмный режим","深色模式","მუქი რეჟიმი"
"tab.ships.stats.thermals","Thermals","","","","","","Температура","热量",""
"tab.ships.stats.power","Power","","","","","","Мощность","",""
"tab.ships.stats.jump","FSD","","","","FSD","","FSD","折跃","FSD"
"tab.ships.stats.engine","Engine","","","","Moteur","","Двигатель","引擎","ძრავა"
"tab.ships.stats.price","Price","","","","Prix","","Цена","价格","ფასი"
"tab.ships.stats.handling","Handling","","","","Maniabilité","","Управление","操控","მართვა"
"tab.ships.stats.armour","Armour","","","","Blindage","","Броня","装甲",""
"tab.ships.stats.shield","Shield","","","","Bouclier","","Щит","护盾",""
"tab.ships.stats.weapon","Weapon","","","","Arme","","Оружие","武器",""
"tab.ships.slot.resized","MODULE RESIZED","","","","","","ИЗМЕНЕН РАЗМЕР МОДУЛЯ","",""
"ship.module.state","Module state","","","","","","Состояние модуля","模块状态",""
"tab.ships.stats.powerthermals","Thermals & power","","","","","","Нагрев и Мощность","热量&能量",""
"tab.ships.stats.ship","Ship","","Schiff","","Vaisseau","","Корабль","舰船","გემი"
"tabs.ships.synthesis","Synthesis","","Synthese","","","","Синтез","合成","სინთეზი"
"ship.module.icon.tooltip.synthesis.basic","Basic synthesis","","Basis Synthese","","","","Базовый синтез","基础合成",""
"ship.module.icon.tooltip.synthesis.standard","Standard synthesis","","Standard-Synthese","","","","Стандартный синтез","标准合成",""
"ship.module.icon.tooltip.synthesis.premium","Premium synthesis","","Premium-Synthese","","","","Премиальный синтез","高级合成",""
"tab.ships.quick.favourites","Apply favourites","","Favoriten anwenden","","","","Применить избранные","应用收藏配置",""
"tabs.permit","Permits","","","","","","","",""
