"messageKey","","en","de","es","fr","pt","ru","zh"
"notification.imported.success.loadout.title","Imported loadout","","","","","","",""
"notification.imported.success.wishlist.title","Imported wishlist","","","","","","",""
"notification.imported.success.edsy.title","Imported EDSY wishlist","","","","","","",""
"notification.imported.success.coriolis.title","Imported Coriolis wishlist","","","","","","",""
"notification.imported.success.ship.title","Imported Ship","","","","","","",""
"notification.imported.success.slef.title","Imported Ship (SLEF)","","","","","","",""
"notification.imported.error.slef.title","Failed to import ship (SLEF)","","","","","","",""
"notification.imported.success.loadout.text","{0}","","","","","","",""
"notification.imported.success.wishlist.text","{0}","","","","","","",""
"notification.imported.success.edsy.text","{0}","","","","","","",""
"notification.imported.success.coriolis.text","{0}","","","","","","",""
"notification.imported.success.ship.text","{0}","","","","","","",""
"notification.imported.success.slef.text","{0}","","","","","","",""
"notification.imported.error.slef.text","{0}","","","","","","",""
"notification.material.information.title","Material information","","","","","","",""
"notification.material.information.wishlist.text","{0}({1}) - Wishlist - {2}{3}/{4}","","","","","","",""
"notification.material.information.relevant.text","{0}({1}) - Engineer/Blueprint - {2}{3}","","","","","","",""
"notification.material.information.irrelevant.text","{0}({1}) - Irrelevant","","","","","","",""
"notification.shipbuilder.error.wishlist.title","Can’t create wishlist","","","","","","",""
"notification.shipbuilder.error.wishlist.text","No items to add","","","","","","",""
