"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"colonisation.layout.phorcys","Phorcys","","","","Phorcys","","Phorcys","","Phorcys"
"colonisation.layout.enodia","Enodia","","","","Enodia","","Enodia","","Enodia"
"colonisation.layout.ichnaea","Ichnaea","","","","Ichnaea","","Ichnaea","","Ichnaea"
"colonisation.layout.vacuna","Vacuna","","","","Vacuna","","Vacuna","","Vacuna"
"colonisation.layout.alastor","Alastor","","","","Alastor","","Alastor","","Alastor"
"colonisation.layout.dicaeosyne","Dicaeosyne","","","","Dicaeosyne","","Dicaeosyne","","Dicaeosyne"
"colonisation.layout.poena","Poena","","","","Poena","","Poena","","Poena"
"colonisation.layout.eunomia","Eunomia","","","","Eunomia","","Eunomia","","Eunomia"
"colonisation.layout.nomos","Nomos","","","","Nomos","","Nomos","","Nomos"
"colonisation.layout.harmonia","Harmonia","","","","Harmonia","","Harmonia","","Harmonia"
"colonisation.layout.asclepius","Asclepius","","","","Asclepius","","Asclepius","","Asclepius"
"colonisation.layout.eupraxia","Eupraxia","","","","Eupraxia","","Eupraxia","","Eupraxia"
"colonisation.layout.astraeus","Astraeus","","","","Astraeus","","Astraeus","","Astraeus"
"colonisation.layout.coeus","Coeus","","","","Coeus","","Coeus","","Coeus"
"colonisation.layout.dodona","Dodona","","","","Dodona","","Dodona","","Dodona"
"colonisation.layout.dione","Dione","","","","Dione","","Dione","","Dione"
"colonisation.layout.hedone","Hedone","","","","Hedone","","Hedone","","Hedone"
"colonisation.layout.opora","Opora","","","","Opora","","Opora","","Opora"
"colonisation.layout.pasithea","Pasithea","","","","Pasithea","","Pasithea","","Pasithea"
"colonisation.layout.dionysus","Dionysus","","","","Dionysus","","Dionysus","","Dionysus"
"colonisation.layout.bacchus","Bacchus","","","","Bacchus","","Bacchus","","Bacchus"
"colonisation.layout.hestia","Hestia","","","","Hestia","","Hestia","","Hestia"
"colonisation.layout.decima","Decima","","","","Decima","","Decima","","Decima"
"colonisation.layout.atropos","Atropos","","","","Atropos","","Atropos","","Atropos"
"colonisation.layout.nona","Nona","","","","Nona","","Nona","","Nona"
"colonisation.layout.lachesis","Lachesis","","","","Lachesis","","Lachesis","","Lachesis"
"colonisation.layout.clotho","Clotho","","","","Clotho","","Clotho","","Clotho"
"colonisation.layout.hephaestus","Hephaestus","","","","Hephaestus","","Hephaestus","","Hephaestus"
"colonisation.layout.opis","Opis","","","","Opis","","Opis","","Opis"
"colonisation.layout.ponos","Ponos","","","","Ponos","","Ponos","","Ponos"
"colonisation.layout.tethys","Tethys","","","","Tethys","","Tethys","","Tethys"
"colonisation.layout.bia","Bia","","","","Bia","","Bia","","Bia"
"colonisation.layout.mefitis","Mefitis","","","","Mefitis","","Mefitis","","Mefitis"
"colonisation.layout.necessitas","Necessitas","","","","Necessitas","","Necessitas","","Necessitas"
"colonisation.layout.ananke","Ananke","","","","Ananke","","Ananke","","Ananke"
"colonisation.layout.fauna","Fauna","","","","Fauna","","Fauna","","Fauna"
"colonisation.layout.providentia","Providentia","","","","Providentia","","Providentia","","Providentia"
"colonisation.layout.antevorta","Antevorta","","","","Antevorta","","Antevorta","","Antevorta"
"colonisation.layout.porrima","Porrima","","","","Porrima","","Porrima","","Porrima"
"colonisation.layout.zeus","Zeus","","","","Zeus","","Zeus","","Zeus"
"colonisation.layout.hera","Hera","","","","Hera","","Hera","","Hera"
"colonisation.layout.poseidon","Poseidon","","","","Poseidon","","Poseidon","","Poseidon"
"colonisation.layout.aphrodite","Aphrodite","","","","Aphrodite","","Aphrodite","","Aphrodite"
"colonisation.layout.consus","Consus","","","","Consus","","Consus","","Consus"
"colonisation.layout.picumnus","Picumnus","","","","Picumnus","","Picumnus","","Picumnus"
"colonisation.layout.annona","Annona","","","","Annona","","Annona","","Annona"
"colonisation.layout.ceres","Ceres","","","","Ceres","","Ceres","","Ceres"
"colonisation.layout.fornax","Fornax","","","","Fornax","","Fornax","","Fornax"
"colonisation.layout.ourea","Ourea","","","","Ourea","","Ourea","","Ourea"
"colonisation.layout.mantus","Mantus","","","","Mantus","","Mantus","","Mantus"
"colonisation.layout.orcus","Orcus","","","","Orcus","","Orcus","","Orcus"
"colonisation.layout.erebus","Erebus","","","","Erebus","","Erebus","","Erebus"
"colonisation.layout.aerecura","Aerecura","","","","Aerecura","","Aerecura","","Aerecura"
"colonisation.layout.fontus","Fontus","","","","Fontus","","Fontus","","Fontus"
"colonisation.layout.meteope","Metope","","","","Metope","","Metope","","Metope"
"colonisation.layout.palici","Palici","","","","Palici","","Palici","","Palici"
"colonisation.layout.minthe","Minthe","","","","Minthe","","Minthe","","Minthe"
"colonisation.layout.gaea","Gaea","","","","Gaea","","Gaea","","Gaea"
"colonisation.layout.ioke","Ioke","","","","Ioke","","Ioke","","Ioke"
"colonisation.layout.bellona","Bellona","","","","Bellona","","Bellona","","Bellona"
"colonisation.layout.enyo","Enyo","","","","Enyo","","Enyo","","Enyo"
"colonisation.layout.polemos","Polemos","","","","Polemos","","Polemos","","Polemos"
"colonisation.layout.minerva","Minerva","","","","Minerva","","Minerva","","Minerva"
"colonisation.layout.pheobe","Pheobe","","","","Pheobe","","Pheobe","","Pheobe"
"colonisation.layout.asteria","Asteria","","","","Asteria","","Asteria","","Asteria"
"colonisation.layout.caerus","Caerus","","","","Caerus","","Caerus","","Caerus"
"colonisation.layout.chronos","Chronos","","","","Chronos","","Chronos","","Chronos"
"colonisation.layout.aergia","Aergia","","","","Aergia","","Aergia","","Aergia"
"colonisation.layout.comos","Comos","","","","Comos","","Comos","","Comos"
"colonisation.layout.gelos","Gelos","","","","Gelos","","Gelos","","Gelos"
"colonisation.layout.fufluns","Fufluns","","","","Fufluns","","Fufluns","","Fufluns"
"colonisation.layout.tartarus","Tartarus","","","","Tartarus","","Tartarus","","Tartarus"
"colonisation.layout.aegle","Aegle","","","","Aegle","","Aegle","","Aegle"
"colonisation.layout.tellus","Tellus","","","","Tellus","","Tellus","","Tellus"
"colonisation.layout.io","Io","","","","Io","","Io","","Io"
"colonisation.layout.athena","Athena","","","","Athena","","Athena","","Athena"
"colonisation.layout.caelus","Caelus","","","","Caelus","","Caelus","","Caelus"
"colonisation.layout.alala","Alala","","","","Alala","","Alala","","Alala"
"colonisation.layout.ares","Ares","","","","Ares","","Ares","","Ares"
"colonisation.layout.silenus","Silenus","","","","Silenus","","Silenus","","Silenus"
"colonisation.layout.janus","Janus","","","","Janus","","Janus","","Janus"
"colonisation.layout.molae","Molae","","","","Molae","","Molae","","Molae"
"colonisation.layout.eunostus","Eunostus","","","","Eunostus","","Eunostus","","Eunostus"
