"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"colonisation.buildable.installation_relay_station","Relay station (small)","","","Estación de Relés (pequeño)","Station relais (petit)","","Ретрансляторная станция (малая)","中继站（小）",""
"colonisation.buildable.installation_military","Military (medium)","","","Militar (mediano)","Militaire (moyen)","","Военная (средняя)","军事（中）",""
"colonisation.buildable.installation_security_station","Security station (medium)","","","Estación de Seguridad (mediano)","Poste de sécurité (moyen)","","Станция службы безопасности (средняя)","安保站（中）",""
"colonisation.buildable.installation_government","Government (medium)","","","Gobierno (mediano)","Gouvernement (moyen)","","Правительственная (средняя)","政府（中）",""
"colonisation.buildable.installation_medical","Medical (medium)","","","Médico (mediano)","Médical (moyen)","","Медицинская (средняя)","医疗（中）",""
"colonisation.buildable.installation_research_station","Research station (medium)","","","Estación de Investigación (mediano)","Station de recherche (moyen)","","Исследовательская станция (средняя)","科研（中）",""
"colonisation.buildable.installation_tourist","Tourist (medium)","","","Turístico (mediano)","Touristique (moyen)","","Туристическая (средняя)","旅游（中）",""
"colonisation.buildable.installation_space_bar","Space bar (medium)","","","Bar (mediano)","Bar spatial (moyen)","","Бар (средний)","太空酒吧（中）",""
"colonisation.buildable.planetary_port_civilian_tier_1","Civilian (small)","","","Civil (pequeño)","Civil (petit)","","Гражданская станция (малая)","民用（小）",""
"colonisation.buildable.planetary_port_industrial","Industrial (small)","","","Industrial (pequeño)","Industriel (petit)","","Промышленная станция (малая)","工业（小）",""
"colonisation.buildable.planetary_port_scientific","Scientific (small)","","","Científica (pequeño)","Scientifique (petit)","","Научная станция (малая)","科研（小）",""
"colonisation.buildable.planetary_port_civilian_tier_3","Civilian (large)","","","Civil (grande)","Civil (grand)","","Планетарный порт (большой)","民用（大）",""
"colonisation.buildable.settlement_agriculture_tier_1_small","Agriculture (small)","","","Agricultura (pequeño)","Agriculture (petit)",""," Сельское хозяйство (малое)","农业（小）",""
"colonisation.buildable.settlement_agriculture_tier_1_medium","Agriculture (medium)","","","Agricultura (mediano)","Agriculture (moyen)","","Сельское хозяйство (среднее)","农业（中）",""
"colonisation.buildable.settlement_agriculture_tier_2_large","Agriculture (large)","","","Agricultura (grande)","Agriculture (grand)","","Сельское хозяйство (большое)","农业（大）",""
"colonisation.buildable.settlement_extraction_tier_1_small","Extraction (small)","","","Minería (pequeño)","Extraction (petit)","","Добыча ископаемых (малое)","开采（小）",""
"colonisation.buildable.settlement_extraction_tier_1_medium","Extraction (medium)","","","Minería (mediano)","Extraction (moyen)","","Добыча ископаемых (среднее)","开采（中）",""
"colonisation.buildable.settlement_extraction_tier_2_large","Extraction (large)","","","Minería (grande)","Extraction (grand)","","Добыча ископаемых (большое)","开采（大）",""
"colonisation.buildable.settlement_industrial_tier_1_small","Industrial (small)","","","Industrial (pequeño)","Industriel (petit)","","Промышленность (малое)","工业（小）",""
"colonisation.buildable.settlement_industrial_tier_1_medium","Industrial (medium)","","","Industrial (mediano)","Industriel (moyen)","","Промышленность (среднее)","工业（中）",""
"colonisation.buildable.settlement_industrial_tier_2_large","Industrial (large)","","","Industrial (grande)","Industriel (grand)","","Промышленность (большое)","工业（大）",""
"colonisation.buildable.settlement_military_tier_1_small","Military (small)","","","Militar (pequeño)","Militaire (petit)","","Военное дело (малое)","军事（小）",""
"colonisation.buildable.settlement_military_tier_1_medium","Military (medium)","","","Militar (mediano)","Militaire (moyen)","","Военное дело (среднее)","军事（中）",""
"colonisation.buildable.settlement_military_tier_2_large","Military (large)","","","Militar (grande)","Militaire (grand)","","Военное дело (большое)","军事（大）",""
"colonisation.buildable.settlement_research_bio_tier_1_small","Research bio (small)","","","Investigación Biológica (pequeño)","Recherche bio (petit)","","Биоисследования (малое)","生物研究（小）",""
"colonisation.buildable.settlement_research_bio_tier_1_medium","Research bio (medium)","","","Investigación Biológica (mediano)","Recherche bio (moyen)","","Биоисследования (среднее)","生物研究（中）",""
"colonisation.buildable.settlement_research_bio_tier_2_large","Research bio (large)","","","Investigación Biológica (grande)","Recherche bio (grand)","","Биоисследования (большое)","生物研究（大）",""
"colonisation.buildable.settlement_tourism_tier_1_small","Tourism (small)","","","Turismo (pequeño)","Tourisme (petit)","","Туризм (малое)","旅游（小）",""
"colonisation.buildable.settlement_tourism_tier_1_medium","Tourism (medium)","","","Turismo (mediano)","Tourisme (moyen)","","Туризм (среднее)","旅游（中）",""
"colonisation.buildable.settlement_tourism_tier_2_large","Tourism (large)","","","Turismo (grande)","Tourisme (grand)","","Туризм (большое)","旅游（大）",""
"colonisation.buildable.hub_extraction","Extraction (medium)","","","Minería (mediano)","Extraction (moyen)","","Добыча ископаемых (средний)","开采（中）",""
"colonisation.buildable.hub_civilian","Civilian (medium)","","","Civil (mediano)","Civil (moyen)","Civil (médio)","Гражданские (средний)","民用（中）",""
"colonisation.buildable.hub_exploration","Exploration (medium)","","","Exploración (mediano)","Exploration (moyen)","","Исследование (средний)","探索（中）",""
"colonisation.buildable.hub_outpost","Outpost (medium)","","","Base Espacial (mediano)","Avant-poste (moyen)","","Станция (средний)","哨站（中）",""
"colonisation.buildable.hub_scientific","Scientific (medium)","","","Científico (mediano)","Scientifique (moyen)","","Научные (средний)","科研（中）",""
"colonisation.buildable.hub_military","Military (medium)","","","Militar (mediano)","Militaire (moyen)","","Военное дело (средний)","军事（中）",""
"colonisation.buildable.hub_refinery","Refinery (medium)","","","Refinería (mediano)","Raffinerie (moyen)","","Очиститель (средний)","精炼（中）",""
"colonisation.buildable.hub_high_tech","High tech (medium)","","","Alta Tecnología (mediano)","Haute technologie (moyen)","","Технологии (средний)","高科技（中）",""
"colonisation.buildable.hub_industrial","Industrial (medium)","","","Industrial (mediano)","Industriel (moyen)","","Промышленность (средний)","工业（中）",""
"colonisation.buildable.unknown","Unknown","","","Desconocido","Inconnu","","Unknown","未知",""
