"messageKey","","en","","","","","",""
"blueprint.name.increased_sprint_duration","Increased Sprint Duration","Increased Sprint Duration","Erhöhte Sprintdauer","Aumento de duración del sprint","Durée de course améliorée","Duração da Corrida Aumentada","Повышенная длительность бега",""
"blueprint.name.karma_1_2","Karma (AR-50, C-44, L-6, P-15) 1>2","Karma (AR-50, C-44, L-6, P-15) 1>2","","","","","",""
"blueprint.name.karma_2_3","Karma (AR-50, C-44, L-6, P-15) 2>3","Karma (AR-50, C-44, L-6, P-15) 2>3","","","","","",""
"blueprint.name.karma_3_4","Karma (AR-50, C-44, L-6, P-15) 3>4","Karma (AR-50, C-44, L-6, P-15) 3>4","","","","","",""
"blueprint.name.karma_4_5","Karma (AR-50, C-44, L-6, P-15) 4>5","Karma (AR-50, C-44, L-6, P-15) 4>5","","","","","",""
"blueprint.name.magazine_size","Magazine Size","Magazine Size","Magazingröße","Tamaño de cargador","Taille du chargeur","Tamanho do Carregador","Размер магазина",""
"blueprint.name.manticore_1_2","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 1>2","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 1>2","","","","","",""
"blueprint.name.manticore_2_3","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 2>3","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 2>3","","","","","",""
"blueprint.name.manticore_3_4","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 3>4","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 3>4","","","","","",""
"blueprint.name.manticore_4_5","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 4>5","Manticore (Executioner, Intimidator, Oppressor, Tormentor) 4>5","","","","","",""
"blueprint.name.maverick_suit_grade_1_2","Maverick Suit Grade 1>2","Maverick Suit Grade 1>2","Maverick Anzug Grade 1>2","","Combinaison Maverick Grade 1>2","Traje Maverick Grau 1>2","Комбинезон Maverick 1>2",""
"blueprint.name.maverick_suit_grade_2_3","Maverick Suit Grade 2>3","Maverick Suit Grade 2>3","Maverick Anzug Grad 2>3","","Combinaison Maverick Grade 2>3","Traje Maverick Grau 2>3","Комбинезон Maverick 2>3",""
"blueprint.name.maverick_suit_grade_3_4","Maverick Suit Grade 3>4","Maverick Suit Grade 3>4","Maverick Anzug Grad 3>4","","Combinaison Maverick Grade 3>4","Traje Maverick Grau 3>4","Комбинезон Maverick 3>4",""
"blueprint.name.maverick_suit_grade_4_5","Maverick Suit Grade 4>5","Maverick Suit Grade 4>5","Maverick Anzug Grad 4>5","","Combinaison Maverick Grade 4>5","Traje Maverick Grau 4>5","Комбинезон Maverick 4>5",""
"blueprint.name.night_vision","Night Vision","Night Vision","Nachtsicht","Visión Nocturna","Vision nocturne","Visão Noturna","Ночное видение",""
"blueprint.name.noise_suppressor","Noise Suppressor","Noise Suppressor","Geräuschunterdrücker","Silenciador","Silencieux","Supressor de ruído","Глушитель",""
"blueprint.name.quieter_footsteps","Quieter Footsteps","Quieter Footsteps","Leisere Schritte","Pasos Silenciosos","","Passos Mais Silenciosos","Приглушённые шаги",""
"blueprint.name.reduced_tool_battery_consumption","Reduced Tool Battery Consumption","Reduced Tool Battery Consumption","Verringerter Werkzeug-Batterieverbrauch","Consumo De Batería Reducido","Consommation des outils réduite","Consumo de Bateria por Ferramentas Reduzido","Сниженный расход батареи инструмента",""
"blueprint.name.reload_speed","Reload Speed","Reload Speed","Geschwindigkeit neu laden","Velocidad de recarga","Vitesse de rechargement","Velocidade de recarga","Скорость перезарядки",""
"blueprint.name.scope","Scope","Scope","Umfang","Mirilla","Lunette","Mira Telescópica","Прицел",""
"blueprint.name.stability","Stability","Stability","Stabilität","Estabilidad","Stabilité","Estabilidade","Устойчивость",""
"blueprint.name.stowed_reloading","Stowed Reloading","Stowed Reloading","Verstautes Nachladen","Recarga guardada","","Recargamento armazenado","Перезарядка в кобуре",""
"blueprint.name.tk_1_2","TK (Aphelion, Eclipse, Zenith) 1>2","TK (Aphelion, Eclipse, Zenith) 1>2","","","","","",""
"blueprint.name.tk_2_3","TK (Aphelion, Eclipse, Zenith) 2>3","TK (Aphelion, Eclipse, Zenith) 2>3","","","","","",""
"blueprint.name.tk_3_4","TK (Aphelion, Eclipse, Zenith) 3>4","TK (Aphelion, Eclipse, Zenith) 3>4","","","","","",""
"blueprint.name.tk_4_5","TK (Aphelion, Eclipse, Zenith) 4>5","TK (Aphelion, Eclipse, Zenith) 4>5","","","","","",""
"blueprint.name.added_melee_damage","Added Melee Damage","Added Melee Damage","Nahkampfschaden hinzugefügt","Daño cuerpo a cuerpo añadido","","Dano Corpo a Corpo Adicional","Дополнительный урон в ближнем бою",""
"blueprint.name.none","None","","","Ninguno","","","",""
