system,body,distance,material,x,y,z
Graea Hypue XK-V d3-381,A 1,289.434865,polonium,-747.96875,-226.75,13410.375
Swoilz IC-B d1-52,AB 1,770.375041,polonium,592.71875,-77.0625,350.03125
Graea Hypue MT-P c6-1,2,15.076527,polonium,-1076.3125,-851.625,13329.78125
Graea Hypue SE-X d2-666,A 4,1362.248949,polonium,-845.9375,-201.84375,13285.75
Blaa Hypai BN-I b26-1,B 1,4680.729386,polonium,1290.3125,-666.375,12299.59375
Synuefe BD-R b51-2,C 2,229.751733,polonium,803.375,-229.15625,53.03125
Plio Eurl MZ-F d11-11,B 1,3595.082762,polonium,1376.125,515.75,-90.71875
Synuefe AZ-E b45-0,C 2,851.555192,polonium,618.4375,-80.90625,-105
Eorl Auwsy SY-Z d13-5797,3,271.316452,polonium,4934.59375,192,20634.15625
Synuefe YG-J d10-90,6,164.469703,polonium,587.90625,-152.875,-129.40625
Graea Hypue BQ-Y d56,3,76.075085,polonium,-1227.84375,-1075.40625,13127.59375
Synuefe GC-Q b52-4,C 1,23539.2933,polonium,455.3125,-146.78125,65.4375
Graea Hypue JT-P d6-615,3,1179.697866,polonium,-1052.21875,-356.5625,13607.21875
Col 173 Sector PB-R c19-13,1,64.884976,polonium,1051.71875,-254.1875,140.90625
Praea Euq ZS-U b16-3,A 2,17.899709,polonium,1170.0625,32.90625,588.40625
Synuefe FQ-O c22-9,D 2,138615.3411,polonium,494,-237.46875,-102.15625
Prai Hypoo GF-E c2,B 1,4877.402366,polonium,-9331.65625,-424.6875,7897.9375
Praea Euq HN-W c1-0,8,123.620907,polonium,937.8125,-22.46875,296.3125
Wregoe IV-R b45-1,B 1,293.500186,polonium,379.59375,1.46875,-84.59375
Graea Hypue SO-P d6-60,1,29.634994,polonium,-518.09375,-471.15625,13586.9375
HIP 42961,3,1215.030041,polonium,527.03125,-102.3125,65.78125
Synuefe CN-H d11-37,1,8.096499,polonium,632.875,-166.15625,-95.5
Flyua Dryoae LB-Q c20-0,C 1,91945.3666,polonium,1416.21875,-701.1875,-183.875
Praea Euq WG-Y c44,A 1,41.215021,polonium,657.59375,-20.71875,285.46875
Col 173 Sector OP-T c18-9,1,367.42306,polonium,1472.5625,-75.375,110.9375
Wregoe DN-P b33-3,B 1,72.713426,polonium,436.5625,89.96875,-331.9375
Graea Hypue FW-U d3-30,2,108.517121,polonium,-599.15625,-449.65625,13401.375
Col 132 Sector OU-F c11-4,A 1,22.986386,polonium,989,-428.625,-652.84375
Col 132 Sector LN-P b20-0,C 1,247.812762,polonium,1420.59375,-423.0625,-682.28125
Eorl Auwsy QD-A d14-252,1,363.024522,polonium,4915.125,224.9375,20676.8125
Graea Hypue NJ-P d6-162,A 3,1774.697749,polonium,-1054.21875,-532.03125,13637.4375
HIP 42749,3,94.241146,polonium,601.53125,-96.40625,43.75
Pencil Sector BF-A c8,8,93.203127,polonium,827.1875,-30.71875,-124.875
Wregoe LX-B b14-0,1,7.646955,polonium,1008.8125,233.46875,-755.4375
Graea Hypue ID-R d5-176,5,1492.032148,polonium,-1113.59375,-549.125,13539.96875
Col 132 Sector IF-B c15-19,C 1,9668.451572,polonium,1140.71875,57.09375,-490.65625
Eta Carina Sector EL-Y d15,B 1,5171.745994,polonium,8653.8125,-150,2685.4375
Synuefe DO-H b43-4,B 1,675.658694,polonium,637.125,-177.875,-144.0625
Swoilz MW-A b6-2,B 5,757.367107,polonium,1055.75,-95.21875,344.375
Wregoe PY-N b34-3,5,31.560761,polonium,639.65625,95.46875,-308.75
Synuefe WB-V b35-3,C 1,382.425498,polonium,504.5625,-229.71875,-302.34375
Synuefe WO-O b52-3,A 2,20.314434,polonium,473.71875,-313.5,63.96875
Col 132 Sector TT-O b20-0,C 2,115175.6621,polonium,1428.71875,-493.375,-672.96875
Col 173 Sector EC-T d4-51,6,911.478595,polonium,1136.125,90.28125,-312.96875
Col 173 Sector HG-C b30-1,C 1,5704.947039,polonium,1381.65625,-3.21875,-65
Col 132 Sector AR-M b23-3,B 1,31550.71176,polonium,963.96875,-160.9375,-612.6875
Swoilz QM-A c2-1,B 3,66642.45286,polonium,899.03125,-427.96875,301.125
Eorl Auwsy JR-N e6-5603,3,307.156493,polonium,4953.375,59.5,20636.8125
Col 132 Sector QG-A b15-0,B 2,172253.5137,polonium,1011.84375,-388.75,-801.71875
Wregoe HR-Z b41-4,C 1,178.296959,polonium,847.5625,79.65625,-160.75
Synuefe QP-K c23-2,AB 1,697.660645,polonium,849.875,-733.65625,-35.84375
Blae Eork AT-J c25-6,A 5,54.445707,polonium,8659.5625,-179.65625,2599.125
Col 132 Sector SD-Z b17-0,B 1,1055.943633,polonium,1156.15625,40.375,-741.0625
Col 173 Sector ON-S d4-65,1,283.791099,polonium,1533.625,-148.5,-307.84375
Col 132 Sector BC-Q b20-0,B 3,847.292767,polonium,1353.84375,-353.78125,-677.5625
Wregoe SO-Z d13-16,B 2,231294.1993,polonium,776.6875,-11.6875,184
Wregoe ER-L c21-19,C 1,6231.004113,polonium,679.15625,19.03125,-116.21875
Synuefe DZ-R c20-7,A 6,118.589481,polonium,634.6875,-281.5625,-172.03125
Col 173 Sector JT-Q b9-2,A 3,22.783002,polonium,1471.78125,191.03125,-491.84375
HIP 45026,1,106.376577,polonium,390.125,-48.03125,50.40625
Praea Euq YF-R c4-6,B 2,2074.7455,polonium,1169.34375,-17.28125,431.75
IC 2391 Sector HW-W c1-30,1,34.289306,polonium,582.78125,-71.21875,-23.78125
Plio Eurl JK-T b18-1,B 1,150.326463,polonium,1414.59375,266.5625,-647.625
Graea Hypue BL-X d1-39,2,1323.105919,polonium,-1101.84375,-902.03125,13207.84375
Praea Euq NG-Y d36,B 1,268.981904,polonium,682.46875,-20.71875,352
Vela Dark Region GM-V b2-8,1,7.808719,polonium,929.8125,-140.40625,-97.65625
Synuefe DF-P c22-30,5,92.527586,polonium,616.25,-113.03125,-72.90625
Wregoe BN-H c24-8,B 2,286670.4305,polonium,555.375,269.75,-15.9375
Plio Eurl FN-J d9-23,AB 1,71.272964,polonium,1460.71875,478.875,-231.40625
Wregoe BP-T b32-0,C 1,19920.12068,polonium,959.875,327.75,-348.09375
Prua Dryoae CS-E b4-11,B 1,84.213476,polonium,1340.15625,-59.3125,298.28125
IC 2391 Sector GM-V b2-3,B 4,244.731264,polonium,509.4375,-86.75,-37.59375
Wregoe BE-T b58-6,B 1,157.89108,polonium,689.125,12.25,196.03125
Blae Eork YQ-L b54-0,B 1,416.340797,polonium,8673.59375,-246.5625,2663.1875
Col 173 Sector MV-M b37-5,B 2,749.487271,polonium,1596.5,-131.28125,112.3125
Graea Hypue AP-A d0,A 5,1414.315752,polonium,-837.4375,-1050.09375,13087.46875
Graea Hypue DT-D b14-4,C 4,232.668722,polonium,-1083.34375,-860.15625,13315.75
Graea Hypue PP-N d7-362,C 6 a,453133.7088,polonium,-1231.96875,-525.4375,13693.9375
Wregoe OU-T b44-3,B 1 a,1404.980478,polonium,634.4375,34.09375,-102.65625
Col 132 Sector MA-K c10-4,D 2 a,175110.4776,polonium,1069.5625,64.21875,-691.0625
Col 173 Sector VP-N d7-25,C 2 a,2300.631767,polonium,1388.78125,23.03125,-66.5
Col 132 Sector GJ-X c15-4,C 2 a,10355.1789,polonium,1060.90625,-381.0625,-431.6875
Eorl Auwsy ZG-V b58-44,B 1 a,1360.348482,polonium,4916.875,228.46875,20692.21875
Graea Hypue LX-A d1-679,B 1 a,4455.23416,polonium,-588.875,-175,13156.78125
Col 173 Sector YC-G b41-4,A 1 a,25.051239,polonium,1078.625,-94.09375,192.875
Graea Hypue DX-R b5-4,A 1 a,25.839345,polonium,-1234.78125,-1028.5,13139.65625
Col 173 Sector NH-L b11-1,A 5 a,59.436607,polonium,980.0625,-5.875,-456.375
Pencil Sector HM-U b3-7,B 2 a,2316.093599,polonium,850.40625,62.6875,-59.9375
Plio Eurl FV-J c23-3,BC 2 a,1322.331387,polonium,1360.8125,377.34375,-29.03125
Wregoe XC-W b43-4,B 3 a,2529.394677,polonium,484.375,76.5625,-109.3125
Puppis Dark Region B Sector SN-S a4-1,AB 3 a,16.073337,polonium,1366.125,-34.84375,-412.96875
Synuefe JZ-F b44-3,B 4 a,279.084029,polonium,726.4375,-159.3125,-107.59375
Wregoe JE-M b35-3,A 4 a,54.03904,polonium,446.40625,101.90625,-292.6875
Synuefe KF-D b46-11,A 3 a,40.047529,polonium,745.65625,-82.71875,-83.375
Col 173 Sector QL-I b11-1,B 3 a,909.940862,polonium,966.65625,-319.78125,-460.96875
Col 132 Sector PS-S b33-2,A 3 a,48.407042,polonium,1297.78125,-219.71875,-401.3125
Synuefe MF-I c25-7,B 1 a,2599.656347,polonium,847.15625,-501.09375,24.6875
Col 173 Sector OC-C b29-1,A 2 a,54.461339,polonium,1206.46875,-190.59375,-82.625
Col 135 Sector QI-T c3-7,D 2 a,5321.30257,polonium,974.5,-269.90625,-352.875
Musca Dark Region ZJ-Z b1,B 2 a,1468.897783,polonium,461.78125,-50.375,169.25
Synuefe AR-K d9-25,B 3 a,116253.4838,polonium,751.5625,-293.59375,-228.71875
Clookeou QM-L b50-1,C 3 a,13280.3251,polonium,-623.40625,-1023.625,12819.375
Wregoe UG-N b49-1,B 1 a,704.397607,polonium,833.375,271.4375,3.625
NGC 3532 Sector AC-K b9-5,B 5 a,297.306418,polonium,1337.53125,-24.40625,509.4375
Col 173 Sector EF-Y b17-4,B 1 a,2032.163443,polonium,1117.875,-96.59375,-323.8125
Col 173 Sector DB-V c16-4,B 3 a,1622.361902,polonium,1500,-533.15625,24.5625
Praea Euq KA-A d7,B 4 a,1644.734641,polonium,738.09375,-22.4375,283.40625
Col 173 Sector DW-H b28-3,B 4 a,407.973296,polonium,1388.59375,218.4375,-98.96875
Col 173 Sector TJ-P d6-22,C 4 a,12196.19428,polonium,1573.96875,-7.28125,-128.9375
Puppis Dark Region B Sector IW-W c1-29,B 1 a,26315.67005,polonium,1414.0625,4.4375,-368.6875
Col 173 Sector ON-T d3-25,A 4 a,2603.433971,polonium,1186.59375,-478.8125,-375.5625
Pencil Sector GG-Y c31,B 5 a,38474.1206,polonium,797.78125,-80.03125,-77.0625
IC 2391 Sector JC-V c2-27,B 2 a,2374.811206,polonium,526.40625,-102.4375,16.46875
Wregoe PO-O b21-0,A 4 a,35.379246,polonium,1132.4375,314.1875,-604.15625
Col 173 Sector AD-H c11-15,B 2 a,8064.41597,polonium,925,-200.09375,-205.65625
Puppis Dark Region B Sector LC-V c2-13,C 4 a,573.638251,polonium,1354.65625,2.75,-313.46875
Graea Hypue YT-T b9-33,A 5 a,37.426607,polonium,-816.53125,-94.34375,13228.625
Eorl Auwsy QD-A d14-1157,1 a,1534.295474,polonium,4918.3125,230.15625,20641.71875
HIP 61635,4 a,2511.29651,polonium,577.71875,-83.96875,361.5
Col 132 Sector PT-X b15-0,A 3 a,36.665399,polonium,1270.4375,-474.53125,-783.9375
Col 173 Sector LJ-I b26-1,B 1 a,986.140056,polonium,1587.625,-89.3125,-138.625
Col 173 Sector TF-N b23-4,B 1 a,1909.09001,polonium,856.8125,-137.9375,-190.875
Blaa Hypai SF-N d7-0,A 6 a,1688.659158,polonium,1285.5,-705,12377.5
HIP 40415,9 a,3494.983211,polonium,461.5,-212.34375,188.3125
Synuefe HQ-N c23-36,C 2 a,3386.629124,polonium,709.1875,-93.125,-32.15625
Synuefe PU-F b44-1,BC 1 a,711.281731,polonium,798.46875,-180.15625,-119.6875
Shrogaae UU-A c144,4 a,79.984785,polonium,4925.625,156.34375,20732.71875
Pencil Sector AQ-Y c31,C 3 a,1830.986027,polonium,729.71875,14.78125,-79.5
Synuefe TL-J d10-62,5 a,2572.036267,polonium,363.375,-66.59375,-132.53125
HIP 57293,A 8 b,3149.363244,polonium,748.65625,86.1875,332.34375
Col 173 Sector VP-N d7-3,ABC 5 d,3130.905767,polonium,1441.90625,52.15625,-79.28125
Wregoe DW-T c17-8,A 2 a,45.934546,polonium,699.28125,289.3125,-297.75
HIP 42459,7 b,1460.817399,polonium,441.4375,-55.46875,6.59375
Synuefe GT-K c11-5,2 a,79.934175,polonium,774.78125,-48.90625,-558.21875
Synuefe KN-Q d6-65,1 a,444.069495,polonium,938.96875,-42.90625,-475.46875
Graea Hypue DS-R d5-508,4 b,1905.159419,polonium,-1043.96875,-298.53125,13564
Col 173 Sector QU-O d6-75,5 a,4542.063302,polonium,850.5,-215.78125,-167.46875
Col 132 Sector PT-Q d5-1,1 b,1166.404246,polonium,1300.84375,-70.1875,-609
Praea Euq JF-A d63,7 d,1097.060309,polonium,842.75,59.6875,258.65625
Eorl Auwsy SY-Z d13-3468,ABC 1 a,1529.980833,polonium,4948.46875,165.0625,20654.53125
HIP 51217,4 f,1006.586589,polonium,536.6875,108.53125,75.9375
Swoilz EA-Y d1-7,A 9 a,566.512113,polonium,901.21875,-598.5625,412.53125
HIP 34941,A 6 a,1774.83316,polonium,451.90625,-39.6875,-329.03125
HIP 60573,A 8 a,2062.355975,polonium,536.28125,-219.03125,336.125
Col 132 Sector CM-U d3-49,2 a,1248.090643,polonium,1098.3125,49.65625,-789.5
Graea Hypue IT-P d6-551,3 a,1052.868169,polonium,-1128.28125,-370.46875,13627.28125
Col 132 Sector IN-S d4-64,6 a,2047.377132,polonium,1129.875,-26.78125,-694.03125
Graea Hypue CU-A d63,2 e,1548.148735,polonium,-539.75,-948.3125,13069.21875
HIP 43187,3 a,1645.779218,polonium,578.03125,2.40625,-62.375
Swoilz ZE-X d2-25,5 a,1706.865047,polonium,1020.9375,-246.15625,503.53125
Synuefe PS-G c12-3,1 a,1326.290979,polonium,1039.96875,-519,-518.28125
HR 2923,7 b,5340.079848,polonium,517.71875,-3.5,-324.09375
Synuefe HC-K d9-21,ABC 4 a,2684.333594,polonium,869.375,-529.46875,-194.75
Synuefe EN-H d11-28,12 c,2547.939674,polonium,771.78125,-145,-26.65625
HD 54035,A 1 a,2894.106308,polonium,927.375,-235.09375,-360.75
Col 173 Sector ON-S d4-21,ABC 4 a,3893.249312,polonium,1471.28125,-172.125,-270.09375
HIP 42398,A 9 a,3478.113933,polonium,881.125,0.4375,-133.28125
HIP 52162,2 a,1307.115029,polonium,733.03125,-105.5,279.75
Col 173 Sector AL-X e1-17,4 b,3038.71804,polonium,1207.90625,84.15625,-385.21875
Swoilz OW-Z c2-16,4 a,1721.881525,polonium,1157.5,-185.34375,349.46875
HIP 43106,1 a,1595.810003,polonium,378.375,-84,61.875
Col 173 Sector QC-B c14-0,4 a,2277.750154,polonium,1793,-349.75,-68.96875
Wregoe GH-U c16-24,7 a,2383.500022,polonium,421.125,2.78125,-340.65625
Swoilz BV-V d3-106,5 d,1650.701853,polonium,1193.09375,-100.28125,556.65625
Graea Hypue GS-R d5-299,4 a,292.40729,polonium,-852.78125,-283.71875,13516.78125
Wregoe NS-Q c19-4,4 c,2045.00553,polonium,971.90625,355.125,-213.84375
17 Canis Majoris,10 a,2886.372562,polonium,392.90625,-69.84375,-308.03125
HIP 53018,4 a,2674.689214,polonium,916.90625,100.9375,252.875
Plio Eurl AB-F d11-62,2 d,1680.187686,polonium,1742,133.46875,-91.8125
Blae Eork RU-D d13-17,2 a,1408.28368,polonium,8675.5,-238.5,2655.625
HIP 34322,2 a,1103.331529,polonium,386.6875,-114.84375,-97.375
Swoilz CZ-E c8,4 c,2700.676389,polonium,1074.8125,-244.4375,254.03125
Prai Hypoo SM-A c2-0,1 a,1296.491138,polonium,-9262.15625,-444.6875,7979.0625
Graea Hypue AA-Z d39,3 a,2405.306812,polonium,-957.375,-956.96875,13161.3125
Graea Hypue PQ-H c12-33,5 a,100.173458,polonium,-894.5,-309.25,13546.3125
Graea Hypue EV-Y d36,7 b,1267.232878,polonium,-831.46875,-1043.71875,13112.15625
Graea Hypue KA-W c3-27,ABC 4 b,2222.524835,polonium,-281.28125,-661.8125,13186.46875
Synuefe KO-F d12-68,B 1 a,387968.001,polonium,800.96875,-196.28125,-21.375
Col 173 Sector CQ-P d5-15,A 1 a,1174.382741,polonium,1364,-597.375,-213.21875
HIP 60573,A 5 a,1185.583798,polonium,536.28125,-219.03125,336.125
Col 173 Sector ZL-L c8-6,1 a,449.90458,polonium,959.84375,-420.78125,-340.5
Col 132 Sector XU-F c11-3,4 a,130.196346,polonium,1366.84375,-461.125,-645.40625
Wregoe FF-Q d5-17,3 c,1158.996819,polonium,1137.4375,362.03125,-577.875
Graea Hypue SO-P d6-27,1 a,1648.646653,polonium,-488.40625,-501.28125,13596.25
Col 173 Sector TE-Q d5-7,6 a,720.567262,polonium,1067.75,-360.625,-259.53125
Flyua Dryoae YY-J c24-5,6 a,1397.278855,polonium,1710.65625,-471.84375,-13.25
Synuefe EN-H d11-28,14 a,3226.952284,polonium,771.78125,-145,-26.65625
Col 173 Sector UU-O d6-30,4 b,927.728243,polonium,1196.6875,-225.84375,-161.5
Col 132 Sector QI-T d3-4,3 a,2044.109591,polonium,1233.09375,-445.875,-805.5
Col 173 Sector AA-P d6-39,5 b,1241.632919,polonium,1791.59375,-166.75,-172.625
Nuekau AV-N d7-589,4 a,698.673064,polonium,-1500.78125,-498.5625,13664.78125
Pencil Sector AV-Y c35,4 c,1959.567525,polonium,810.875,22.46875,-82.75
Wregoe JC-L d8-6,2 b,1001.057922,polonium,679.875,399.5625,-301.40625
IC 2602 Sector FG-X c1-14,1 c,356.18747,polonium,572,-43.78125,106.65625
Pencil Sector AV-Y c9,3 a,1274.587666,polonium,812.59375,52.03125,-85.46875
Col 132 Sector JN-J d9-62,1 a,730.399583,polonium,1491.15625,-136.28125,-317.5625
Synuefe SZ-E d12-0,ABC 2 a,2290.463827,polonium,902.34375,-502.5,-16.96875
Col 132 Sector VO-R d4-8,1 b,1047.993542,polonium,1370.25,-431.34375,-700.625
HIP 34953,2 b,3020.685894,polonium,479.09375,13.375,-491.71875
Praea Euq BS-W c1-21,A 1 c,839.104217,polonium,788.78125,18.5625,311.25
Col 132 Sector MI-S d4-33,AB 1 a,378.164237,polonium,1255.875,-150.59375,-718.9375
HD 53433,9 c,2619.258846,polonium,1031.8125,-144.375,-759.28125
Graea Hypue JQ-X d1-21,1 e,897.520949,polonium,-301.84375,-782.25,13186.8125
Col 173 Sector JS-J d9-24,3 b,1537.759006,polonium,1600.625,-141.21875,123.40625
Graea Hypue LO-P d6-175,5 a,1535.906871,polonium,-1048.34375,-448.5,13630.59375
Graea Hypue LP-X c2-8,AB 4 a,1347.757957,polonium,-158.65625,-677.75,13159.25
Graea Hypue EF-Y d1-141,7 b,586.20059,polonium,-200.8125,-526.59375,13208.90625
Col 135 Sector SN-T b3-1,7 b,2540.333175,polonium,941.46875,-304.59375,-443.78125
Synuefe RG-Q b24-0,B 2,160888.3369,polonium,838.125,-241.53125,-541.5625
Synuefe XR-H d11-15,B 1 a,354596.854,polonium,359.53125,-51.4375,-60.375
Puekee UF-G b11-30,A 1,21.219715,polonium,-578.4375,128.1875,13268.46875
HR 2923,1 c a,1218.679295,polonium,517.71875,-3.5,-324.09375
Col 132 Sector JN-S d4-68,7 b a,4489.194828,polonium,1202.9375,-53.5625,-710.96875
HIP 24407,1 c a,1065.633878,polonium,549.15625,-432.125,-343.03125
Wregoe DW-E d11-38,2 b a,1116.319355,polonium,552.8125,10.5625,-89.34375
HIP 40108,11 b a,2701.255381,polonium,471.59375,-193.4375,152.5625
Col 132 Sector DH-L d8-11,6 e a,1330.04642,polonium,1357.71875,-139.25,-419.34375
