system,body,distance,x,y,z,material
Greae Bli KJ-H d10-19,B 9 a,55947.91321,1215.40625,-918.90625,54913.8125,antimony
Truechou QB-A c15-10,BC 2 b,45210.34016,21.9375,479.03125,53340.1875,antimony
Till QB-X c4-0,B 1 a,37319.21891,16819.84375,-60.3125,-12384.34375,antimony
Dryo Fleau QY-S d3-88,B 7 b,24362.61604,-26903.9375,5.96875,18475.5625,antimony
Hypoae Aec VG-K d9-0,B 4 a,23397.79351,2586.28125,783.78125,-7932.875,antimony
Slegao NB-X d1-0,B 5 a,284931.0885,-450.75,-1064.0625,-3456.5,antimony
Preae Chruia XJ-Q c5-4,BC 2 b,46247.81627,2873.34375,208.3125,49103.125,antimony
BD-05 2446,B 3 a,177558.8305,1808.46875,676.84375,-1633.125,antimony
Hyuedeae JL-Y d47,BC 1 a,36246.19378,22258.09375,56.28125,-954.6875,antimony
Gludgooe PP-F d11-2,BC 1 b,55103.74379,3919.53125,312.3125,-3881.28125,antimony
Dryua Phoea PI-Z d1-0,B 4 b,232921.511,25139.375,-90.3125,-9853.21875,antimony
Col 107 Sector DX-J d9-40,BC 5 a,62385.75567,2363.96875,-35.09375,-4749.8125,antimony
Pyriveae CI-I d10-23,BC 4 a,32034.54366,-1146.34375,-564.8125,54929.1875,antimony
Pheia Ain CP-A d25,B 8 e,19462.04629,648.71875,272.8125,-4840.6875,antimony
Preou Aed XK-F d11-2,C 5 d,142191.1998,29985.0625,259.375,8888.53125,antimony
Truechoae VE-R d4-16,B 1 b,30774.12675,-1191.75,40.9375,53113.4375,antimony
Braiso OL-B d14-16,BC 3 a,352468.8522,26875,-474.875,32181.1875,antimony
Col 89 Sector BV-O d6-38,BC 6 a,45092.94627,854.9375,181.34375,-4219.8125,antimony
Phoi Freau DL-Y d0,CD 7 a,33665.15793,-37099.75,66.4375,25903.0625,antimony
Chau Thua QE-H d10-3,B 5 b,12477.12618,-4821.5,215.5625,58699.71875,antimony
Chau Thua QE-H d10-3,B 5 c,12477.12165,-4821.5,215.5625,58699.71875,antimony
Systeasai VM-W d1-2,B 5 c,180623.4135,-34864,19.5,33655.46875,antimony
Thuecheae CD-H d11-31,BC 2 b,486754.9452,-2263.9375,-279.59375,53688.09375,antimony
Syrivoo SY-Z d13-41,B 4 c,198253.9188,-1434.84375,199.09375,55200.4375,antimony
Hegai JS-R c18-1,C 1 a,26326.47352,5765.71875,183.6875,-2798.25,antimony
Uctaisky LZ-I c9-4,B 7 a,110737.0069,25427.09375,124.15625,42858.0625,antimony
Eorl Chrie DW-E d11-0,B 5 a,32927.20872,-39179.9375,-20.65625,28056.6875,antimony
Sidgio OR-N d6-27,B 7 c,35499.96566,21377.8125,-10.0625,822.84375,antimony
Ploi Bre AB-F d11-66,D 2 a,45326.13157,-3364.21875,76.125,51152.71875,antimony
Blaea Eun VI-S d4-6,12 a,66736.0615,-28457.78125,505.53125,4507.6875,antimony
Greae Byoe AR-C d43,B 4 b,144297.0896,-6289.6875,-113.5,56544.25,antimony
Jongai QG-Y d0,BC 4 a,36514.29754,21384.5625,-18.8125,-9933.09375,antimony
Preia Byoea FI-Z d1-220,B 6 a,122635.8584,5178.96875,-92.6875,51607.15625,antimony
Lysoodgaei YG-J d10-1,CD 4 a,12791.59773,-9663.0625,1116.5,56137.6875,antimony
Scheau Phio SO-P d6-20,C 3 a,75740.49487,2051.34375,-435.9375,-5619.0625,antimony
Oochorrs RY-N c8-0,B 2 b,13851.01256,777.71875,-504.4375,-1982.84375,antimony
Phroea Phio BN-H d11-15,B 10 d,16799.94959,3128.84375,-161.90625,-3869.15625,antimony
Fedgo UU-W d2-1,C 1 b,174267.8932,6720.53125,-386.65625,-3326,antimony
Dryuae Aescs IK-R c4-0,B 4 b,81216.02407,-8382,17.8125,-12384.625,antimony
Iohownst PT-Q d5-1,10 a,69220.02598,-29045.5,-715.125,3276.9375,antimony
Spooreae YK-P e5-25,16 a,267986.7821,-15360.40625,29.3125,39620.125,antimony
Phroea Phio CH-S d5-62,B 12 a,94000.20446,3180.0625,-36.78125,-4351.75,antimony
Thuecheae TG-J d10-10,B 8 a,176471.2899,-2380.6875,-141.3125,53580.8125,antimony
Eolls Phio RP-V d3-10,C 2 d,186387.4305,21945.71875,-148.90625,-10961.21875,antimony
Phrae Hypae SR-X c16-0,B 2 a,28032.48193,-21475.3125,-569.4375,-6725.15625,antimony
Auphailk SF-C d14-48,BC 8 a,17859.91767,-5476.6875,-155.90625,51395.46875,antimony
Dryeae Aec CC-D d12-9,BC 1 h,374814.5184,23208.59375,10.9375,-11478.375,antimony
Thuecheae BB-U d4-32,B 3 a,122151.8846,-1703.78125,-66.9375,53150,antimony
Glaichau SN-T d3-2,B 4 b,57470.69273,21117.34375,238,44065.40625,antimony
Blae Eohm WL-C d13-0,B 5 e,154287.4182,-30399.03125,-764.78125,2677.65625,antimony
Essarg CW-V d2-0,CD 2 b,105476.964,21933.53125,-774.5625,51702.5625,antimony
Outotch IH-U d3-2,C 4 a,54295.63505,1732.21875,545.96875,-2006.5625,antimony
Blau Chrea EB-O d6-16,B 1 a,449828.4267,-5965.6875,155.78125,53273.875,antimony
Bludgia HC-C d13-2,B 9 a,129484.6127,-24747.03125,301.65625,-3706.1875,antimony
Gludgeia VT-Q d5-12,B 2 a,356256.0398,2105.09375,542.8125,-4408.90625,antimony
Pria Aob TV-K d9-3,B 3 d,158406.2537,-16235.5625,1031.9375,39485.875,antimony
Flyue Byoe NT-M c9-0,C 3 a,17772.87717,19897.96875,-382.53125,50536.46875,antimony
Bla Dryoae HA-K c23-0,BC 1 b,43504.87374,27110.75,-860.5625,5085.5,antimony
Sphieso NH-V d2-1,B 2 a,459603.6041,-37897.9375,224.90625,35022.3125,antimony
Eock Phio YB-X c4-1,BC 4 a,113397.8105,23556.5625,-45.75,-11091.4375,antimony
Ootorst IW-C d2,D 5 a,302911.753,-16946.78125,-90,-2311.53125,antimony
Hegoo LQ-Y d9,B 1 a,34323.48239,2119.625,174.65625,-3468.1875,antimony
Essal TR-H d11-23,B 3 e,236971.8525,20514.84375,-43.46875,52406.46875,antimony
Pyriveae TL-K d9-4,B 1 d,424785.8458,-1187.375,-368.1875,54840.40625,antimony
Phroea Phio RO-X d2-108,B 3 a,32663.24366,3281.46875,-81.09375,-4600.28125,antimony
Schadgue GT-Z d13-1,C 1 a,137182.6586,5059.8125,68.84375,-7539.6875,antimony
NGC 2244 Sector ZI-S c4-1,B 1 d,43717.5553,2355.6875,-337.375,-4435.75,antimony
Thuechu KS-A d1-25,B 4 b,76962.04792,-786.09375,-235.4375,52837.3125,antimony
Oochost AH-J d10-4,C 5 a,137671.3327,-529.21875,-182.5,-1419.53125,antimony
Gludgaa DD-A d14-23,BC 1 a,86022.44212,-1226.625,268.96875,-3659.59375,antimony
Groomeou IY-Y d1-0,B 13 b,94766.12993,-35897.84375,-259.75,24699.53125,antimony
Drootae JB-M c21-0,B 2 a,403575.6554,-24563,-1158.96875,52337.28125,antimony
Col 107 Sector AX-J d9-63,D 3 a,69652.15496,2174.375,-99.5625,-4797.59375,antimony
Phreia Graae CB-W d2-13,D 1 b,363509.209,-17652.53125,-736.125,36367.53125,antimony
Phroea Phoea RZ-E d12-5,B 3 a,50528.05625,5969.09375,-475.09375,-3850.875,antimony
Oochost QP-V d3-2,CD 7 a,65690.99117,-1108.40625,-150.5625,-2004.5,antimony
Dryae Eaewsy PK-C d14-12,B 3 b,71973.80798,-10647.46875,-88.8125,-8797.53125,antimony
Pyrivo FN-D c15-30,BC 4 a,19209.03579,-1516.375,-71.8125,54626.46875,antimony
Chaea Thaa MH-D d12-12,B 2 a,24081.0591,13865.75,107.0625,58892.125,antimony
HD 31817,B 6 a,32256.9215,-321.78125,-82.1875,-1605.03125,antimony
Col 107 Sector XA-U d4-14,B 5 a,76532.95985,2514.25,462.90625,-5161.21875,antimony
Blaei Eun QI-T d3-3,D 4 a,102136.1753,32256.03125,186.875,4396.65625,antimony
Truechaa ZO-I d9-47,B 1 a,341333.1972,-14379.25,120.5,53564.40625,antimony
Hypuae Aec XV-B d14-0,C 5 a,302157.0002,8657.34375,945.875,-7533.1875,antimony
Pru Aeb LY-I d9-3,B 9 c,37416.76479,-31773.875,270.46875,8772.5625,antimony
Groomeou IY-Y d1-0,B 13 a,94766.13335,-35897.84375,-259.75,24699.53125,antimony
Uctaisky LZ-I c9-4,B 6 a,110139.5495,25427.09375,124.15625,42858.0625,antimony
Dryi Flee QI-K d8-1,B 2 a,158754.1435,-37817.59375,79.84375,18868.15625,antimony
Gludgae QR-V d2-8,B 5 b,188686.2443,3656.25,375.375,-4585.8125,antimony
Eofaird SX-O c20-0,B 4 a,26765.32042,-33339.3125,335.28125,11336.625,antimony
Phroea Phoea OJ-F d12-7,BC 3 a,119631.1955,6075.5625,-278.34375,-3832.46875,antimony
Aemao DH-S d5-1,D 1 a,146788.9467,12198.375,-88.1875,-14628.875,antimony
Crookue OO-F c25-0,B 2 a,144196.0547,-31182.5,219.71875,12820,antimony
Wizz IQ-P d5-5,E 5 e,88435.89887,22657.71875,84.1875,-12049.4375,antimony
Pyurks UN-H c11-1,C 3 b,89193.81175,2258.46875,-739.21875,-4419.28125,antimony
Qiefua AO-F d12-25,B 1 a,79952.69802,8968.5,-211.40625,-5131.71875,antimony
Bla Bloae GB-W d2-12,B 7 d,144575.7261,-10888.3125,-715.375,52969.15625,antimony
Styailn DA-A d18,B 5 a,184406.1084,9161.125,-24.03125,-7455.0625,antimony
Phoi Aec HM-I c11-0,BCD 1 a,26258.02893,2165.5,756.9375,-6969.84375,antimony
Oochost FB-U d4-4,C 1,26563.49541,-79.5625,-90.46875,-1895.0625,antimony
Spliehn EV-G d10-1,B 1 a,27517.18869,17760.96875,82.78125,-12925.6875,antimony
Pyra Dryiae BF-G c27-0,C 4 a,67953.36101,700.65625,-182.8125,62816,antimony
Aidoct LM-U d3-0,D 2,170544.8633,-441.03125,688.0625,-14824.65625,antimony
Gludgoo IM-U d3-0,B 2,60178.41866,5708.0625,639.03125,-4584.15625,antimony
Eactaikh AF-P d6-1,B 3,456206.3117,-20649.84375,636.875,43067.8125,antimony
Outopps DK-T c18-0,B 2 a,63726.23685,-1220.25,540.40625,-1539.0625,antimony
Blue Dryou LS-R d5-0,B 2 a,203965.324,31547.59375,-330.5,4538.125,antimony
Byiae Phla OC-Y c28-0,B 2,256013.4571,38416.375,137.9375,14255.375,antimony
Isheau IN-H d11-1,B 3,29865.73982,1107.53125,-120.15625,-15408.0625,antimony
Hypiae Aec CR-M d7-3,B 4,25629.77479,1568.875,300.625,-8089.3125,antimony
Flyua Byio WA-M c24-16,C 3,84647.374,1480.46875,-63.53125,51204.90625,antimony
Flya Eom BN-H d11-7,B 1,57451.40031,-25046.75,-156.8125,-2614.03125,antimony
Col 107 Sector MU-D c13-19,14,12163.68148,2332.46875,-178.40625,-5041.46875,antimony
Eord Bloae NA-L d9-0,CD 2,22863.9598,-35748.15625,-120.4375,27911.5,antimony
Byeia Thoea MO-Z d13-0,B 5 g,75401.58628,-32946.96875,-20.5,4034.125,antimony
Qaugnaae GL-Y e3,B 6,324989.0816,-3119.625,170.625,55442.21875,antimony
Plaa Thua DF-R c4-9,B 1,253413.8446,314.375,7.25,-3409.03125,antimony
Hegue XY-Q d5-1,BC 5,35286.71098,5026.34375,681.9375,-3078.4375,antimony
Bleia Dryue CX-A d1-0,BCD 1,46012.53483,-34612.125,-181.34375,4149.1875,antimony
Uctailts ME-G d11-0,B 5,22763.89171,27148.65625,539.78125,43428.9375,antimony
Ooscs Broae HS-N c6-14,BCD 1 a,40047.82735,29365.59375,-20.625,29947.5625,antimony
Col 107 Sector MY-H d10-21,BC 3,36613.75859,2637.84375,-144.3125,-4674.28125,antimony
Drootie DJ-F d12-32,B 4,58257.8339,-1212.3125,-286.875,52482.65625,antimony
Oochost EW-T d4-6,B 6,109192.6334,-318.9375,-116.71875,-1869.84375,antimony
Aucoll OT-O d7-1,B 10,597208.7456,27825.3125,-33.625,2145.65625,antimony
Spongou UX-L d7-2,B 10 c,40601.39349,-18071.09375,8.21875,-9381.375,antimony
Outoppy DX-J c22-7,C 2,67394.59422,4330.65625,16.125,-1361.46875,antimony
Col 107 Sector NE-G d11-67,B 4 c,145375.641,2352.46875,-118.125,-4648.71875,antimony
Struia Eork EC-S d5-1,BC 3 a,60784.4671,1903.71875,-178.03125,63415.40625,antimony
Eishoqs DA-X d2-0,B 4,17901.62573,-27022.21875,948.0625,17099.90625,antimony
Col 89 Sector JN-K d8-3,B 6,14690.14748,222.09375,-111.125,-4050.28125,antimony
Smootaae VI-S d4-2,B 1 d,32094.94123,22799.875,524.6875,51867.59375,antimony
NGC 2353 Sector WO-A d5,B 7,30397.71466,2570.78125,96.21875,-2771.8125,antimony
Hypoi Eaewsy UY-Z d4,11,38237.15618,-14748.1875,-514.75,-6027.96875,antimony
Drootiae GC-T d4-28,B 3,23972.32554,-16217.3125,-499.5,51833.875,antimony
Dryu Aescs HV-Y d2,CD 4,20166.19854,17299.15625,219.84375,-12497.28125,antimony
Bleou Chraea DI-Z c27-12,C 3,34709.67541,-22484.03125,50.03125,53929.125,antimony
Ploi Briae JY-H c23-38,D 2,22504.06753,-823.875,3.15625,51138.5625,antimony
Flyoo Bloae JS-I d10-3,C 5,13347.74708,-15647.4375,-408.65625,48510.5625,antimony
Hegue CM-M d7-1,B 7,269684.2078,3982.84375,216.15625,-2961.6875,antimony
Cryaft PX-L d7-21,C 2,22262.0121,-12112.5625,15.8125,-4205.21875,antimony
Groomeou IY-Y d1-0,B 11,97584.12194,-35897.84375,-259.75,24699.53125,antimony
Pyrie Euq EW-E d11-6,B 7,13861.61831,646.625,-20.15625,62674.34375,antimony
Qiedia IJ-G d11-0,B 5,23210.26692,-10081.5,-656.28125,-5155.25,antimony
Preae Theia KS-J d9-4,B 2,240858.138,3330.15625,590.65625,-1466.03125,antimony
Slegi YV-X c17-2,12,23617.76321,-1397,-159.15625,-2858.65625,antimony
Eorgh Hypa HZ-M d8-7,B 4,26037.36048,16734.40625,-88.5,-13117.90625,antimony
Hypuae Ain LY-H c23-23,10,14858.62663,569.71875,-9.84375,-5182.125,antimony
Gludgeia GR-N d6-25,AB 1,24777.08572,1586.28125,36.96875,-4338.4375,antimony
Prie Chruia AK-R d4-7,B 1 d,42526.982,23671.5,69.75,49317.3125,antimony
Eowrairks LH-D d12-0,6,14698.79355,-1582.875,69.3125,60143.5,antimony
Phraa Hype EC-J d10-22,D 3,159063.5917,11186.375,-232.28125,-6524.125,antimony
Wruethoae WC-O c8-3,C 1,20403.78335,6453.59375,816.8125,47951.6875,antimony
Croideou FI-I c26-0,C 6,298220.8876,3979.25,-1381.71875,-6340,antimony
Flyua Eork EO-F d12-3,B 2,64492.57343,1559.875,-195.8125,-2544.65625,antimony
Phoo Aim UG-F b52-3,14,14762.55138,16660.5,-21.875,-3782.15625,antimony
Flyooe Proae UQ-T d4-0,B 4 a,129063.5974,-33340.65625,-258.15625,40309.71875,antimony
Flyeia Proae DC-S d5-8,C 5,36295.93719,-37841.5,-153.25,40380.3125,antimony
Hegoo NJ-G c24-0,D 1,69982.27278,1845.1875,53.0625,-2554.5625,antimony
Pyult WH-H d11-32,B 6,122346.9771,-15.15625,-188.03125,-3932,antimony
Smaideae RA-U d4-4,C 4,117698.1875,-7658.8125,-60.46875,-9593.3125,antimony
Cho Thua TY-I d9-1,C 1,25036.25703,-414.3125,285,58640.6875,antimony
Plae Trua LS-K d8-0,BC 2 b,13096.54621,19697.03125,1507.25,-330.5625,antimony
Synuedeau EH-U e3-3,D 5,343060.2054,-18941.3125,-57.9375,-392.21875,antimony
Qaugnaae QN-B d13-69,B 4,44494.44908,-2743.34375,57.9375,56379.15625,antimony
Eogargh WQ-Z c2-0,8,14780.04763,23378.53125,-259.96875,52820.46875,antimony
Oochorrs WA-Z c16-0,7,15789.19959,989.5625,-267.09375,-1620.4375,antimony
Sidgio NS-K d8-2,C 5,362089.0656,21143.125,241.90625,990.03125,antimony
Plaa Thua IM-U c16-0,A 5,33304.45075,578.84375,19.375,-2903.90625,antimony
Preia Byoea FI-Z d1-220,B 7 a,125419.7927,5178.96875,-92.6875,51607.15625,antimony
Ceeckaea ZX-C c15-0,C 1,361131.5013,-2011.15625,-193.96875,64868.875,antimony
Bya Chreou BW-C d13-6,B 2 a,117569.8725,-9253.1875,664.4375,55099.0625,antimony
Cheae Euq YA-F d11-2,12,13952.44698,328.6875,57.5625,61374.6875,antimony
Exahn QY-I d9-2,B 10 a,235217.1778,-13476.90625,230.1875,58645.4375,antimony
2MASS J07523202-2622375,B 2,20957.93872,13387.34375,111.96875,-6782.21875,antimony
Hypuae Ain AV-G d10-15,B 8,174965.6095,743.03125,76.90625,-5261.375,antimony
Hypiae Aihm NQ-Y d30,B 2 a,59569.04801,2273,144.03125,-6031.15625,antimony
Flyeia Byoea DE-E d13-46,B 4,68111.4278,5367.28125,-101.4375,51268.25,antimony
Plua Euq YC-R c18-0,7,17380.06621,14016.9375,56.125,-260.21875,antimony
Flyua Eoq LO-X d2-4,B 2,60575.40575,4088.875,-66.625,-3378.90625,antimony
Strieche DN-H d11-33,C 5,35899.33214,5841.9375,-158.75,48540.59375,antimony
Nyauthou SE-X d2-68,B 4,14709.52956,-2104.34375,-262.03125,55525.71875,antimony
Thuecheae GZ-D d13-120,B 4,12464.88052,-2236.6875,-126.78125,53839.5625,antimony
Schadgoea XW-J c22-0,D 2,225066.6425,-6182.71875,18.65625,-7784.0625,antimony
Sphaulooe VD-Z d1-69,B 5 b,252263.4998,28081.34375,-105.9375,28603.46875,antimony
Gongou AC-B d1-0,B 7,72514.03907,10192.78125,-62.90625,-9920.90625,antimony
Blaea Eun SC-U d3-3,B 5,150495.4264,-28305.78125,505.59375,4404.0625,antimony
Scheau Phio XY-J c11-6,AB 1,22768.95015,1348.625,-208.90625,-5697.71875,antimony
Eock Phio YB-X c4-1,BC 2 c,113887.5554,23556.5625,-45.75,-11091.4375,antimony
Drootie IK-C d14-22,B 4,28421.36979,-1008.40625,-40.46875,52692.90625,antimony
Outotz LS-K d8-3,B 5 c,310467.3887,526.3125,238.46875,-1613.75,antimony
Trailau AJ-B d3,B 9,387395.38,29235.40625,604.71875,4064.5625,antimony
Slegi UZ-L c22-0,BC 3 a,59277.9535,-1567.1875,-790.0625,-2663.0625,antimony
Syroifue IL-P d5-46,8,20728.17891,30186,29.53125,5847.5,antimony
Ploea Theia OL-A c28-0,D 3 a,27382.5665,2977.90625,259.03125,-2422.34375,antimony
Hypo Aeb YI-F c25-0,CD 4 b,15852.35722,-10139.6875,178.53125,-7661.625,antimony
Byue Eun ZC-T c4-0,B 1 a,12330.78144,32936.75,377.34375,5536.28125,antimony
Dryi Brue FC-D d12-1,B 8 c,29527.64068,-38037.625,8.5625,32045.6875,antimony
Slegao XV-K d9-9,CD 1 b,478563.5925,-562.34375,-247.09375,-2768.09375,antimony
Bleae Thoi SX-B c13-0,B 1 a,32114.54911,-31248.9375,106.21875,2069.09375,antimony
Uctaisky FD-Z c27-2,B 1 b,36346.23653,24879.5625,-23.625,43662.8125,antimony
Spoori IO-O c7-3,B 1 b,19210.95105,-20380.84375,565,38938.5625,antimony
Prie Aod WO-Q d5-13,C 10 a,97141.61657,26351.40625,519.25,39103.71875,antimony
Ooscs Broae JI-A d1-1,BC 4 c,67144.66968,28187.1875,919.21875,29769.6875,antimony
Col 89 Sector XP-N d7-6,BCD 1 a,114730.0059,712.46875,437.5625,-4138.34375,antimony
Col 107 Sector PY-H d10-34,B 9 g,180694.6064,2829.53125,-111.5625,-4713,antimony
Dryau Brue TK-D d13-0,B 1 b,253338.919,-32450.375,860.15625,32059.375,antimony
Koijoo JE-O c7-2,B 2 a,64059.86871,-29452.0625,476.1875,32558.78125,antimony
Cyoidao HX-A d1-10,C 2 b,60386.24762,9319.5,-123.21875,-7359.8125,antimony
Blaea Briae EA-Y d1-0,E 2 a,34997.92532,14983.0625,620.28125,55422.25,antimony
Heguae CR-M d7-9,BC 5 b,240940.0973,11841.0625,345.78125,-2924,antimony
Xothue EV-N c20-16,C 1,71937.46212,-31007.78125,134.5,30559.375,antimony
Slegeae JF-C d14-12,B 4 b,52075.3592,2780.28125,-127.78125,-2401.6875,antimony
Smooruia IB-G c13-13,BC 3 b,90802.81761,-20464.875,-272.59375,39205.3125,antimony
Pha Airgh PZ-S c3-2,B 3 b,56612.49639,-19525.78125,11.78125,-4744,antimony
Phae Aescs OZ-N d7-0,C 4 c,71285.53565,11777.625,859,-6810.40625,antimony
Dryeae Brou BQ-G d10-9,B 6 b,70532.6477,26264.90625,53.875,31857.03125,antimony
Dryo Bra TK-A c29-1,B 2 a,33998.05821,-25675.9375,615.375,32183.25,antimony
Schafea TC-U d3-1,B 2 a,40767.9071,-15438.3125,509.21875,-8393.96875,antimony
Eactaisky FH-U d3-4,BCD 2 c,36949.99879,-20244.84375,575.125,42835.53125,antimony
Plaa Thua VY-I d9-0,D 5 c,68397.86511,981.125,249.125,-2804.375,antimony
Hypiae Aim GU-N c20-0,C 1 a,64430.86859,-8943.78125,95.375,-5302.90625,antimony
Gludgeia FR-C d13-5,B 6 f,131351.5628,2424.6875,605.15625,-3731.6875,antimony
Tyroelk PY-I d9-4,B 9 c,114538.5656,17207.5,235.4375,51002.40625,antimony
Pyrivo PO-K c11-38,C 6 a,192069.5058,-1539.46875,-83.96875,54474.65625,antimony
Styaill GC-M d7-53,B 3 a,219894.1338,6523.3125,97.40625,-6774.0625,antimony
Hypiae Aim HN-S d4-1,BCD 4 d,372457.4279,-8894.03125,587.90625,-5777.8125,antimony
Thainua JR-L c21-0,B 2 a,163814.1317,39256.84375,20.75,17780.46875,antimony
Ploi Briae YL-B c27-10,D 4 c,73748.8584,-600.59375,132.40625,51322.78125,antimony
Slegeae IX-J d9-0,B 2 b,17617.63646,3306.5625,-661.75,-2824.15625,antimony
Whanou HB-N d7-2,C 4 c,278000.7571,-29689.625,460.9375,18840.125,antimony
Cyoide QG-J d10-25,B 4 a,446325.653,1229.4375,-171.28125,-6537.3125,antimony
Hypao Aewsy HA-A d0,B 3 a,118984.9241,15867.40625,-22.9375,-8740.46875,antimony
Dryao Aob PS-S d4-2,B 6 c,85931.27034,-31120.40625,646.71875,18578.03125,antimony
Gludgeia TU-G d10-28,B 4 a,609060.4078,1470.53125,82.875,-3965.8125,antimony
Gludgaa GF-R d4-40,CD 3 e,16534.61522,-346.96875,-2.03125,-4465.09375,antimony
Dryao Aob PS-S d4-2,B 3 d,89159.51895,-31120.40625,646.71875,18578.03125,antimony
Plio Brou HB-F d11-162,B 4 d,229871.5806,4818.65625,73.4375,51114.09375,antimony
Prai Flyao UE-Y d1-0,B 5 c,55349.00728,28447.1875,-516.34375,38818.1875,antimony
Iorant FR-N d6-0,C 5 d,149629.0557,-1102.6875,-16.21875,64788.375,antimony
Blua Byoe OZ-D d13-14,B 3 e,106683.3527,-4221.21875,-170.28125,56419.3125,antimony
Scheau Phio AS-H d11-9,B 1 e a,152344.0054,1862.71875,-103,-5221.09375,antimony
