"messageKey","","en","de","es","fr","pt","ru","zh","ka"
"modifier.horizons.unit.disruption_barrier_active_power","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.disruption_barrier_charge_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.disruption_barrier_cooldown","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.disruption_barrier_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.distributor_draw","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.drone_active_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.drone_fuel_capacity","T","","","","T","","T","吨","T"
"modifier.horizons.unit.drone_hacking_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.drone_life_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.drone_max_jettisoned_cargo","T","","","","T","","T","吨","T"
"modifier.horizons.unit.drone_min_jettisoned_cargo","T","","","","T","","T","吨","T"
"modifier.horizons.unit.drone_multi_target_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.drone_repair_capacity","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.drone_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.drone_target_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.dss_patch_radius","%","","","","%","","%","%","%"
"modifier.horizons.unit.duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.ecm_active_power_consumption","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.ecm_cooldown","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.ecm_heat","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.ecm_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.ecm_time_to_charge","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.effectiveness_increase_against_munitions","none","","","","","","none","无","none"
"modifier.horizons.unit.emergency_life_support","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.energy_per_regen","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.engine_minimum_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.engine_optimal_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.engine_thermal_load","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.engines_capacity","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.engines_recharge","MJ/s","","","","MJ/s","","МДж/с","兆焦/秒","MJ/s"
"modifier.horizons.unit.explosive_damage_ratio","%","","","","%","","%","%","%"
"modifier.horizons.unit.explosive_resistance","%","","","","%","","%","%","%"
"modifier.horizons.unit.fighter_boost_speed","","","","","","","","",""
"modifier.horizons.unit.fighter_dps","","","","","","","","",""
"modifier.horizons.unit.fighter_max_speed","","","","","","","","",""
"modifier.horizons.unit.fighter_pitch_rate","","","","","","","","",""
"modifier.horizons.unit.fighter_roll_rate","","","","","","","","",""
"modifier.horizons.unit.fighter_yaw_rate","","","","","","","","",""
"modifier.horizons.unit.fsd_fuel_use_increase","none","","","","","","none","无","none"
"modifier.horizons.unit.fsd_heat_rate","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.fsd_interdictor_facing_limit","°","","","","°","","°","°","°"
"modifier.horizons.unit.fsd_interdictor_range","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.fsd_optimised_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.fuel_capacity","T","","","","T","","T","吨","T"
"modifier.horizons.unit.fuel_cost","Cr","","","","Cr","","Кр","Cr","Cr"
"modifier.horizons.unit.fuel_efficiency","%","","","","%","","%","%","%"
"modifier.horizons.unit.fuel_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.fuel_power","?","","","","?","","?","?","?"
"modifier.horizons.unit.fuel_reserve","T","","","","T","","T","吨","T"
"modifier.horizons.unit.heat_capacity","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.heat_dissipation","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.heat_dissipation_max","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.heat_dissipation_min","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.heat_efficiency","/MW","","","","/MW","","/МВт","/兆瓦","/მვ"
"modifier.horizons.unit.heat_reduced_when_striking_a_target","none","","","","","","none","无","none"
"modifier.horizons.unit.heatsink_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.hull_boost","%","","","","%","","%","%","%"
"modifier.horizons.unit.hull_reinforcement","","","","","","","","",""
"modifier.horizons.unit.hull_strength","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.integrity","","","","","","","","",""
"modifier.horizons.unit.jam_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.jitter","°","","","","°","","°","°","°"
"modifier.horizons.unit.jump_range","Ly","","","","al","Al","Св. лет","光年","ს.წ."
"modifier.horizons.unit.jump_range_increase","Ly","","","","al","Al","Св. лет","光年","ს.წ."
"modifier.horizons.unit.kinetic_damage_ratio","%","","","","%","","%","%","%"
"modifier.horizons.unit.kinetic_resistance","%","","","","%","","%","%","%"
"modifier.horizons.unit.limpets","","","","","","","","",""
"modifier.horizons.unit.mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.mass_lock","","","","","","","","",""
"modifier.horizons.unit.max_active_limpets","","","","","","","","",""
"modifier.horizons.unit.max_angle","°","","","","°","","°","°","°"
"modifier.horizons.unit.max_breach_chance","%","","","","%","","%","%","%"
"modifier.horizons.unit.max_fuel_per_jump","T","","","","T","","T","吨","T"
"modifier.horizons.unit.max_range","km","","","","km","","км","千米","კმ"
"modifier.horizons.unit.maximum_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.maximum_muliplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.maximum_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.min_breach_chance","%","","","","%","","%","%","%"
"modifier.horizons.unit.min_pitch_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.mine_bonus","","","","","","","","",""
"modifier.horizons.unit.minimum_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.module_defence_absorption","%","","","","%","","%","%","%"
"modifier.horizons.unit.no_damage_to_untargeted_ships","none","","","","","","none","无","none"
"modifier.horizons.unit.optimal_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.optimal_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.part_of_damage_through_shields","none","","","","","","none","无","none"
"modifier.horizons.unit.pitch_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.power_boost","%","","","","%","","%","%","%"
"modifier.horizons.unit.power_capacity","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.power_draw","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.range","","","","","","","","",""
"modifier.horizons.unit.rate_of_fire","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.refill","%","","","","%","","%","%","%"
"modifier.horizons.unit.regen_rate","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.reload_from_ship_fuel","none","","","","","","none","无","none"
"modifier.horizons.unit.reload_time","s","","","","s","","s","秒","წმ"
"modifier.horizons.unit.repair_capacity","","","","","","","","",""
"modifier.horizons.unit.repair_rating","","","","","","","","",""
"modifier.horizons.unit.repair_speed","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.roll_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.rounds_per_shot","x","","","","x","","x","x","x"
"modifier.horizons.unit.scan_angle","°","","","","","","°","°","°"
"modifier.horizons.unit.scan_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.scanner_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.scoop_rate","T/s","","","","T/s","","Т/с","吨/秒","ტ/წმ"
"modifier.horizons.unit.shield_boost","%","","","","%","","%","%","%"
"modifier.horizons.unit.shield_reinforcement","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.shield_sacrifice_amount_given","","","","","","","","",""
"modifier.horizons.unit.shield_sacrifice_amount_removed","","","","","","","","",""
"modifier.horizons.unit.shieldbank_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.shieldbank_heat","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.shieldbank_reinforcement","/s","","","","/s","","/с","/秒","/წმ"
"modifier.horizons.unit.shieldbank_spin_up","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.shielded_target_heat_increased","none","","","","","","none","无","none"
"modifier.horizons.unit.shieldgen_maximum_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.shieldgen_maximum_strength","%","","","","%","","%","%","%"
"modifier.horizons.unit.shieldgen_minimum_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.shieldgen_minimum_strength","%","","","","%","","%","%","%"
"modifier.horizons.unit.shieldgen_optimal_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.shieldgen_optimal_strength","%","","","","%","","%","%","%"
"modifier.horizons.unit.shields","","","","","","","","",""
"modifier.horizons.unit.shot_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.spin_up_time","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.systems_capacity","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.systems_recharge","MJ/s","","","","MJ/s","","МДж/с","兆焦/秒","MJ/s"
"modifier.horizons.unit.target_armor_hardness_reduced","none","","","","","","none","无","none"
"modifier.horizons.unit.target_fsd_inhibited","none","","","","","","none","无","none"
"modifier.horizons.unit.target_fsd_reboots","none","","","","","","none","无","none"
"modifier.horizons.unit.target_gimbal_turret_tracking_reduced","none","","","","","","none","无","none"
"modifier.horizons.unit.target_heat_increased","none","","","","","","none","无","none"
"modifier.horizons.unit.target_loses_target_lock","none","","","","","","none","无","none"
"modifier.horizons.unit.target_module_damage","none","","","","","","none","无","none"
"modifier.horizons.unit.target_modules_malfunctions","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_pushed_off_course","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_sensor_acuity_reduced","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_shield_cell_disrupted","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_shield_generator_damaged","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_signature_increased","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_speed_reduced","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_thrusters_reboot","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.target_wing_shields_regenerated","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.thermal_damage_ratio","%","","","","%","","%","%","%"
"modifier.horizons.unit.thermal_drain","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.thermal_load","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.thermal_resistance","%","","","","%","","%","%","%"
"modifier.horizons.unit.top_speed","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.typical_emission_range","M","","","","M","","M","米","M"
"modifier.horizons.unit.vehicle_armour_health","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.vehicle_cargo_capacity","T","","","","T","","T","吨","T"
"modifier.horizons.unit.vehicle_count","","","","","","","","",""
"modifier.horizons.unit.vehicle_fuel_capacity","T","","","","T","","T","吨","T"
"modifier.horizons.unit.vehicle_hull_mass","T","","","","T","","T","吨","T"
"modifier.horizons.unit.vehicle_shield_health","HP","","","","","","HP","HP","HP"
"modifier.horizons.unit.vehicle_slots","","","","","","","","",""
"modifier.horizons.unit.weapons_capacity","MW","","","","MW","","МВт","兆瓦","მვ"
"modifier.horizons.unit.weapons_recharge","MJ/s","","","","MJ/s","","МДж/с","兆焦/秒","MJ/s"
"modifier.horizons.unit.wing_damage_reduction","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.wing_max_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.wing_min_duration","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.wing_shield_regeneration_increased","none","","","","aucun","","none","无","none"
"modifier.horizons.unit.yaw_speed","°/s","","","","°/s","","°/с","°/秒","°/წმ"
"modifier.horizons.unit.minimum_multiplier_speed","x","","","","x","","x","x","x"
"modifier.horizons.unit.optimal_multiplier_speed","x","","","","x","","x","x","x"
"modifier.horizons.unit.maximum_multiplier_speed","x","","","","x","","x","x","x"
"modifier.horizons.unit.minimum_multiplier_acceleration","x","","","","x","","x","x","x"
"modifier.horizons.unit.optimal_multiplier_acceleration","x","","","","x","","x","x","x"
"modifier.horizons.unit.maximum_multiplier_acceleration","x","","","","x","","x","x","x"
"modifier.horizons.unit.minimum_multiplier_rotation","x","","","","x","","x","x","x"
"modifier.horizons.unit.optimal_multiplier_rotation","x","","","","x","","x","x","x"
"modifier.horizons.unit.maximum_multiplier_rotation","x","","","","x","","x","x","x"
"modifier.horizons.unit.manoeuvrability","","","","","","","","",""
"modifier.horizons.unit.minimum_thrust","m/s","","","","m/s","","м/с","米/秒","მ/წმ"
"modifier.horizons.unit.supercruise_overcharge","","","","","","","","",""
"modifier.horizons.unit.overcharge_max_speed_increase","%","","","","%","","%","%","%"
"modifier.horizons.unit.overcharge_max_acceleration_rate","","","","","","","","",""
"modifier.horizons.unit.overcharge_heat_generation_rate","","","","","","","","",""
"modifier.horizons.unit.overcharge_control_interference","","","","","","","","",""
"modifier.horizons.unit.overcharge_fuel_consumption","T/s","","","","T/s","","Т/с","吨/秒","ტ/წმ"
"modifier.horizons.unit.listed_power_draw","MW/s","","","","MW/s","","МВт/с","兆瓦/秒","მვ/წმ"
"modifier.horizons.unit.boost_interval","s","","","","s","","с","秒","წმ"
"modifier.horizons.unit.module_limit_increase","","","","","","","","",""
"modifier.horizons.unit.sensor_lock_min","m","","","","m","","м","米","m"
"modifier.horizons.unit.dwarf_boost","x","","","","","","x","倍",""
"modifier.horizons.unit.neutron_boost","x","","","","","","x","倍",""
"modifier.horizons.unit.max_glide_angle","°","","","","","","°","°",""
"modifier.horizons.unit.max_glide_speed","m/s","","","","","","м/с","米/秒",""
"modifier.horizons.unit.minimum_boosted_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.optimal_boosted_multiplier","x","","","","x","","x","x","x"
"modifier.horizons.unit.maximum_boosted_multiplier","x","","","","x","","x","x","x"
